time,team,event,subevent,zone,player
00:00,rät,avslag,0,z5,0
00:10,rät,passning,lång,z6,0
00:10,iks,boll,0,z6,0
00:25,rät,närkamp,0,z1,0
00:41,rät,passning,straffområde,z7,0
00:45,iks,utkast,0,z8,13
01:00,iks,bolltapp,passförsök,z2,0
01:15,iks,närkamp,0,z9,0
01:24,rät,närkamp,0,z5,0
01:32,rät,frislag,0,z6,0
02:00,iks,närkamp,0,z6,0
02:00,iks,skott,täckt,z2,97
02:00,iks,skottyp,utifrån,z2,97
02:00,rät,boll,0,z2,0
02:20,iks,inslag,0,z3,0
02:25,iks,bolltapp,passförsök,z6,0
02:40,rät,mål,spelmål,z8,13
02:40,rät,skottyp,utifrån,z8,13
03:05,iks,avslag,0,z5,0
03:20,rät,närkamp,0,z3,0
03:30,rät,utkast,0,z2,0
03:40,iks,närkamp,0,z5,0
04:00,iks,passning,straffområde,z1,17
04:05,iks,skott,utanför,z2,10
04:05,iks,skottyp,centralt,z2,10
04:15,rät,utkast,0,z2,0
04:45,iks,utkast,0,z8,13
05:00,iks,närkamp,0,z1,0
05:02,rät,närkamp,0,z1,0
05:25,rät,frislag,0,z7,0
05:45,rät,skott,räddning,z8,13
05:45,rät,skottyp,utifrån,z8,13
05:45,iks,rensning,0,z8,0
05:50,rät,inslag,0,z9,0
05:51,rät,bolltapp,passförsök,z9,0
06:00,iks,passning,lång,z6,0
06:06,rät,utkast,0,z2,0
06:20,iks,närkamp,0,z7,0
06:43,rät,närkamp,0,z2,0
06:55,rät,passning,straffområde,z8,0
07:00,rät,närkamp,0,z7,0
07:10,rät,passning,lång,z6,0
07:10,iks,boll,0,z2,0
07:20,rät,närkamp,0,z8,0
07:40,rät,mål,spelmål,z8,13
07:40,rät,skottyp,dribbling,z8,13
08:00,iks,timeout,0,0,0
09:25,iks,avslag,0,z5,0
10:00,iks,närkamp,0,z5,0
10:19,iks,passning,lång,z5,17
10:22,rät,utkast,0,z2,0
10:30,rät,bolltapp,passförsök,z4,0
10:40,rät,utkast,0,z2,0
10:55,iks,utkast,0,z8,13
11:05,iks,bolltapp,tappad,z5,0
11:15,rät,skott,täckt,z8,13
11:20,rät,hörna,0,z9,0
11:45,rät,skott,räddning,z8,13
11:45,rät,skottyp,fast,z8,13
11:47,iks,boll,0,z8,0
12:05,iks,närkamp,0,z6,0
12:20,iks,passning,lång,z5,0
12:21,iks,hörna,0,z1,0
12:55,iks,skott,räddning,z2,0
12:55,iks,skottyp,fast,z2,0
13:00,rät,utkast,0,z2,0
13:30,rät,närkamp,0,z7,0
13:35,rät,hörna,0,z7,0
14:10,rät,skott,utanför,z8,13
14:10,rät,skottyp,fast,z8,13
14:20,iks,utkast,0,z8,13
14:25,iks,passning,lång,z6,0
14:30,rät,utkast,0,z2,0
15:00,rät,närkamp,0,z3,0
15:05,rät,passning,lång,z1,0
15:10,rät,närkamp,0,z5,0
15:15,iks,närkamp,0,z7,0
15:30,iks,skott,täckt,z1,0
15:30,iks,skottyp,utifrån,z1,0
15:40,rät,närkamp,0,z1,0
15:50,iks,närkamp,0,z8,0
16:00,rät,närkamp,0,z3,0
16:05,iks,närkamp,0,z3,0
16:10,iks,hörna,0,z3,0
16:35,iks,skott,täckt,z2,0
16:35,iks,skottyp,fast,z2,0
16:37,rät,rensning,0,z2,0
16:45,iks,passning,straffområde,z3,0
17:10,iks,skott,täckt,z2,0
17:10,iks,skottyp,utifrån,z2,0
17:40,iks,offside,0,z1,0
18:05,rät,skott,räddning,z9,13
18:05,rät,skottyp,utifrån,z9,13
18:15,rät,närkamp,0,z5,0
18:20,rät,frislag,0,z4,0
18:49,rät,närkamp,0,z5,0
18:40,rät,passning,lång,z5,0
18:55,iks,utkast,0,z8,13
19:05,iks,närkamp,0,z5,0
19:10,iks,passning,straffområde,z5,0
19:15,rät,utkast,0,z2,0
19:20,iks,utkast,0,z8,13
19:40,iks,passning,straffområde,z2,0
19:50,rät,rensning,0,z2,0
19:50,iks,passning,lång,z5,0
20:00,iks,hörna,0,z1,0
20:40,iks,skott,utanför,z2,0
20:40,iks,skottyp,fast,z2,0
20:42,rät,utkast,0,z2,0
20:50,rät,passning,lång,z4,0
21:00,rät,inslag,0,z6,0
21:25,rät,passning,straffområde,z9,0
21:30,iks,utkast,0,z8,13
21:40,iks,offside,0,z2,0
22:00,iks,närkamp,0,z6,0
22:20,iks,passning,straffområde,z2,0
22:22,iks,skott,täckt,z2,0
22:22,iks,skottyp,utifrån,z2,0
22:30,iks,frislag,0,z3,0
23:00,iks,passning,straffområde,z1,0
23:05,iks,närkamp,0,z6,0
23:48,iks,skott,täckt,z2,0
23:48,iks,skottyp,centralt,z2,0
24:10,iks,passning,lång,z6,0
24:15,rät,utkast,0,z2,0
24:25,iks,närkamp,0,z7,0
24:40,iks,närkamp,0,z4,0
24:58,iks,närkamp,0,z5,0
25:25,iks,närkamp,0,z5,0
25:50,iks,passning,straffområde,z3,0
25:52,rät,boll,0,z2,0
26:15,iks,närkamp,0,z8,0
26:19,iks,utkast,0,z8,13
26:35,iks,passning,straffområde,z1,0
26:37,rät,rensning,0,z2,0
26:45,iks,inslag,0,z6,0
26:00,iks,frislag,0,z5,0
27:10,iks,passning,straffområde,z1,0
27:15,rät,utkast,0,z2,0
27:20,iks,inslag,0,z6,0
27:25,iks,passning,lång,z6,0
27:35,rät,utkast,0,z2,0
27:40,rät,passning,straffområde,z4,0
27:41,iks,boll,0,z8,0
28:05,rät,närkamp,0,z3,0
28:20,rät,passning,straffområde,z9,0
28:25,iks,brytning,0,z8,0
28:40,iks,skott,täckt,z2,0
28:40,iks,skottyp,dribbling,z2,0
28:41,rät,rensning,0,z2,0
29:09,iks,passning,straffområde,z1,0
29:25,rät,utkast,0,z2,0
29:35,rät,närkamp,0,z6,0
29:40,rät,friläge,0,z8,0
29:41,rät,skott,räddning,z8,13
29:41,rät,skottyp,centralt,z8,13
29:50,iks,utkast,0,z8,13
30:00,iks,skott,täckt,z3,0
30:00,iks,skottyp,utifrån,z3,0
30:20,rät,inslag,0,z1,0
30:20,rät,passning,lång,z1,0
30:30,iks,boll,0,z9,0
31:08,iks,närkamp,0,z3,0
31:30,rät,närkamp,0,z2,0
31:45,rät,skott,utanför,z8,13
31:45,rät,skottyp,utifrån,z8,13
31:50,iks,utkast,0,z8,13
32:20,iks,närkamp,0,z3,0
32:45,iks,frislag,0,z1,0
33:05,iks,passning,straffområde,z2,0
33:10,rät,utkast,0,z2,0
33:20,rät,passning,lång,z3,0
33:25,iks,boll,0,z5,0
33:45,rät,närkamp,0,0,0
33:50,iks,närkamp,0,z3,0
34:10,iks,skott,täckt,z2,0
34:10,iks,skottyp,centralt,z2,0
34:11,rät,rensning,0,z2,0
34:20,iks,inslag,0,z6,0
34:30,iks,passning,lång,z5,0
34:30,rät,rensning,0,z5,0
34:55,rät,inslag,0,z1,0
35:04,rät,bolltapp,passförsök,z1,0
35:05,rät,närkamp,0,z5,0
35:19,rät,hörna,0,z9,0
35:45,rät,skott,utanför,z8,13
35:45,rät,skottyp,fast,z8,13
35:55,iks,utkast,0,z8,13
36:05,iks,passning,lång,z6,0
36:12,rät,utkast,0,z2,0
36:35,iks,brytning,0,z7,0
36:48,rät,närkamp,0,z1,0
36:59,iks,inslag,0,z4,0
37:10,iks,passning,straffområde,z3,0
37:18,iks,närkamp,0,z2,0
37:20,iks,mål,spelmål,z2,7
37:20,iks,skottyp,dribbling,z2,7
38:00,rät,avslag,0,z5,0
38:02,rät,passning,lång,z6,0
38:05,iks,boll,0,z8,0
38:10,iks,passning,lång,z6,0
38:16,rät,utkast,0,z2,0
38:35,rät,frislag,0,z4,0
38:55,rät,inslag,0,z6,0
39:25,rät,bolltapp,tappad,z6,0
39:30,iks,skott,utanför,z2,0
39:30,iks,skottyp,centralt,z2,0
39:35,rät,utkast,0,z2,0
39:40,iks,brytning,0,z8,0
39:50,iks,hörna,0,z3,0
40:25,iks,skott,0,z2,0
40:25,iks,skottyp,fast,z2,0
40:25,rät,rensning,0,z2,0
40:35,iks,närkamp,0,z5,0
40:48,iks,passning,lång,z4,0
40:50,iks,närkamp,0,z4,0
40:55,rät,närkamp,0,z4,0
40:50,rät,passning,lång,z4,0
40:55,iks,boll,0,z6,0
41:10,iks,skott,utanför,z2,0
41:10,iks,skottyp,utifrån,z2,0
41:12,rät,utkast,0,z2,0
41:30,rät,passning,straffområde,z4,0
41:35,rät,hörna,0,z7,0
42:05,rät,skott,täckt,z8,13
42:05,rät,skottyp,fast,z8,13
42:10,rät,timeout,0,0,0
43:50,rät,inslag,0,z9,0
43:52,iks,rensning,0,z8,0
44:00,rät,skott,täckt,z9,13
44:00,rät,skottyp,inlägg,z9,13
44:05,rät,hörna,0,z7,0
44:35,rät,skott,täckt,z8,13
44:35,rät,skottyp,fast,z8,13
44:40,iks,utkast,0,z8,13
44:50,rät,boll,0,z2,0
45:05,rät,bolltapp,tappad,z7,0
45:20,iks,närkamp,0,z3,0
45:35,iks,bolltapp,tappad,z5,0
45:40,iks,utvisning,10,z5,10
46:15,rät,frislag,0,z5,0
46:16,rät,passning,lång,z5,0
46:20,iks,boll,0,z8,0
46:30,iks,frislag,0,z2,0
46:50,iks,skott,utanför,z2,0
46:50,iks,skottyp,fast,z2,0
46:58,rät,utkast,0,z2,0
47:10,rät,passning,straffområde,z9,0
47:15,iks,utkast,0,z8,13
47:25,rät,utkast,0,z2,0
47:25,iks,boll,0,z6,0
47:40,iks,passning,lång,z9,0
47:42,rät,boll,0,z6,0
47:48,rät,bolltapp,passförsök,z6,0
48:00,iks,närkamp,0,z3,0
48:05,iks,frislag,0,z3,0
48:23,iks,närkamp,0,z4,0
48:33,iks,närkamp,0,z1,0
48:33,0,stop,0,0,0
