time,team,event,subevent,zone,player
0:00:00,iks,avslag,0,z5,0
0:00:09,iks,bolltapp,passförsök,z5,0
0:00:16,bro,skott,räddning,z9,0
0:00:16,bro,skottyp,utifrån,z9,0
0:00:25,bro,närkamp,0,z7,0
0:00:46,bro,skott,räddning,z5,0
0:00:46,bro,skottyp,utifrån,z5,0
0:00:48,bro,skott,täckt,z9,0
0:00:48,bro,skottyp,utifrån,z9,0
0:00:51,iks,rensning,0,z8,0
0:00:52,bro,inslag,0,z9,0
0:01:18,bro,bolltapp,tappad,z7,0
0:01:19,bro,frislag,0,z7,0
0:01:30,bro,passning,straffområde,z7,0
0:01:34,iks,rensning,0,z8,0
0:01:43,bro,frislag,0,z5,0
0:01:50,iks,brytning,0,z7,0
0:01:54,iks,inslag,0,z7,0
0:04:08,bro,brytning,0,z6,0
0:04:11,iks,närkamp,0,z6,0
0:04:18,iks,frislag,0,z6,0
0:04:37,iks,passning,lång,z5,0
0:04:39,bro,utvisning,10,z2,10
0:04:39,iks,frislag,0,z2,0
0:05:52,iks,skott,täckt,z2,0
0:05:52,iks,skottyp,dribbling,z2,0
0:05:53,bro,boll,0,z2,0
0:06:02,bro,inslag,0,z3,0
0:06:26,bro,skott,utanför,z9,0
0:06:26,bro,skottyp,utifrån,z9,0
0:06:30,iks,utkast,0,z8,0
0:06:52,iks,passning,straffområde,z6,0
0:07:00,bro,utkast,0,z2,0
0:07:18,bro,mål,spelmål,z8,0
0:07:18,bro,skottyp,dribbling,z8,0
0:07:49,iks,avslag,0,z5,0
0:08:06,bro,utkast,0,z2,0
0:08:18,bro,skott,täckt,z2,0
0:08:18,bro,skottyp,utifrån,z2,0
0:08:19,iks,boll,0,z2,0
0:08:38,iks,närkamp,0,z6,0
0:09:05,iks,passning,straffområde,z3,0
0:09:09,bro,utkast,0,z2,0
0:09:34,bro,passning,lång,z3,0
0:09:40,iks,närkamp,0,z5,0
0:09:44,iks,bolltapp,passförsök,z7,0
0:09:48,iks,närkamp,0,z7,0
0:09:54,bro,närkamp,0,z7,0
0:10:15,iks,närkamp,0,z6,0
0:10:33,iks,frislag,0,z5,0
0:11:02,iks,passning,lång,z5,0
0:11:03,iks,frislag,0,z1,0
0:11:03,bro,utvisning,10,z1,10
0:11:58,iks,passning,straffområde,z3,0
0:12:00,bro,rensning,0,z2,0
0:12:10,bro,utkast,0,z1,0
0:12:22,iks,närkamp,0,z5,0
0:12:33,iks,passning,straffområde,z2,0
0:12:35,bro,utkast,0,z2,0
0:12:57,bro,passning,lång,z6,0
0:13:06,bro,passning,straffområde,z8,0
0:13:06,bro,hörna,0,z7,0
0:13:04,bro,mål,hörnmål,z8,0
0:13:04,bro,skottyp,fast,z8,0
0:13:10,iks,avslag,0,z5,0
0:14:46,iks,passning,straffområde,z1,0
0:12:50,iks,närkamp,0,z2,0
0:15:00,iks,passning,straffområde,z3,0
0:15:08,iks,passning,straffområde,z1,0
0:15:08,iks,hörna,0,z1,0
0:15:35,iks,skott,täckt,z2,0
0:15:35,iks,skottyp,fast,z2,0
0:15:46,iks,mål,spelmål,z2,97
0:15:46,iks,skottyp,utifrån,z2,97
0:16:30,bro,avslag,0,z5,0
0:16:59,bro,närkamp,0,z5,0
0:17:03,iks,närkamp,0,z4,0
0:17:06,iks,passning,straffområde,z4,0
0:17:08,bro,brytning,0,z2,0
0:17:21,bro,inslag,0,z6,0
0:17:32,iks,brytning,0,z5,0
0:17:47,iks,bolltapp,tappad,z4,0
0:17:52,iks,närkamp,0,z1,0
0:17:56,bro,närkamp,0,z1,0
0:18:05,iks,närkamp,0,z5,0
0:18:43,bro,närkamp,0,z5,0
0:18:48,bro,närkamp,0,z5,0
0:18:53,bro,bolltapp,passförsök,z4,0
0:18:55,iks,utkast,0,z8,0
0:19:00,iks,passning,lång,z4,0
0:19:05,bro,utkast,0,z2,0
0:19:23,bro,frislag,0,z4,0
0:19:44,bro,passning,farlig,z5,0
0:19:46,bro,skott,räddning,z8,0
0:19:46,bro,skottyp,friställande,z8,0
0:19:50,iks,boll,0,z7,0
0:19:55,iks,närkamp,0,z4,0
0:19:58,iks,bolltapp,tappad,z4,0
0:20:01,bro,frislag,0,z4,0
0:20:13,iks,utvisning,10,z7,10
0:20:13,bro,frislag,0,z7,0
0:21:02,bro,bolltapp,passförsök,z5,0
0:21:08,iks,närkamp,0,z7,0
0:21:22,iks,passning,straffområde,z3,0
0:21:23,bro,utkast,0,z2,0
0:21:32,bro,passning,lång,z5,0
0:21:35,bro,offside,0,z8,0
0:21:58,iks,bolltapp,passförsök,z7,0
0:21:58,bro,hörna,0,z7,0
0:22:26,bro,skott,utanför,z8,0
0:22:26,bro,skottyp,fast,z8,0
0:22:40,iks,utkast,0,z8,0
0:22:55,iks,passning,straffområde,z3,0
0:22:57,bro,brytning,0,z2,0
0:23:02,bro,bolltapp,passförsök,z3,0
0:23:06,bro,närkamp,0,z3,0
0:23:10,bro,frislag,0,z3,0
0:23:24,iks,närkamp,0,z5,0
0:23:38,iks,skott,täckt,z2,0
0:23:38,iks,skottyp,centralt,z2,0
0:23:39,bro,rensning,0,z2,0
0:23:59,bro,brytning,0,z6,0
0:24:04,iks,brytning,0,z6,0
0:24:16,iks,passning,farlig,z5,0
0:24:18,bro,utkast,0,z2,0
0:24:54,iks,närkamp,0,z6,0
0:25:15,bro,brytning,0,z4,0
0:25:17,bro,inslag,0,z4,0
0:25:30,bro,passning,lång,z5,0
0:25:37,iks,utkast,0,z8,0
0:25:58,iks,bolltapp,passförsök,z6,0
0:26:10,iks,närkamp,0,z4,0
0:26:19,iks,bolltapp,passförsök,z2,0
0:26:33,bro,passning,straffområde,z8,0
0:26:35,bro,skott,täckt,z8,0
0:26:35,bro,skottyp,inlägg,z8,0
0:26:40,iks,utkast,0,z8,0
0:27:16,iks,inslag,0,z9,0
0:27:34,iks,skott,täckt,z2,0
0:27:34,iks,skottyp,dribbling,z2,0
0:27:36,bro,boll,0,z2,0
0:27:58,iks,närkamp,0,z8,0
0:28:15,iks,skott,utanför,z2,0
0:28:15,iks,skottyp,dribbling,z2,0
0:28:16,bro,utkast,0,z2,0
0:28:28,iks,närkamp,0,z8,0
0:28:29,iks,utkast,0,z8,0
0:28:46,iks,skott,täckt,z2,0
0:28:46,iks,skottyp,dribbling,z2,0
0:28:47,bro,rensning,0,z2,0
0:28:51,bro,närkamp,0,z4,0
0:29:08,bro,passning,straffområde,z7,0
0:29:34,bro,passning,straffområde,z9,0
0:29:37,iks,rensning,0,z8,0
0:29:44,bro,passning,straffområde,z7,0
0:29:45,iks,närkamp,0,z8,0
0:29:55,iks,passning,farlig,z5,0
0:30:00,iks,skott,räddning,z2,0
0:30:00,iks,skottyp,friställande,z2,0
0:30:05,bro,utkast,0,z2,0
0:30:25,bro,passning,straffområde,z7,0
0:30:27,bro,skott,utanför,z8,0
0:30:27,bro,skottyp,inlägg,z8,0
0:30:29,iks,utkast,0,z8,0
0:30:43,iks,passning,lång,z7,0
0:30:48,bro,brytning,0,z2,0
0:31:08,iks,utkast,0,z8,0
0:31:20,iks,närkamp,0,z5,0
0:31:23,bro,närkamp,0,z5,0
0:31:28,bro,frislag,0,z4,0
0:31:44,bro,passning,straffområde,z9,0
0:31:46,iks,rensning,0,z8,0
0:32:12,bro,rensning,0,z1,0
0:32:15,bro,närkamp,0,z4,0
0:32:33,iks,närkamp,0,z4,0
0:32:39,iks,rensning,0,z7,0
0:32:42,iks,närkamp,0,z4,0
0:32:51,iks,passning,straffområde,z3,0
0:32:59,bro,närkamp,0,z1,0
0:33:05,bro,närkamp,0,z5,0
0:33:14,bro,passning,straffområde,z8,0
0:33:22,iks,utkast,0,z8,0
0:33:29,iks,passning,lång,z6,0
0:33:32,iks,passning,straffområde,z3,0
0:33:39,bro,utkast,0,z2,0
0:33:58,bro,passning,straffområde,z9,0
0:33:59,iks,utkast,0,z8,0
0:34:10,iks,passning,straffområde,z5,0
0:34:11,bro,brytning,0,z2,0
