time,team,event,subevent,zone,player
0:00:00,iks,avslag,0,z5,0
0:00:12,iks,bolltapp,tappad,z4,0
0:00:21,mot,skott,täckt,z2,0
0:00:21,mot,skottyp,utifrån,z2,0
0:00:32,iks,brytning,0,z4,0
0:00:46,iks,skott,räddning,z7,0
0:00:46,iks,skottyp,utifrån,z7,0
0:00:46,iks,hörna,0,z7,0
0:01:12,iks,skottyp,utifrån,z8,0
0:01:12,iks,skottyp,fast,z8,0
0:01:27,mot,utkast,0,z8,0
0:01:37,iks,närkamp,0,z6,0
0:01:40,mot,brytning,0,z6,0
0:01:43,mot,bolltapp,passförsök,z5,0
0:01:48,iks,passning,lång,z5,0
0:01:50,iks,offside,0,z8,0
0:01:59,mot,frislag,0,z4,0
0:02:09,mot,inslag,0,z7,0
0:02:23,mot,passning,lång,z5,0
0:02:32,iks,brytning,0,z5,0
0:02:49,iks,passning,lång,z5,0
0:02:55,mot,brytning,0,z8,0
0:03:01,iks,passning,lång,z4,0
0:03:11,mot,brytning,0,z8,0
0:03:15,iks,frislag,0,z9,0
0:03:33,iks,passning,straffområde,z9,0
0:03:48,iks,hörna,0,z9,0
0:04:04,iks,skott,täckt,z8,0
0:04:04,iks,skottyp,fast,z8,0
0:04:13,mot,närkamp,0,z7,0
0:04:14,mot,rensning,0,z7,0
0:04:25,iks,närkamp,0,z4,0
0:04:42,iks,bolltapp,tappad,z7,0
0:04:53,mot,utkast,0,z8,0
0:04:53,mot,passning,lång,z4,0
0:05:06,iks,utkast,0,z2,0
0:05:28,iks,passning,straffområde,z7,0
0:05:38,iks,passning,straffområde,z8,0
0:05:45,mot,utkast,0,z2,0
0:05:45,mot,passning,lång,z2,0
0:05:58,iks,närkamp,0,z2,0
0:06:48,iks,40,0,z5,40
0:07:13,mot,brytning,0,z9,0
0:07:17,iks,närkamp,0,z9,0
0:07:20,mot,frislag,0,z9,0
0:07:46,mot,passning,straffområde,z2,0
0:07:46,mot,mål,spelmål,z2,0
0:07:46,mot,skottyp,inlägg,z2,0
0:08:19,iks,avslag,0,z5,0
0:08:36,mot,närkamp,0,z8,0
0:08:45,iks,närkamp,0,z7,0
0:09:05,mot,närkamp,0,z6,0
0:09:21,iks,närkamp,0,z6,0
0:09:28,mot,utkast,0,z8,0
0:09:40,mot,passning,straffområde,z1,0
0:09:52,iks,brytning,0,z2,0
0:09:59,iks,passning,straffområde,z5,0
0:09:59,mot,brytning,0,z8,0
0:10:09,mot,närkamp,0,z5,0
0:10:09,iks,närkamp,0,z5,0
0:10:27,mot,brytning,0,z9,0
0:10:55,iks,40,0,z5,40
0:11:29,iks,utkast,0,z2,0
0:11:46,iks,passning,straffområde,z6,0
0:11:50,mot,utkast,0,z8,0
0:12:01,mot,närkamp,0,z4,0
0:12:12,mot,frislag,0,z2,0
0:12:35,mot,offside,0,z2,0
0:13:16,iks,40,0,z5,40
0:14:00,mot,närkamp,0,z8,0
0:14:06,mot,bolltapp,passförsök,z7,0
0:14:13,mot,närkamp,0,z8,0
0:14:20,mot,frislag,0,z4,0
0:14:29,mot,passning,lång,z5,0
0:14:37,iks,utkast,0,z2,0
0:14:51,iks,passning,straffområde,z9,0
0:14:55,mot,utkast,0,z8,0
0:15:05,mot,passning,lång,z7,0
0:15:10,iks,brytning,0,z2,0
0:15:29,mot,utkast,0,z2,0
0:15:49,mot,skott,räddning,z5,0
0:15:49,mot,skottyp,utifrån,z5,0
0:15:52,mot,skott,utanför,z2,0
0:15:52,mot,skottyp,retur,z2,0
0:15:58,iks,utkast,0,z2,0
0:16:14,iks,passning,straffområde,z7,0
0:16:15,mot,rensning,0,z8,0
0:17:24,iks,40,0,z6,40
0:18:02,mot,närkamp,0,z7,0
0:18:06,mot,rensning,0,z7,0
0:18:07,iks,inslag,0,z7,0
0:18:25,iks,passning,lång,z5,0
0:18:29,mot,utkast,0,z8,0
0:18:40,iks,brytning,0,z6,0
0:18:41,mot,närkamp,0,z6,0
0:18:50,mot,närkamp,0,z7,0
0:19:02,mot,offside,0,z3,0
0:19:11,iks,skott,täckt,z7,0
0:19:11,iks,skottyp,utifrån,z7,0
0:19:20,mot,närkamp,0,z5,0
0:19:25,mot,passning,straffområde,z1,0
0:19:26,iks,boll,0,z1,0
0:19:30,iks,närkamp,0,z1,0
0:19:55,iks,40,0,z4,40
0:20:15,iks,passning,straffområde,z5,0
0:20:18,mot,utkast,0,z8,0
0:20:40,mot,passning,straffområde,z1,0
0:20:45,mot,skott,täckt,z2,0
0:20:45,mot,skottyp,inlägg,z2,0
0:20:46,iks,rensning,0,z2,0
0:20:49,mot,inslag,0,z1,0
0:21:02,mot,passning,straffområde,z1,0
0:21:04,iks,rensning,0,z2,0
0:21:09,mot,skott,utanför,z2,0
0:21:09,mot,skottyp,utifrån,z2,0
0:21:15,iks,utkast,0,z2,0
0:21:22,iks,passning,farlig,z4,0
0:22:02,iks,skott,täckt,z8,0
0:22:02,iks,skottyp,centralt,z8,0
0:22:02,iks,hörna,0,z9,0
0:22:35,iks,mål,hörnmål,z8,0
0:22:35,iks,skottyp,fast,z8,0
0:23:05,mot,avslag,0,z5,0
0:23:13,mot,passning,lång,z7,0
0:23:18,iks,brytning,0,z4,0
0:23:54,iks,bolltapp,tappad,z9,0
0:24:04,mot,passning,straffområde,z3,0
0:24:05,iks,rensning,0,z2,0
0:24:20,mot,frislag,0,z1,0
0:24:40,mot,skott,utanför,z5,0
0:24:40,mot,skottyp,utifrån,z5,0
0:24:45,iks,utkast,0,z2,0
0:25:08,iks,passning,lång,z5,0
0:25:14,iks,skott,räddning,z8,0
0:25:14,iks,skottyp,friställande,z8,0
0:26:35,mot,frislag,0,z8,0
0:26:36,mot,passning,lång,z8,0
0:26:46,iks,brytning,0,z2,0
0:26:58,iks,närkamp,0,z1,0
0:27:24,iks,passning,straffområde,z7,0
0:27:25,mot,utvisning,10,z7,10
0:28:30,mot,närkamp,0,z9,0
0:28:32,iks,brytning,0,z6,0
0:28:55,iks,passning,straffområde,z5,0
0:28:58,mot,utkast,0,z8,0
0:29:04,mot,passning,lång,z8,0
0:29:09,iks,närkamp,0,z4,0
0:29:35,iks,frislag,0,z6,0
0:29:47,iks,bolltapp,passförsök,z6,0
0:29:50,mot,bolltapp,passförsök,z6,0
0:30:07,iks,närkamp,0,z5,0
0:30:30,iks,passning,straffområde,z4,0
0:30:40,iks,skott,täckt,z8,0
0:30:40,iks,skottyp,inlägg,z8,0
0:30:49,iks,passning,straffområde,z6,0
0:30:55,iks,hörna,0,z9,0
0:30:55,iks,skott,utanför,z8,0
0:31:28,iks,skottyp,fast,z8,0
0:31:30,mot,utkast,0,z8,0
0:31:41,mot,passning,lång,z4,0
0:31:50,iks,närkamp,0,z1,0
0:32:01,iks,frislag,0,z6,0
0:32:18,mot,brytning,0,z8,0
0:32:20,mot,rensning,0,z8,0
0:32:40,iks,40,0,z5,40
0:33:03,iks,passning,farlig,z8,0
0:33:04,iks,skott,täckt,z8,0
0:33:04,iks,skottyp,centralt,z8,0
0:33:05,mot,boll,0,z7,0
0:33:15,iks,närkamp,0,z7,0
0:33:22,iks,frislag,0,z9,0
0:34:18,mot,brytning,0,z7,0
0:34:22,mot,närkamp,0,z4,0
0:34:24,iks,närkamp,0,z4,0
0:34:38,iks,passning,lång,z5,0
0:34:40,iks,offside,0,z8,0
0:35:43,iks,närkamp,0,z6,0
0:36:01,iks,offside,0,z6,0
0:36:21,iks,brytning,0,z4,0
0:36:41,iks,bolltapp,passförsök,z5,0
0:36:54,mot,passning,straffområde,z3,0
0:36:55,iks,brytning,0,z2,0
0:37:28,mot,närkamp,0,z7,0
0:37:46,mot,passning,straffområde,z3,0
0:37:47,mot,skott,täckt,z2,0
0:37:47,mot,skottyp,inlägg,z2,0
0:37:49,iks,rensning,0,z2,0
0:37:56,mot,passning,straffområde,z5,0
0:37:58,iks,brytning,0,z2,0
0:38:00,mot,närkamp,0,z3,0
0:38:05,mot,närkamp,0,z2,0
0:38:07,mot,frislag,0,z2,0
0:38:22,mot,mål,spelmål,z2,0
