time,team,event,subevent,zone,player
0:00:00,ham,avslag,0,z5,0
0:00:05,ham,passning,lång,z5,0
0:00:23,ham,närkamp,0,z6,0
0:00:39,ham,passning,lång,z1,0
0:00:48,iks,närkamp,0,z5,17
0:02:25,iks,närkamp,0,z4,97
0:02:55,iks,skott,utanför,z5,66
0:02:55,iks,skottyp,utifrån,z5,66
0:03:00,ham,utkast,0,z2,0
0:03:13,ham,skott,räddning,z8,13
0:03:13,ham,skottyp,centralt,z8,13
0:03:14,ham,offside,0,z8,0
0:03:21,iks,frislag,0,z8,0
0:03:37,ham,utkast,0,z2,0
0:04:15,ham,frislag,0,z5,0
0:04:41,ham,frislag,0,z4,0
0:05:11,iks,närkamp,0,z4,61
0:05:35,iks,närkamp,0,z4,88
0:06:00,iks,passning,straffområde,z1,11
0:06:00,ham,brytning,0,z2,0
0:06:05,iks,närkamp,0,z4,15
0:06:10,ham,frislag,0,z4,0
0:06:23,ham,frislag,0,z6,0
0:06:43,ham,bolltapp,passförsök,z6,0
0:07:05,iks,passning,straffområde,z3,17
0:07:08,iks,skott,räddning,z2,6
0:07:08,iks,skottyp,inlägg,z2,6
0:07:09,ham,utkast,0,z2,0
0:08:22,ham,närkamp,0,z6,0
0:08:34,iks,brytning,0,z5,61
0:08:49,iks,skott,täckt,z2,17
0:08:49,iks,skottyp,utifrån,z2,17
0:08:51,ham,boll,0,z2,0
0:08:54,ham,närkamp,0,z5,0
0:09:04,iks,närkamp,0,z6,7
0:09:12,ham,närkamp,0,z5,0
0:09:20,iks,frislag,0,z5,0
0:09:45,ham,närkamp,0,z1,0
0:09:48,ham,frislag,0,z1,0
0:10:12,iks,brytning,0,z5,88
0:10:37,iks,bolltapp,tappad,z2,11
0:10:43,ham,närkamp,0,z1,0
0:10:49,ham,frislag,0,z1,0
0:11:05,ham,frislag,0,z6,0
0:11:19,iks,närkamp,0,z9,15
0:11:21,iks,utkast,0,z8,13
0:11:54,iks,passning,lång,z5,88
0:11:56,ham,utkast,0,z2,0
0:12:13,ham,närkamp,0,z6,0
0:12:19,ham,passning,straffområde,z8,0
0:12:20,ham,skott,utanför,z8,13
0:12:20,ham,skottyp,inlägg,z8,13
0:12:22,iks,utkast,0,z8,13
0:12:42,iks,passning,straffområde,z1,39
0:12:45,ham,rensning,0,z1,0
0:12:49,iks,inslag,0,z1,0
0:13:30,iks,passning,straffområde,z4,66
0:13:32,ham,frislag,0,z2,0
0:13:51,iks,närkamp,0,z8,39
0:14:05,iks,passning,straffområde,z3,17
0:14:10,ham,boll,0,z1,0
0:14:15,iks,närkamp,0,z4,40
0:14:18,iks,frislag,0,z5,0
0:14:32,ham,närkamp,0,z3,0
0:14:39,iks,närkamp,0,z6,39
