time,team,event,subevent,zone,player
0:00:00,iks,avslag,0,0,0
0:00:38,iks,skott,räddning,z1,97
0:00:38,iks,skottyp,utifrån,z1,97
0:01:18,fri,närkamp,0,z6,0
0:01:20,fri,närkamp,0,z6,0
0:01:20,fri,frislag,0,z6,0
0:02:01,fri,bolltapp,passförsök,z5,0
0:02:06,iks,mål,spelmål,z2,97
0:02:06,iks,skottyp,dribbling,z2,97
0:02:40,fri,avslag,0,0,0
0:02:57,fri,närkamp,0,z5,0
0:02:58,iks,brytning,0,z8,15
0:03:08,iks,bolltapp,passförsök,z2,97
0:03:27,iks,brytning,0,z4,61
0:03:30,fri,inslag,0,z4,0
0:03:57,fri,skott,täckt,z8,13
0:03:57,fri,skottyp,inlägg,z8,13
0:04:03,iks,brytning,0,z7,6
0:04:17,iks,bolltapp,tappad,z5,97
0:04:25,fri,närkamp,0,z3,0
0:04:35,fri,skott,räddning,z9,13
0:04:35,fri,skottyp,utifrån,z9,13
0:04:37,fri,mål,spelmål,z8,13
0:04:37,fri,skottyp,retur,z8,13
0:04:55,iks,avslag,0,0,0
0:05:35,iks,bolltapp,tappad,z7,7
0:05:35,fri,hörna,0,0,0
0:06:05,fri,skott,täckt,z8,13
0:06:05,fri,skottyp,fast,z8,13
0:06:38,iks,närkamp,0,z1,97
0:06:45,iks,närkamp,0,z1,12
0:06:45,iks,frislag,0,z1,0
0:07:00,iks,skott,räddning,z1,6
0:07:00,iks,skottyp,utifrån,z1,6
0:07:37,iks,brytning,0,z9,15
0:07:42,fri,brytning,0,z9,0
0:07:53,fri,inslag,0,z9,0
0:08:04,fri,passning,lång,z9,0
0:08:10,fri,skott,räddning,z8,13
0:08:10,fri,skottyp,centralt,z8,13
0:08:57,iks,närkamp,0,z5,7
0:09:05,fri,brytning,0,z4,0
0:09:08,fri,närkamp,0,z4,0
0:09:08,fri,frislag,0,z4,0
0:09:08,fri,utvisning,10,z4,10
0:10:02,fri,passning,lång,z4,0
0:10:11,fri,närkamp,0,z6,0
