time,team,event,subevent,zone,player
0:00:00,vän,avslag,0,0,0
0:00:13,vän,passning,lång,z8,0
0:00:19,vän,skott,räddning,z3,13
0:00:19,vän,skottyp,utifrån,z3,13
0:00:19,iks,boll,0,0,0
0:00:40,iks,frislag,0,z9,0
0:00:57,iks,skott,täckt,z8,66
0:00:57,iks,skottyp,inlägg,z8,66
0:00:57,vän,boll,0,0,0
0:01:08,vän,bolltapp,tappad,z5,0
0:01:48,iks,hörna,0,z7,88
0:02:15,iks,skott,täckt,z8,88
0:02:15,iks,skottyp,fast,z8,88
0:02:15,vän,boll,0,0,0
0:02:25,vän,bolltapp,tappad,z5,0
0:02:52,iks,passning,lång,z4,88
0:02:58,vän,boll,0,0,0
0:03:15,iks,brytning,0,z1,7
0:03:44,vän,brytning,0,z9,0
0:03:50,vän,frislag,0,z6,0
0:04:25,vän,mål,spelmål,z2,13
0:04:25,vän,skottyp,retur,z2,13
0:05:03,iks,avslag,0,0,0
0:05:38,iks,skott,täckt,z8,97
0:05:38,iks,skottyp,centralt,z8,97
0:05:38,iks,hörna,0,z7,97
0:06:05,iks,skott,utanför,z8,97
0:06:05,iks,skottyp,fast,z8,97
0:06:05,vän,boll,0,0,0
0:06:45,vän,offside,0,0,0
0:07:12,iks,bolltapp,tappad,z8,10
0:08:06,iks,passning,lång,z6,17
0:08:08,iks,offside,0,0,0
0:08:25,vän,bolltapp,tappad,z1,0
0:08:38,iks,hörna,0,z9,66
0:09:09,iks,skott,täckt,z8,40
0:09:09,iks,skottyp,fast,z8,40
0:09:09,iks,boll,0,0,0
0:10:05,iks,passning,lång,z6,61
0:10:08,vän,boll,0,0,0
0:10:26,iks,brytning,0,z1,40
0:10:30,vän,inslag,0,z1,0
0:10:57,iks,brytning,0,z1,20
0:11:20,iks,bolltapp,passförsök,z9,61
0:11:32,vän,skott,räddning,z1,13
0:11:32,vän,skottyp,utifrån,z1,13
0:11:32,iks,boll,0,0,0
0:11:44,iks,närkamp,0,z5,97
0:11:46,iks,närkamp,0,z5,97
0:12:00,iks,skott,täckt,z8,66
0:12:00,iks,skottyp,utifrån,z8,66
0:12:05,vän,frislag,0,z5,0
0:12:05,iks,utvisning,10,z5,97
0:13:06,vän,passning,lång,z7,0
0:13:11,iks,boll,0,0,0
0:13:32,iks,närkamp,0,z6,61
0:13:37,iks,bolltapp,passförsök,z6,66
0:13:50,vän,närkamp,0,z5,0
