time,team,event,subevent,zone,player
0:00:00,iks,avslag,0,z5,0
0:00:12,iks,passning,lång,z4,7
0:00:14,iks,offside,0,z8,0
0:00:50,iks,brytning,0,z5,15
0:00:59,iks,passning,lång,z6,7
0:01:08,bol,utkast,0,z8,0
0:01:20,bol,passning,farlig,z5,0
0:01:23,bol,skott,räddning,z2,80
0:01:23,bol,skottyp,utifrån,z2,80
0:01:26,bol,skott,räddning,z2,80
0:01:26,bol,skottyp,retur,z2,80
0:01:27,bol,hörna,0,z3,0
0:02:09,bol,skottyp,inlägg,z2,80
0:02:09,bol,skottyp,fast,z2,80
0:02:11,iks,utkast,0,z2,80
0:02:28,bol,brytning,0,z6,0
0:02:38,bol,skott,räddning,z2,80
0:02:38,bol,skottyp,dribbling,z2,80
0:02:40,bol,hörna,0,z3,0
0:03:15,bol,skott,täckt,z2,80
0:03:15,bol,skottyp,fast,z2,80
0:03:19,iks,rensning,0,z2,0
0:03:53,bol,bolltapp,passförsök,z5,0
0:03:56,iks,utkast,0,z2,80
0:04:30,iks,passning,lång,z4,88
0:04:40,iks,skott,täckt,z8,2
0:04:40,iks,skottyp,centralt,z8,2
0:04:43,bol,utkast,0,z8,0
0:05:07,bol,passning,straffområde,z3,0
0:05:10,iks,boll,0,z2,0
0:05:17,iks,inslag,0,z4,0
0:05:40,iks,närkamp,0,z7,10
0:05:53,bol,närkamp,0,z8,0
0:05:58,bol,frislag,0,z7,0
0:06:15,bol,bolltapp,tappad,z1,0
0:06:20,iks,passning,lång,z1,17
0:06:25,bol,utkast,0,z8,0
0:06:45,bol,passning,straffområde,z1,0
0:06:48,bol,skott,täckt,z2,80
0:06:48,bol,skottyp,inlägg,z2,80
0:06:50,iks,rensning,0,z2,0
0:07:00,bol,inslag,0,z3,0
0:07:03,iks,brytning,0,z3,66
0:07:07,iks,kontring,0,z3,0
0:07:13,iks,närkamp,0,z6,11
0:08:02,iks,passning,straffområde,z9,17
0:08:04,iks,skott,täckt,z8,11
0:08:04,iks,skottyp,inlägg,z8,11
0:08:06,bol,rensning,0,z8,0
0:08:30,bol,närkamp,0,z6,0
0:08:49,iks,brytning,0,z2,15
0:08:50,bol,hörna,0,z3,0
0:09:14,bol,skott,täckt,z2,80
0:09:14,bol,skottyp,fast,z2,80
0:09:51,bol,skott,räddning,z2,80
0:09:51,bol,skottyp,dribbling,z2,80
0:09:51,iks,boll,0,z1,0
0:10:15,iks,närkamp,0,z8,11
0:10:18,bol,utkast,0,z8,0
0:10:32,iks,brytning,0,z2,2
0:10:33,bol,hörna,0,z3,0
0:11:00,bol,skott,täckt,z2,80
0:11:00,bol,skottyp,fast,z2,80
0:11:03,iks,rensning,0,z2,0
0:11:24,iks,rensning,0,z2,0
0:11:31,iks,närkamp,0,z6,7
0:11:39,bol,brytning,0,z8,0
0:11:43,bol,bolltapp,tappad,z8,0
0:11:43,iks,hörna,0,z7,20
0:12:16,iks,skott,täckt,z8,97
0:12:16,iks,skottyp,fast,z8,97
0:12:18,bol,utkast,0,z8,0
0:12:59,bol,frislag,0,z1,0
0:13:24,bol,passning,straffområde,z3,0
0:13:25,iks,utkast,0,z2,80
0:13:56,iks,passning,straffområde,z7,39
0:13:58,bol,brytning,0,z8,0
0:14:13,iks,brytning,0,z1,2
0:14:15,bol,hörna,0,z1,0
0:14:47,bol,skott,täckt,z2,80
0:14:47,bol,skottyp,fast,z2,80
0:14:49,bol,hörna,0,z3,0
0:15:45,bol,skott,räddning,z2,80
0:15:45,bol,skottyp,fast,z2,80
0:15:46,iks,utkast,0,z2,80
0:16:18,iks,inslag,0,z6,0
0:16:42,bol,närkamp,0,z7,0
0:17:19,iks,utkast,0,z2,80
0:17:40,bol,brytning,0,z7,0
0:17:41,iks,hörna,0,z7,17
0:18:08,iks,skott,täckt,z8,88
0:18:08,iks,skottyp,fast,z8,88
0:18:18,iks,skott,täckt,z8,88
0:18:18,iks,skottyp,retur,z8,88
0:18:21,iks,bolltapp,passförsök,z9,15
0:18:22,bol,kontring,0,z9,0
0:18:34,iks,brytning,0,z2,15
0:18:35,bol,boll,0,z3,0
0:18:54,bol,skott,räddning,z2,80
0:18:54,bol,skottyp,utifrån,z2,80
0:18:56,iks,utkast,0,z2,80
0:19:12,iks,passning,lång,z5,7
0:19:16,bol,utkast,0,z8,0
0:19:38,bol,passning,farlig,z5,0
0:19:41,iks,brytning,0,z2,40
0:19:49,iks,frislag,0,z1,0
0:20:10,iks,passning,farlig,z4,97
0:20:11,iks,skott,räddning,z8,11
0:20:11,iks,skottyp,friställande,z8,11
0:20:12,bol,rensning,0,z8,0
0:20:14,iks,skott,täckt,z8,97
0:20:14,iks,skottyp,utifrån,z8,97
0:20:15,iks,skott,räddning,z8,7
0:20:15,iks,skottyp,centralt,z8,7
0:20:23,iks,närkamp,0,z7,2
0:20:45,iks,frislag,0,z6,0
0:21:04,iks,skott,täckt,z8,10
0:21:04,iks,skottyp,centralt,z8,10
0:21:05,iks,hörna,0,z7,10
0:21:30,iks,skott,täckt,z8,10
0:21:30,iks,skottyp,fast,z8,10
0:21:43,bol,utkast,0,z8,0
0:21:55,iks,brytning,0,z2,15
0:21:56,iks,närkamp,0,z2,66
0:22:14,iks,passning,lång,z5,88
0:22:24,bol,utkast,0,z8,0
0:22:53,iks,närkamp,0,z6,97
0:23:05,bol,närkamp,0,z7,0
0:23:20,iks,närkamp,0,z2,15
0:24:01,iks,passning,lång,z6,61
0:24:07,bol,utkast,0,z8,0
0:24:47,iks,närkamp,0,z5,97
0:25:27,iks,skott,täckt,z8,20
0:25:27,iks,skottyp,dribbling,z8,20
0:25:30,iks,hörna,0,z9,20
0:26:00,iks,skott,täckt,z8,97
0:26:00,iks,skottyp,fast,z8,97
0:26:05,bol,rensning,0,z8,0
0:26:12,iks,inslag,0,z6,0
0:26:20,bol,brytning,0,z8,0
0:26:48,iks,brytning,0,z2,88
0:26:55,iks,bolltapp,tappad,z5,97
0:27:17,bol,passning,straffområde,z3,0
0:27:25,bol,timeout,0,0,0
0:29:04,iks,utkast,0,z2,80
0:29:16,iks,bolltapp,tappad,z2,80
0:29:18,iks,utkast,0,z2,80
0:29:39,iks,skott,räddning,z8,10
0:29:39,iks,skottyp,centralt,z8,10
0:29:39,iks,hörna,0,z9,10
0:30:10,iks,skott,räddning,z8,2
0:30:10,iks,skottyp,fast,z8,2
0:30:11,bol,utkast,0,z8,0
0:31:20,bol,passning,straffområde,z1,0
0:31:26,bol,skott,täckt,z2,80
0:31:26,bol,skottyp,centralt,z2,80
0:31:28,iks,kontring,0,z2,0
0:31:40,iks,skott,täckt,z7,66
0:31:40,iks,skottyp,utifrån,z7,66
0:31:48,iks,skott,räddning,z8,7
0:31:48,iks,skottyp,centralt,z8,7
0:31:50,bol,utkast,0,z8,0
0:32:14,iks,utkast,0,z2,80
0:32:23,iks,bolltapp,passförsök,z1,7
0:32:43,bol,frislag,0,z1,0
0:33:56,bol,passning,straffområde,z1,0
0:33:57,bol,hörna,0,z1,0
0:34:25,bol,skott,täckt,z2,80
0:34:25,bol,skottyp,fast,z2,80
0:34:33,iks,rensning,0,z2,0
0:34:41,bol,frislag,0,z1,0
0:34:51,bol,passning,straffområde,z1,0
0:34:52,iks,utkast,0,z2,80
0:35:20,iks,passning,straffområde,z7,7
0:35:23,iks,hörna,0,z7,7
0:35:53,iks,skott,täckt,z8,66
0:35:53,iks,skottyp,fast,z8,66
0:35:58,iks,skott,täckt,z8,40
0:35:58,iks,skottyp,retur,z8,40
0:36:03,bol,inslag,0,z6,0
0:36:45,bol,bolltapp,passförsök,z5,0
0:36:47,iks,utkast,0,z2,80
0:37:05,iks,passning,straffområde,z7,20
0:37:09,bol,brytning,0,z8,0
0:37:10,iks,hörna,0,z9,20
0:37:43,iks,skott,räddning,z8,20
0:37:43,iks,skottyp,fast,z8,20
0:37:51,bol,utkast,0,z8,0
0:38:08,iks,brytning,0,z3,11
0:38:09,bol,närkamp,0,z3,0
0:38:21,iks,utkast,0,z2,80
0:38:45,bol,brytning,0,z8,0
0:38:54,iks,brytning,0,z1,17
0:38:55,iks,frislag,0,z1,0
0:39:26,bol,inslag,0,z6,0
0:39:40,iks,brytning,0,z6,39
0:39:49,iks,passning,straffområde,z9,39
0:40:10,iks,passning,straffområde,z7,39
0:40:12,iks,skott,utanför,z8,15
0:40:12,iks,skottyp,inlägg,z8,15
0:40:13,bol,utkast,0,z8,0
0:40:30,bol,bolltapp,passförsök,z5,0
0:40:32,iks,närkamp,0,z3,61
0:40:38,iks,frislag,0,z3,0
