time,team,event,subevent,zone,player
0:00:00,iks,avslag,0,z5,0
0:00:20,iks,passning,lång,z5,0
0:00:22,gri,brytning,0,z2,0
0:00:23,gri,rensning,0,z2,0
0:00:30,iks,mål,spelmål,z2,0
0:00:30,iks,skottyp,dribbling,z2,0
0:00:56,gri,avslag,0,z5,0
0:01:25,iks,frislag,0,z8,0
0:01:35,iks,frislag,0,z5,0
0:01:44,iks,passning,lång,z5,0
0:01:57,gri,brytning,0,z2,0
0:01:58,gri,utkast,0,z2,0
0:02:05,gri,bolltapp,passförsök,z2,0
0:02:28,iks,passning,lång,z5,0
0:02:32,gri,brytning,0,z2,0
0:03:01,iks,närkamp,0,z5,0
0:03:05,gri,närkamp,0,z5,0
0:03:11,iks,närkamp,0,z4,0
0:03:21,gri,brytning,0,z5,0
0:03:37,iks,närkamp,0,z9,0
0:03:50,gri,brytning,0,z2,0
0:03:57,gri,närkamp,0,z3,0
0:04:12,gri,passning,straffområde,z9,0
0:04:14,iks,brytning,0,z8,0
0:04:19,gri,skott,utanför,z8,0
0:04:19,gri,skottyp,utifrån,z8,0
0:04:20,iks,utkast,0,z8,0
0:04:48,iks,skott,täckt,z2,0
0:04:48,iks,skottyp,utifrån,z2,0
0:04:50,gri,närkamp,0,z1,0
0:04:57,gri,närkamp,0,z1,0
0:05:05,gri,frislag,0,z8,0
0:05:45,gri,skott,utanför,z8,0
0:05:45,gri,skottyp,fast,z8,0
0:05:50,iks,utkast,0,z8,0
0:06:08,gri,brytning,0,z2,0
0:06:22,iks,utkast,0,z8,0
0:06:53,iks,frislag,0,z6,0
0:07:15,iks,passning,lång,z5,0
0:07:18,gri,utkast,0,z2,0
0:07:36,gri,hörna,0,z9,0
0:08:05,gri,skott,täckt,z8,0
0:08:05,gri,skottyp,fast,z8,0
0:08:10,iks,boll,0,z8,0
0:08:35,iks,närkamp,0,z5,0
0:09:23,iks,passning,straffområde,z3,0
0:09:27,iks,friläge,0,z2,0
0:09:28,iks,skott,täckt,z2,0
0:09:28,iks,skottyp,friställande,z2,0
0:09:29,gri,rensning,0,z2,0
0:09:36,iks,utkast,0,z8,0
0:09:41,iks,passning,lång,z5,0
0:09:49,gri,brytning,0,z2,0
0:09:50,iks,hörna,0,z3,0
0:10:55,iks,skott,täckt,z2,0
0:10:55,iks,skottyp,fast,z2,0
0:10:57,gri,rensning,0,z2,0
0:11:06,iks,inslag,0,z1,0
0:11:09,iks,passning,straffområde,z1,0
0:11:18,gri,utkast,0,z2,0
0:11:32,iks,utkast,0,z8,0
0:12:35,gri,brytning,0,z6,0
0:12:43,gri,passning,lång,z5,0
0:12:51,iks,närkamp,0,z9,0
0:13:22,iks,passning,farlig,z6,0
0:13:23,iks,skott,räddning,z2,0
0:13:23,iks,skottyp,friställande,z2,0
0:13:25,iks,hörna,0,z1,0
0:13:57,iks,mål,hörnmål,z2,0
0:13:57,iks,skottyp,fast,z2,0
0:14:29,gri,avslag,0,z5,0
0:14:43,gri,passning,lång,z6,0
0:14:44,iks,brytning,0,z6,0
0:14:45,gri,boll,0,z6,0
0:15:10,iks,brytning,0,z1,0
0:15:17,iks,friläge,0,z2,0
0:15:18,iks,skott,räddning,z2,0
0:15:18,iks,skottyp,friställande,z2,0
0:15:20,gri,boll,0,z2,0
0:15:24,iks,närkamp,0,z6,0
0:15:35,iks,frislag,0,z6,0
0:16:15,iks,passning,lång,z4,0
0:16:22,iks,frislag,0,z2,0
0:17:02,gri,utkast,0,z2,0
0:17:25,gri,inslag,0,z6,0
0:17:35,iks,inslag,0,z4,0
0:17:56,iks,bolltapp,passförsök,z9,0
0:18:21,gri,offside,0,z8,0
0:19:19,iks,frislag,0,z2,0
0:19:20,gri,timeout,0,0,0
0:21:40,gri,utvisning,5a,z2,0
0:22:23,iks,passning,straffområde,z2,0
0:22:24,iks,passning,farlig,z2,0
0:22:26,iks,skott,utanför,z2,0
0:22:26,iks,skottyp,inlägg,z2,0
0:22:37,gri,utkast,0,z2,0
0:22:43,gri,passning,lång,z2,0
0:22:48,iks,brytning,0,z8,0
0:22:49,gri,hörna,0,z7,0
0:23:50,gri,boll,0,z6,0
0:23:57,gri,frislag,0,z6,0
0:24:26,iks,brytning,0,z8,0
0:24:27,gri,hörna,0,z7,0
0:24:53,gri,skott,täckt,z8,0
0:24:53,gri,skottyp,fast,z8,0
0:24:58,iks,utkast,0,z8,0
0:25:43,gri,brytning,0,z2,0
0:25:45,iks,närkamp,0,z2,0
0:25:48,iks,passning,straffområde,z1,0
0:25:49,iks,friläge,0,z2,0
0:25:50,iks,skott,räddning,z2,0
0:25:50,iks,skottyp,friställande,z2,0
0:25:55,iks,skott,räddning,z2,0
0:25:55,iks,skottyp,retur,z2,0
0:25:56,gri,utkast,0,z2,0
0:26:10,iks,brytning,0,z9,0
0:26:30,gri,brytning,0,z2,0
0:26:45,gri,frislag,0,z5,0
0:27:30,iks,brytning,0,z7,0
0:27:32,iks,inslag,0,z7,0
0:28:03,iks,brytning,0,z3,0
0:28:05,iks,hörna,0,z3,0
0:28:30,iks,skott,räddning,z2,0
0:28:30,iks,skottyp,fast,z2,0
0:28:32,gri,utkast,0,z2,0
0:28:40,gri,närkamp,0,z6,0
0:28:52,gri,hörna,0,z9,0
0:29:20,gri,skott,täckt,z8,0
0:29:20,gri,skottyp,fast,z8,0
0:29:24,gri,passning,straffområde,z7,0
0:29:30,gri,skott,täckt,z8,0
0:29:30,gri,skottyp,utifrån,z8,0
0:29:34,iks,närkamp,0,z5,0
0:29:39,iks,bolltapp,passförsök,z4,0
0:29:45,iks,närkamp,0,z8,0
0:29:47,gri,hörna,0,z7,0
0:30:13,gri,skott,täckt,z8,0
0:30:13,gri,skottyp,fast,z8,0
0:30:20,iks,utkast,0,z8,0
0:31:05,iks,passning,lång,z5,0
0:31:08,gri,brytning,0,z2,0
0:31:22,gri,frislag,0,z6,0
0:31:22,iks,utvisning,10a,z6,0
0:31:55,gri,rensning,0,z1,0
0:32:00,gri,offside,0,z4,0
0:32:26,iks,passning,straffområde,z3,0
0:32:30,iks,offside,0,z2,0
0:32:48,iks,närkamp,0,z2,0
0:32:55,iks,närkamp,0,z6,0
0:33:04,gri,närkamp,0,z2,0
0:33:06,iks,brytning,0,z1,0
0:33:08,iks,offside,0,z2,0
0:33:25,iks,brytning,0,z5,0
0:33:33,iks,skott,räddning,z2,0
0:33:33,iks,skottyp,utifrån,z2,0
0:33:36,gri,utkast,0,z2,0
0:33:58,iks,närkamp,0,z5,0
0:34:31,gri,inslag,0,z6,0
0:35:01,gri,passning,straffområde,z9,0
0:35:03,iks,brytning,0,z8,0
0:35:05,gri,hörna,0,z7,0
0:35:31,gri,skott,täckt,z8,0
0:35:31,gri,skottyp,fast,z8,0
0:35:39,iks,utkast,0,z8,0
0:36:48,iks,närkamp,0,z9,0
0:36:50,gri,närkamp,0,z9,0
0:36:52,iks,närkamp,0,z9,0
0:36:57,gri,närkamp,0,z9,0
0:37:03,iks,närkamp,0,z9,0
0:37:23,gri,närkamp,0,z2,0
0:37:36,gri,skott,räddning,z8,0
0:37:36,gri,skottyp,centralt,z8,0
0:37:38,gri,hörna,0,z7,0
0:38:48,gri,mål,hörnmål,z8,0
0:38:48,gri,skottyp,fast,z8,0
0:39:18,iks,avslag,0,z5,0
0:39:35,iks,passning,lång,z6,0
