time,team,event,subevent,zone,player
0:45:00,ham,avslag,0,0,0
0:45:03,ham,passning,lång,z2,0
0:45:20,iks,boll,0,0,0
0:45:36,iks,offside,0,z3,0
0:45:56,ham,offside,0,z8,0
0:46:20,iks,bolltapp,passförsök,z4,0
0:46:42,iks,brytning,0,z4,0
0:46:45,iks,frislag,0,z1,0
0:47:17,ham,brytning,0,z6,0
0:47:32,ham,skott,utanför,z2,13
0:47:32,ham,skottyp,dribbling,z2,13
0:47:32,iks,boll,0,0,0
0:47:44,ham,brytning,0,z1,0
0:47:52,iks,inslag,0,z4,0
0:48:21,iks,bolltapp,passförsök,z1,0
0:49:03,iks,brytning,0,z2,0
0:50:00,iks,frislag,0,z3,0
0:50:45,iks,skott,utanför,z3,0
0:50:45,iks,skottyp,fast,z3,0
0:50:45,ham,boll,0,0,0
0:51:11,iks,närkamp,0,z2,0
0:51:30,iks,hörna,0,z3,0
0:51:59,iks,skott,utanför,z2,0
0:51:59,iks,skottyp,fast,z2,0
0:51:59,ham,boll,0,0,0
0:52:40,iks,brytning,0,0,0
0:53:10,iks,hörna,0,z3,0
0:53:38,iks,skott,utanför,z2,0
0:53:38,iks,skottyp,fast,z2,0
0:53:38,ham,boll,0,0,0
0:54:00,iks,boll,0,0,0
0:54:50,iks,bolltapp,passförsök,z5,0
0:54:58,iks,brytning,0,z7,0
0:55:05,ham,frislag,0,z7,0
0:55:30,ham,passning,lång,z4,0
0:55:38,iks,frislag,0,z8,0
0:56:10,iks,passning,lång,z8,0
0:56:13,ham,boll,0,0,0
0:56:19,iks,brytning,0,z6,0
0:56:28,iks,skott,räddning,z2,0
0:56:28,iks,skottyp,utifrån,z2,0
0:56:28,ham,boll,0,0,0
0:56:48,ham,bolltapp,passförsök,z8,0
0:57:15,iks,hörna,0,z1,0
0:57:46,iks,skott,utanför,z2,0
0:57:46,iks,skottyp,fast,z2,0
0:57:46,ham,boll,0,0,0
0:58:13,iks,brytning,0,z8,0
0:58:27,ham,boll,0,0,0
0:59:17,ham,hörna,0,z9,0
0:59:44,ham,skott,täckt,z8,13
0:59:44,ham,skottyp,fast,z8,13
0:59:44,ham,boll,0,0,0
1:00:13,ham,inslag,0,z9,0
1:00:20,iks,brytning,0,z9,0
1:00:32,ham,brytning,0,z3,0
1:00:50,iks,boll,0,0,0
1:01:25,ham,brytning,0,z3,0
1:01:36,ham,straff,0,0,0
