time,team,event,subevent,zone,player
0:00:00,iks,avslag,0,z5,0
0:00:17,iks,närkamp,0,z3,61
0:00:21,vän,närkamp,0,z3,0
0:00:24,vän,frislag,0,z3,0
0:00:39,vän,skott,utanför,z3,13
0:00:40,vän,skottyp,fast,z3,13
0:00:44,iks,utkast,0,z2,13
0:01:01,iks,frislag,0,z7,97
0:01:15,iks,passning,lång,z5,61
0:01:22,vän,utkast,0,z8,0
0:01:33,iks,brytning,0,z1,2
0:01:45,iks,passning,farlig,z8,39
0:01:47,vän,rensning,0,z8,0
0:01:55,iks,inslag,0,z7,0
0:02:07,iks,passning,lång,z5,61
0:02:10,vän,utkast,0,z8,0
0:02:23,iks,brytning,0,z4,17
0:02:30,vän,närkamp,0,z8,0
0:02:33,iks,närkamp,0,z7,15
0:02:35,vän,närkamp,0,z7,0
0:02:45,vän,hörna,0,z1,0
0:03:19,vän,skott,utanför,z1,13
0:03:20,vän,skottyp,fast,z1,13
0:03:22,iks,utkast,0,z2,13
0:03:36,iks,passning,lång,z5,17
0:03:40,vän,brytning,0,z8,0
0:03:51,iks,inslag,0,z7,0
0:04:14,iks,frislag,0,z9,6
0:04:20,iks,passning,straffområde,z9,6
0:04:27,vän,utkast,0,z8,0
0:04:49,iks,närkamp,0,z6,61
0:05:00,iks,passning,lång,z5,97
0:05:01,vän,brytning,0,z8,0
0:05:22,iks,närkamp,0,z4,17
0:05:27,iks,passning,farlig,z8,66
0:05:29,iks,skott,räddning,z8,6
0:05:30,iks,skottyp,centralt,z8,6
0:05:31,iks,hörna,0,z9,0
0:05:59,iks,skott,räddning,z9,20
0:06:00,iks,skottyp,fast,z9,20
0:06:08,iks,inslag,0,z7,0
0:06:31,iks,passning,straffområde,z9,61
0:06:33,vän,rensning,0,z8,0
0:06:55,iks,bolltapp,passförsök,z4,66
0:07:00,vän,närkamp,0,z4,0
0:07:06,vän,frislag,0,z5,0
0:07:22,vän,passning,lång,z4,0
0:07:31,iks,utkast,z2,13,13
0:07:49,iks,passning,straffområde,z9,7
0:07:59,vän,rensning,0,z8,0
0:08:10,iks,inslag,0,z4,0
0:08:17,iks,passning,lång,z5,61
0:08:20,vän,utkast,0,z8,0
0:08:33,vän,frislag,0,z6,0
0:09:06,iks,närkamp,0,z4,97
0:09:27,iks,passning,farlig,z4,17
0:09:29,vän,brytning,0,z8,0
0:09:35,vän,bolltapp,passförsök,z5,0
0:09:45,iks,hörna,0,z9,39
0:10:12,iks,skott,räddning,z9,88
0:10:13,iks,skottyp,fast,z9,88
0:10:22,vän,utkast,0,z8,0
0:10:40,vän,passning,lång,z6,0
0:10:41,iks,brytning,0,z8,15
0:10:49,vän,närkamp,0,z9,0
0:10:56,vän,passning,lång,z9,0
0:11:01,vän,offside,0,z3,0
0:11:02,iks,frislag,0,z3,0
0:11:17,vän,närkamp,0,z8,0
0:11:20,iks,närkamp,0,z9,12
0:11:22,iks,inslag,0,z9,0
0:11:35,iks,passning,straffområde,z9,6
0:11:38,vän,rensning,0,z8,0
0:11:50,vän,närkamp,0,z7,0
0:11:57,vän,passning,lång,z6,0
0:12:00,iks,brytning,0,z2,15
0:12:01,vän,brytning,0,z2,0
0:12:02,vän,skott,utanför,z8,13
0:12:03,vän,skottyp,utifrån,z8,13
0:12:07,iks,utkast,0,z2,13
0:12:21,iks,passning,farlig,z9,20
0:12:25,vän,utkast,0,z8,0
0:12:36,vän,frislag,0,z4,0
0:13:00,iks,närkamp,0,z9,20
0:13:02,iks,frislag,0,z9,20
0:14:09,iks,passning,straffområde,z7,66
0:14:11,vän,rensning,0,z8,0
0:14:13,iks,brytning,0,z8,97
0:14:15,iks,mål,spelmål,z8,97
0:14:16,iks,skottyp,centralt,z8,97
0:14:50,vän,avslag,0,z5,0
0:15:03,iks,brytning,0,z7,88
0:15:22,iks,frislag,0,z4,12
0:15:35,iks,passning,lång,z6,66
0:15:40,vän,utkast,0,z8,0
0:15:51,iks,närkamp,0,z5,7
0:16:02,iks,passning,lång,z6,12
0:16:03,vän,brytning,0,z2,0
0:16:05,iks,närkamp,0,z5,15
0:16:16,iks,bolltapp,passförsök,z7,17
0:16:17,vän,utkast,0,z8,0
0:16:23,vän,passning,lång,z7,0
0:16:26,iks,brytning,0,z5,6
0:16:32,vän,närkamp,0,z6,0
0:16:43,vän,frislag,0,z4,0
0:17:02,vän,passning,lång,z9,0
0:17:04,iks,brytning,0,z6,12
0:17:20,iks,frislag,0,z8,66
0:17:33,iks,passning,lång,z8,66
0:17:39,vän,utkast,0,z8,0
0:18:11,iks,brytning,0,z4,17
0:18:16,iks,frislag,0,z4,17
0:18:45,iks,inslag,0,z6,0
0:19:02,iks,passning,lång,z2,17
0:19:10,vän,utkast,0,z8,0
0:19:27,vän,passning,lång,z7,0
0:19:36,iks,utkast,0,z2,13
0:19:56,iks,passning,farlig,z6,7
0:19:58,vän,brytning,0,z8,0
0:20:00,iks,brytning,0,z6,12
0:20:09,vän,utkast,0,z8,0
0:20:31,iks,rensning,0,z2,0
0:20:54,vän,passning,lång,z7,0
0:21:00,iks,brytning,0,z4,39
0:21:02,iks,bolltapp,passförsök,z4,39
0:21:08,vän,skott,täckt,z8,13
0:21:10,vän,skottyp,centralt,z8,13
0:21:22,vän,passning,lång,z9,0
0:21:25,vän,offside,0,z3,0
0:21:29,iks,frislag,0,z3,0
0:21:54,iks,passning,lång,z2,61
0:21:57,vän,brytning,0,z8,0
0:21:58,vän,passning,lång,z8,0
0:22:00,iks,brytning,0,z5,6
0:22:05,iks,bolltapp,passförsök,z6,6
0:22:09,vän,bolltapp,tappad,z8,0
0:22:12,iks,utkast,0,z2,13
0:22:25,iks,passning,lång,z6,7
0:22:35,iks,passning,lång,z4,66
0:22:37,vän,brytning,0,z8,0
0:22:40,vän,utkast,0,z8,0
0:22:50,iks,brytning,0,z6,7
0:23:00,iks,inslag,0,z9,0
0:23:20,iks,passning,lång,z9,7
0:23:27,vän,rensning,0,z8,0
0:23:40,iks,närkamp,0,z3,2
0:23:49,iks,utkast,0,z2,13
0:23:55,iks,hörna,0,z7,39
0:24:25,iks,skott,utanför,z7,6
0:24:27,iks,skottyp,fast,z7,6
0:24:35,vän,utkast,0,z8,0
0:24:47,vän,frislag,0,z6,0
0:24:59,vän,passning,lång,z7,0
0:25:04,vän,offside,0,z1,0
0:25:05,iks,frislag,0,z1,0
0:25:21,iks,passning,lång,z3,7
0:25:24,vän,brytning,0,z9,0
0:25:28,iks,närkamp,0,z9,97
0:25:33,iks,bolltapp,passförsök,z9,7
0:25:35,vän,utkast,0,z8,0
0:25:50,iks,närkamp,0,z2,2
0:25:59,iks,skott,utanför,z8,97
0:26:00,iks,skottyp,utifrån,z8,97
0:26:06,vän,utkast,0,z8,0
0:26:22,vän,passning,lång,z8,0
0:26:34,iks,inslag,0,z3,0
0:26:47,iks,passning,lång,z3,7
0:26:50,vän,brytning,0,z8,0
0:26:53,vän,bolltapp,passförsök,z8,0
0:26:55,iks,passning,farlig,z5,97
0:26:59,iks,mål,spelmål,z8,11
0:27:00,iks,skottyp,friställande,z8,11
0:27:30,vän,avslag,0,z5,0
0:27:37,vän,passning,lång,z7,0
0:27:42,iks,brytning,0,z2,13
0:27:43,iks,utkast,0,z2,13
0:27:47,vän,närkamp,0,z4,0
0:27:55,iks,brytning,0,z5,17
0:28:15,iks,passning,straffområde,z9,97
0:28:16,vän,rensning,0,z8,0
0:28:33,iks,passning,farlig,z8,39
0:28:35,vän,brytning,0,z8,0
0:28:37,vän,utkast,0,z8,0
0:28:44,vän,passning,lång,z7,0
0:28:47,iks,brytning,0,z1,17
0:29:05,vän,brytning,0,z9,0
0:29:18,vän,skott,täckt,z3,13
0:29:19,vän,skottyp,utifrån,z3,13
0:29:27,iks,frislag,0,z3,6
0:29:40,iks,bolltapp,tappad,z4,17
0:29:50,iks,närkamp,0,z1,2
0:29:55,iks,passning,lång,z1,2
0:29:57,vän,brytning,0,z5,0
0:30:05,iks,brytning,0,z5,97
0:30:10,iks,bolltapp,tappad,z8,11
0:30:11,vän,utkast,0,z8,0
0:30:22,iks,brytning,0,z1,17
0:30:32,vän,närkamp,0,z7,0
0:30:52,iks,närkamp,0,z3,12
0:31:05,iks,bolltapp,passförsök,z8,39
0:31:25,vän,utkast,0,z8,0
0:31:31,vän,passning,lång,z7,0
0:31:35,iks,brytning,0,z5,6
0:31:47,iks,hörna,0,z9,66
0:32:12,iks,skott,utanför,z9,97
0:32:13,iks,skottyp,fast,z9,97
0:32:22,vän,utkast,0,z8,0
0:32:33,vän,passning,lång,z7,0
0:32:40,vän,skott,räddning,z8,13
0:32:42,vän,skottyp,utifrån,z8,13
0:32:45,vän,närkamp,0,z3,0
0:32:53,vän,passning,lång,z6,0
0:32:58,iks,rensning,0,z2,0
0:33:00,vän,närkamp,0,z5,0
0:33:10,vän,bolltapp,tappad,z1,0
0:33:16,vän,närkamp,0,z4,0
0:33:21,vän,passning,lång,z6,0
0:33:25,vän,skott,täckt,z8,13
0:33:26,vän,skottyp,centralt,z8,13
0:33:41,iks,inslag,0,z9,0
0:33:48,iks,passning,lång,z9,17
0:33:52,vän,närkamp,0,z8,0
0:34:00,vän,inslag,0,z4,0
0:34:11,vän,passning,lång,z4,0
0:34:21,iks,närkamp,0,z3,15
0:34:25,vän,närkamp,0,z5,0
0:34:35,vän,hörna,0,z1,0
0:35:09,vän,mål,hörnmål,z1,13
0:35:10,vän,skottyp,fast,z1,13
0:35:40,iks,avslag,0,z5,0
0:35:50,vän,brytning,0,z7,0
0:35:52,vän,rensning,0,z7,0
0:35:57,iks,brytning,0,z4,0
0:35:58,iks,bolltapp,passförsök,z1,15
0:36:00,vän,hörna,0,z1,0
0:36:26,vän,skott,utanför,z1,13
0:36:27,vän,skottyp,fast,z1,13
0:36:36,iks,utkast,0,z2,13
0:36:42,iks,passning,lång,z1,7
0:36:47,iks,passning,straffområde,z7,39
0:36:48,iks,bolltapp,tappad,z8,0
0:36:50,vän,utkast,0,z8,0
0:37:05,vän,passning,lång,z6,0
0:37:06,vän,frislag,0,z2,0
0:37:31,iks,närkamp,0,z1,17
0:37:33,iks,frislag,0,z1,17
0:37:35,vän,utvisning,10a,z5,0
0:38:07,iks,passning,farlig,z9,61
0:38:11,vän,utkast,0,z8,0
0:38:20,iks,brytning,0,z6,0
0:38:27,iks,frislag,0,z6,97
0:38:36,iks,bolltapp,passförsök,z9,66
0:38:45,iks,brytning,0,z3,2
0:39:10,vän,närkamp,0,z5,0
0:39:20,vän,passning,lång,z7,0
0:39:25,iks,brytning,0,z2,13
0:39:28,iks,utkast,0,z2,13
0:39:32,iks,passning,farlig,z5,17
0:39:38,vän,inslag,0,z7,0
0:39:51,vän,passning,lång,z7,0
0:39:58,vän,frislag,0,z5,0
0:40:25,vän,passning,lång,z5,0
0:40:39,vän,frislag,0,z2,0
0:40:55,vän,skott,täckt,z2,13
0:40:56,vän,skottyp,fast,z2,13
0:40:58,vän,skott,utanför,z2,13
