time,team,event,subevent,zone,player
0:00:00,iks,avslag,0,z5,0
0:00:52,iks,skott,täckt,z2,0
0:00:52,iks,skottyp,utifrån,z2,0
0:01:00,iks,frislag,0,z1,0
0:01:16,iks,passning,straffområde,z1,0
0:01:18,bro,utkast,0,z2,0
0:01:42,bro,skott,räddning,z9,13
0:01:42,bro,skottyp,utifrån,z9,13
0:01:46,bro,skott,täckt,z8,13
0:01:46,bro,skottyp,utifrån,z8,13
0:01:48,iks,boll,0,z9,0
0:02:00,iks,skott,utanför,z3,0
0:02:00,iks,skottyp,utifrån,z3,0
0:02:02,bro,utkast,0,z2,0
0:02:34,bro,närkamp,0,z5,0
0:02:43,iks,närkamp,0,z2,0
0:03:00,iks,frislag,0,z5,0
0:03:34,iks,passning,lång,z5,0
0:03:38,bro,brytning,0,z3,0
0:03:45,iks,närkamp,0,z4,0
0:04:18,iks,passning,lång,z5,0
0:04:20,bro,utkast,0,z2,0
0:05:15,iks,brytning,0,z8,0
0:05:17,iks,utkast,0,z8,13
0:05:40,iks,passning,straffområde,z3,0
0:05:42,iks,skott,täckt,z2,0
0:05:42,iks,skottyp,inlägg,z2,0
0:05:45,bro,rensning,0,z2,0
0:06:30,bro,brytning,0,z1,0
0:06:42,bro,passning,straffområde,z7,0
0:06:45,iks,utkast,0,z8,13
0:07:05,bro,brytning,0,z2,0
0:07:15,iks,frislag,0,z6,0
0:07:42,bro,närkamp,0,z5,0
0:07:50,iks,närkamp,0,z5,0
0:08:00,iks,frislag,0,z8,0
0:10:43,iks,skott,täckt,z3,0
0:10:43,iks,skottyp,utifrån,z3,0
0:10:43,bro,boll,0,z3,0
0:10:49,iks,närkamp,0,z6,0
0:10:55,iks,närkamp,0,z6,0
0:11:15,iks,passning,farlig,z5,0
0:11:18,iks,skott,utanför,z2,0
0:11:18,iks,skottyp,centralt,z2,0
0:11:20,iks,utkast,0,z2,13
0:11:33,bro,närkamp,0,z4,0
0:11:48,iks,närkamp,0,z7,0
0:11:50,iks,inslag,0,z7,0
0:12:03,bro,brytning,0,z3,0
0:12:17,iks,utkast,0,z8,13
0:12:32,iks,passning,lång,z5,0
0:12:36,bro,brytning,0,z2,0
0:12:50,bro,närkamp,0,z4,0
0:12:56,iks,närkamp,0,z4,0
0:13:05,bro,närkamp,0,z5,0
0:13:14,bro,mål,spelmål,z8,13
0:13:14,bro,skottyp,centralt,z8,13
0:13:44,iks,avslag,0,z5,0
0:14:00,bro,hörna,0,z7,0
0:14:35,bro,skott,utanför,z8,13
0:14:35,bro,skottyp,fast,z8,13
0:14:36,iks,utkast,0,z8,13
0:14:56,iks,skott,täckt,z2,0
0:14:56,iks,skottyp,dribbling,z2,0
0:14:56,iks,hörna,0,z1,0
0:15:36,iks,skott,utanför,z2,0
0:15:36,iks,skottyp,fast,z2,0
0:15:39,bro,utkast,0,z2,0
0:16:20,bro,passning,straffområde,z9,0
0:16:21,iks,brytning,0,z8,0
0:16:22,bro,skott,utanför,z8,13
0:16:22,bro,skottyp,utifrån,z8,13
0:16:24,iks,utkast,0,z8,13
0:16:39,bro,brytning,0,z3,0
0:16:53,bro,hörna,0,z9,0
0:17:20,bro,skott,räddning,z8,13
0:17:20,bro,skottyp,fast,z8,13
0:17:40,bro,passning,lång,z5,0
0:17:44,iks,utkast,0,z8,13
0:18:05,iks,passning,straffområde,z3,0
0:18:10,bro,rensning,0,z2,0
0:18:36,iks,passning,straffområde,z3,0
0:18:40,bro,boll,0,z2,0
0:18:44,iks,närkamp,0,z4,0
0:19:57,iks,skott,räddning,z3,0
0:19:57,iks,skottyp,utifrån,z3,0
0:19:58,bro,utkast,0,z2,0
0:20:09,bro,offside,0,z8,0
0:20:36,iks,skott,utanför,z3,0
0:20:36,iks,skottyp,utifrån,z3,0
0:20:40,bro,utkast,0,z2,0
