time,team,event,subevent,zone,player
0:00:00,iks,avslag,0,z5,0
0:01:28,eds,brytning,0,z4,0
0:01:33,eds,närkamp,0,z4,0
0:01:39,eds,skott,räddning,z2,13
0:01:39,eds,skottyp,inlägg,z2,13
0:01:40,eds,hörna,0,z1,0
0:02:06,eds,skott,räddning,z2,13
0:02:06,eds,skottyp,fast,z2,13
0:02:11,iks,utkast,0,z2,13
0:02:29,iks,passning,lång,z6,0
0:02:30,eds,utkast,0,z8,0
0:03:21,eds,passning,lång,z5,0
0:03:29,eds,bolltapp,tappad,z2,0
0:03:33,iks,bolltapp,tappad,z5,0
0:03:39,iks,brytning,0,z2,0
0:03:40,iks,utkast,0,z2,13
0:03:57,eds,närkamp,0,z5,0
0:04:09,iks,utkast,0,z2,13
0:04:32,iks,passning,farlig,z8,0
0:04:33,iks,skott,utanför,z8,0
0:04:33,iks,skottyp,centralt,z8,0
0:04:34,eds,utkast,0,z8,0
0:04:55,eds,passning,lång,z5,0
0:05:02,iks,brytning,0,z3,0
0:05:50,eds,utkast,0,z8,0
0:05:50,eds,bolltapp,tappad,z5,0
0:06:03,iks,närkamp,0,z5,0
0:06:35,iks,skott,utanför,z8,0
0:06:35,iks,skottyp,utifrån,z8,0
0:06:36,eds,utkast,0,z8,0
0:07:00,eds,frislag,0,z1,0
0:07:51,eds,bolltapp,tappad,z4,0
0:08:01,iks,passning,lång,z5,0
0:08:33,iks,passning,straffområde,z9,0
0:08:35,eds,brytning,0,z8,0
0:08:57,eds,bolltapp,passförsök,z6,0
0:09:23,eds,brytning,0,z9,0
0:09:36,eds,frislag,0,z3,0
0:10:01,iks,utkast,0,z2,13
0:10:17,eds,brytning,0,z8,0
0:10:29,eds,skott,täckt,z2,13
0:10:29,eds,skottyp,utifrån,z2,13
0:10:30,eds,hörna,0,z1,0
0:10:58,eds,skott,täckt,z2,13
0:10:58,eds,skottyp,fast,z2,13
0:10:59,iks,boll,0,z3,0
0:11:20,iks,närkamp,0,z3,0
0:11:24,eds,närkamp,0,z6,0
0:12:20,iks,närkamp,0,z5,0
0:12:29,iks,frislag,0,z9,0
0:13:10,iks,bolltapp,passförsök,z4,0
0:13:19,iks,brytning,0,z2,0
0:13:25,iks,inslag,0,z1,0
0:13:48,iks,bolltapp,passförsök,z5,0
0:14:11,eds,skott,räddning,z2,13
0:14:11,eds,skottyp,utifrån,z2,13
0:14:12,iks,utkast,0,z2,13
0:14:28,iks,brytning,0,z4,0
0:14:36,eds,brytning,0,z2,0
0:15:50,eds,utkast,0,z8,0
0:15:56,eds,passning,lång,z4,0
