time,team,event,subevent,zone,player
0:00:00,iks,avslag,0,0,0
0:00:15,iks,passning,lång,z5,0
0:00:17,saik,boll,0,0,0
0:01:13,iks,boll,0,0,0
0:01:26,iks,skott,räddning,z3,0
0:01:26,iks,skottyp,utifrån,z3,0
0:01:26,saik,boll,0,0,0
0:01:41,saik,närkamp,0,z4,0
0:02:05,saik,hörna,0,z7,0
0:02:42,saik,skott,utanför,z8,0
0:02:42,saik,skottyp,fast,z8,0
0:02:42,iks,boll,0,0,0
0:03:00,saik,boll,0,0,0
0:03:15,saik,passning,lång,z4,0
0:03:20,saik,skott,räddning,z9,0
0:03:20,saik,skottyp,utifrån,z9,0
0:03:20,iks,boll,0,0,0
0:03:51,iks,frislag,0,z3,0
0:04:10,iks,skott,utanför,z3,0
0:04:10,iks,skottyp,utifrån,z3,0
0:04:10,saik,boll,0,0,0
0:04:18,saik,passning,lång,z3,0
0:04:20,iks,boll,0,0,0
0:04:50,iks,passning,lång,z6,0
0:04:55,iks,mål,spelmål,z2,11
0:04:55,iks,skottyp,friställande,z2,11
0:05:28,saik,avslag,0,0,0
0:06:09,iks,brytning,0,z4,0
0:06:13,iks,passning,lång,z8,0
0:06:16,iks,offside,0,z3,0
0:07:05,saik,passning,lång,z4,0
0:07:09,iks,boll,0,0,0
0:07:21,iks,passning,lång,z4,0
0:07:26,iks,boll,0,0,0
0:07:39,saik,bolltapp,passförsök,z4,0
0:07:57,iks,frislag,0,z2,0
0:08:19,iks,skott,täckt,z2,0
0:08:19,iks,skottyp,fast,z2,0
0:08:19,iks,hörna,0,z3,0
0:08:52,iks,skott,täckt,z2,0
0:08:52,iks,skottyp,fast,z2,0
0:08:52,saik,boll,0,0,0
0:09:23,saik,skott,täckt,z8,0
0:09:23,saik,skottyp,utifrån,z8,0
0:09:23,saik,boll,0,0,0
0:09:55,iks,hörna,0,z3,0
0:10:24,iks,skott,täckt,z2,0
0:10:24,iks,skottyp,fast,z2,0
0:10:24,iks,boll,0,0,0
0:10:33,iks,skott,utanför,z2,0
0:10:33,iks,skottyp,utifrån,z2,0
0:10:33,saik,boll,0,0,0
0:10:56,saik,hörna,0,z9,0
0:11:23,saik,skott,täckt,z8,0
0:11:23,saik,skottyp,fast,z8,0
0:11:23,saik,boll,0,0,0
0:11:30,saik,frislag,0,z5,0
0:11:50,saik,skott,täckt,z7,0
0:11:50,saik,skottyp,utifrån,z7,0
0:11:50,iks,boll,0,0,0
0:11:55,iks,frislag,0,z7,0
0:12:14,iks,bolltapp,passförsök,z5,0
0:12:22,saik,skott,utanför,z9,0
0:12:22,saik,skottyp,utifrån,z9,0
0:12:22,iks,boll,0,0,0
0:12:48,iks,passning,lång,z8,0
0:12:51,saik,boll,0,0,0
0:13:16,saik,frislag,0,z6,0
