time,team,event,subevent,zone,player
0:00:00,iks,avslag,0,z5,0
0:00:17,iks,passning,straffområde,z1,0
0:00:25,vsk,boll,0,z3,0
0:00:27,iks,frislag,0,z3,0
0:00:42,iks,passning,straffområde,z3,0
0:00:44,vsk,utkast,0,z2,0
0:00:48,vsk,passning,lång,z3,0
0:00:50,iks,brytning,0,z6,0
0:00:52,vsk,brytning,0,z6,0
0:00:58,iks,närkamp,0,z6,0
0:01:06,iks,skott,täckt,z2,0
0:01:06,iks,skottyp,centralt,z2,0
0:01:09,iks,friläge,0,z2,0
0:01:09,iks,skott,räddning,z2,0
0:01:09,iks,skottyp,centralt,z2,0
0:01:10,iks,hörna,0,z3,0
0:01:34,iks,skott,räddning,z2,0
0:01:34,iks,skottyp,fast,z2,0
0:01:40,vsk,utkast,0,z2,0
0:01:58,iks,brytning,0,z8,0
0:02:09,vsk,närkamp,0,z5,0
0:02:25,iks,närkamp,0,z9,0
0:02:35,iks,passning,straffområde,z1,0
0:02:37,vsk,brytning,0,z2,0
0:03:15,vsk,närkamp,0,z5,0
0:03:23,vsk,skott,täckt,z8,0
0:03:23,vsk,skottyp,centralt,z8,0
0:03:24,vsk,hörna,0,z9,0
0:04:00,iks,frislag,0,z8,0
0:04:19,iks,passning,straffområde,z1,0
0:04:21,iks,skott,räddning,z2,0
0:04:21,iks,skottyp,inlägg,z2,0
0:04:23,vsk,rensning,0,z2,0
0:04:32,iks,närkamp,0,z4,0
0:04:57,iks,passning,lång,z5,0
0:05:01,vsk,utkast,0,z2,0
0:05:16,iks,brytning,0,z7,0
0:05:18,iks,närkamp,0,z7,0
0:05:35,iks,passning,farlig,z5,0
0:05:35,vsk,brytning,0,z2,0
0:05:40,iks,inslag,0,z1,0
0:05:54,iks,passning,straffområde,z3,0
0:05:58,vsk,brytning,0,z2,0
0:05:59,vsk,rensning,0,z2,0
0:06:00,iks,passning,straffområde,z3,0
0:06:04,iks,skott,utanför,z2,0
0:06:04,iks,skottyp,inlägg,z2,0
0:06:05,vsk,utkast,0,z2,0
0:06:15,vsk,passning,lång,z6,0
0:06:19,iks,utkast,0,z8,0
0:06:45,iks,skott,räddning,z2,0
0:06:45,iks,skottyp,utifrån,z2,0
0:06:46,vsk,utkast,0,z2,0
0:07:07,iks,brytning,0,z6,0
0:07:08,vsk,inslag,0,z6,0
0:07:35,iks,närkamp,0,z4,0
0:07:45,iks,passning,straffområde,z3,0
0:07:46,vsk,brytning,0,z2,0
0:07:54,iks,närkamp,0,z3,0
0:08:18,iks,skott,täckt,z2,0
0:08:18,iks,skottyp,dribbling,z2,0
0:08:49,iks,passning,lång,z5,0
0:08:55,vsk,utkast,0,z2,0
0:09:22,vsk,passning,straffområde,z9,0
0:09:24,iks,brytning,0,z8,0
0:09:24,iks,rensning,0,z8,0
0:09:40,iks,närkamp,0,z9,0
0:09:52,vsk,närkamp,0,z2,0
0:10:07,iks,närkamp,0,z4,0
0:10:09,iks,inslag,0,z4,0
0:11:10,iks,passning,lång,z5,0
0:11:13,iks,skott,utanför,z2,0
0:11:13,iks,skottyp,inlägg,z2,0
0:11:14,vsk,utkast,0,z2,0
0:11:29,vsk,frislag,0,z9,0
0:11:47,vsk,passning,straffområde,z9,0
0:11:48,iks,brytning,0,z8,0
0:11:49,iks,kontring,0,z8,0
0:11:58,vsk,brytning,0,z2,0
0:12:12,vsk,skott,utanför,z8,0
0:12:12,vsk,skottyp,utifrån,z8,0
0:12:13,iks,utkast,0,z8,0
0:12:39,iks,skott,utanför,z2,0
0:12:39,iks,skottyp,utifrån,z2,0
0:12:40,vsk,utkast,0,z2,0
0:12:47,vsk,passning,lång,z6,0
0:12:56,iks,utkast,0,z8,0
0:13:05,vsk,brytning,0,z6,0
0:13:13,iks,närkamp,0,z9,0
0:13:23,vsk,närkamp,0,z2,0
0:13:44,vsk,hörna,0,z7,0
0:14:14,vsk,skott,utanför,z8,0
0:14:14,vsk,skottyp,fast,z8,0
0:14:16,iks,inslag,0,z9,0
0:14:29,iks,passning,lång,z9,0
0:14:55,iks,frislag,0,z4,0
0:15:13,iks,skottyp,utifrån,z1,0
0:15:13,iks,skott,utanför,z1,0
0:15:15,vsk,utkast,0,z2,0
0:15:22,vsk,passning,lång,z3,0
0:15:28,vsk,skott,utanför,z8,0
0:15:28,vsk,skottyp,utifrån,z8,0
0:15:30,iks,utkast,0,z8,0
0:16:14,iks,frislag,0,z7,0
0:16:39,iks,frislag,0,z6,0
0:17:00,vsk,brytning,0,z3,0
0:17:43,iks,närkamp,0,z8,0
0:17:45,vsk,närkamp,0,z8,0
0:17:55,vsk,hörna,0,z9,0
0:18:22,vsk,skott,räddning,z8,0
0:18:22,vsk,skottyp,fast,z8,0
0:18:25,iks,rensning,0,z8,0
0:18:28,iks,närkamp,0,z5,0
0:18:34,iks,skott,räddning,z3,0
0:18:34,iks,skottyp,utifrån,z3,0
0:18:39,iks,mål,spelmål,z2,0
