event,time
Avslag Iks z5, 0:00:00
Passning straffområde Iks z7, 0:00:35
Hörna Iks z7, 0:00:40
Skott täckt Iks z8, 0:00:10
Skottyp fast Iks z8, 0:00:10
Rensning ham z8, 0:01:49
Frislag Iks z5, 0:12:24
Passning straffområde Iks z7, 0:02:58
boll Ham z8, 0:02:58
Utkast Ham z8, 0:03:08
Närkamp Iks z4, 0:03:20
Passning straffområde Iks z7, 0:03:35
Närkamp Ham z8, 0:03:39
Skott utanför Ham z6, 0:03:56
Skottyp utifrån Ham z6, 0:03:56
Utkast Iks z2, 0:03:56
närkamp Iks z5, 0:04:20
Passning straffområde Iks z9, 0:05:00
Skott räddning Iks z8, 0:05:01
Skottyp inlägg Iks z8, 0:05:01
Hörna Iks z7, 0:05:01
Skott täckt Iks z8, 0:05:28 
skottyp fast Iks z8, 0:05:28 
Rensning Ham z7, 0:05:35
Frislag Iks z7, 0:06:19
Närkamp Ham z7, 0:06:55
Skott täckt Ham 2 7:07
Skottyp utifrån Ham 2 7:07
Skott utanför Ham z2, 0:07:11
Skottyp retur Ham z2, 0:07:11
Utkast Iks z2, 0:7 11
Närkamp Iks z5, 0:07:54
Närkamp Iks z6, 0:08:19
Frislag Iks sju åtta:55
Bolltapp passförsök Iks z5, 0:09:58
Mål Spelmål Ham z2, 0:10:02
Skottyp Centralt Ham z2, 0:10:02
Avslag Iks z5, 0:10:35
Passning Farlig Iks z5, 0:10:59
Skott utanför Iks z8, 0:11:01
Skottyp Friställande Iks z8, 0:11:01
Utkast Ham z8, 0:11:05
Frislag Ham z3, 0:11:20
Passning Straffområdet Ham z3, 0:11:35
Utkast Iks 02:11:37
Brytning Ham z8, 0:11:56
Närkamp Ham z4, 0:12:20
Passning straffområde Ham z1, 0:12:25
Mål Spelmål Ham z2, 0:12:25
Skottyp Skottyp inlägg Ham z2, 0:12:25
Avslag Iks z5, 0:12:59
Närkamp Iks z6, 0:12:55
Bolltapp passförsök Iks z6, 0:14:35
Närkamp Ham fira, 0:15:30
Frislag Ham z1, 0:15:42
Passning straffområde Ham z1, 0:15:50
Utkast Iks z2, 0:15:55
Passning straffområde Iks z4, 0:16:30
Rensning Ham z8, 0:16:34
Bolltapp passförsök Iks z4, 0:16:50
Passning lång Ham z8, 0:17:00
Brytning Iks z2, 0:17:02
Passning straffområde Iks z9, 0:17:15
Skott utanför Iks z8, 0:17:25
Skottyp utifrån Iks z8, 0:17:25
Utkast Ham z8, 0:17:28
Passning Farlig Ham z5, 0:17:35
Skott räddning Ham z2, 0:17:40
Passning Friställande Ham z2, 0:17:40
Hörna Ham z1, 0:17:41
Skott utanför Ham z2, 0:18:12
Skottyp fast Ham z2, 0:18:12
Utkast Iks z2, 0:18:13
Brytning Ham z6, 0:18:37
Brytning Iks z7, 0:18:54
Passning straffområde Iks z8, 0:18:58
Rensning Ham z8, 0:19:00
Inslag Iks z7, 0:19:08
Frislag Iks z4, 0:20:07
Skott täckt Iks z7, 0:20:25
Skottyp utifrån Iks z7, 0:20:25
Hörna Iks z7, 0:20:25
Skott utanför Iks z8, 0:20:55
Skottyp fast Iks z8, 0:20:55
Utkast Ham z8, 0:21:00
Närkamp Camp Ham z5, 0:21:17
Passning straffområde Ham z1, 0:21:21
Hörna Ham z1, 0:21:25
Skott täckt Ham z2, 0:21:56
Skottyp fast Ham z2, 0:21:56
Utkast Iks z2, 0:21:58
Frislag Iks z7, 0:22:46
Skott räddning Iks z9, 0:23:05
Skottyp utifrån Iks z9, 0:23:05
Hörna Iks z7, 0:23:07
Skott utanför Iks z8, 0:23:30
Skottyp fast Iks z8, 0:23:30
Utkast Ham z8, 0:23:32
Passning lång Ham z6, 0:23:48
Utkast Iks z2, 0:23:50
Frislag Iks z7, 0:24:04
Närkamp Iks z6, 0:25:35
Bolltapp passförsök Iks z6, 0:25:35
Skott räddning Ham z2, 0:25:42
Centralt Ham z2, 0:25:42
Rensning iks z2, 0:25:45
Närkamp Ham z4, 0:25:49
Skott räddning Ham z2, 0:26:22
Dribbling Ham z2, 0:26:22
Mål Spelmål z2, 0:26:26
Friställande Hamz2, 0:26:26
Time out Iks, 0:z2, 0:26:26
Avslag Iks z5, 0:2z8, 0:34
Passning straffområde Iks z7, 0:29:03
Skott räddning Iks z8, 0:29:03
Skottyp inlägg Iks z8, 0:29:03
Rensning Ham z8, 0:29:02
Närkamp Ham z7, 0:29:30
Bolltapp Passförsök Ham z5, 0:29:50
Utkast Iks z2, 0:29:53
Närkamp Ham z4, 0:30:11
Passning lång Ham z5, 0:30:25
Utkast Iks 02:30:25
Närkamp Iks z5, 0:30 45
Skott utanför Iks z7, 0:31:01
Skottyp utifrån Ham z2, 0:33:15
Utkast Ham z8, 0:31:008
Bolltapp passförsök Ham z7, 0:31:40
Närkamp Ham z7, 0:31:44
Inslag Ham z6, 0:32:02
Hörna ham z1, 0:32:47
Skott täckt Ham z2, 0:33:15
Skottyp fast Ham z2, 0:33:15
Passning straffområde Ham z1, 0:33:18
Boll Iks z3, 0:33:26
Frislag Iks z5, 0:33:34
Passning straffområde Iks z9, 0:34:16
Skott räddning Iks z8, 0:34:17
Friställande Iks z8, 0:34:17
Skott utanför Iks z8, 0:34:21
Skottyp utifrån Iks z8, 0:34:21
Rensning Ham z8, 0:34:24
Utkast Ham z8, 0:34:26
Inslag Ham z6, 0:34:49
Försök Ham z5, 0:34:06
Närkamp Iks z8, 0:35:25
Passning straffområde Iks z7, 0:35:26
Hörna Iks z7, 0:35:27
Hörnmål Iks z8, 0:35:57
Skottyp fast Iks z8, 0:35:57
Avslag Ham z5, 0:36:28
Bolltapp passförsök Ham z5, 0:36:37
Hörna Iks z9, 0:36:39
Skott räddning Iks z8, 0:37:10
Skottyp fast Iks z8, 0:37:10
Rensning Ham z8, 0:37:12
Bolltapp tappad Iks z5, 0:38:26
Skott utanför Ham z3, 0:37:33
skottyp utifrån Ham z3, 0:37:33
Utkast Iks z2, 0:37:36
Passning straffområde Iks z5, 0:38:20
Brytning Ham z8, 0:38:20
Närkamp Iks z7, 0:38:22
Frislag Iks z7, 0:38:24
Bolltapp passförsök Iks z7, 0:39:15
Närkamp Ham sju, 0:39:18
Passning straffområde Ham z3, 0:39:30
Utkast Iks z2, 0:39:35
Passning straffområde Iks z6, 0:40:08 
Utkast Ham z8, 0:40:11
närkamp Iks z6, 0:40:30
Passning straffområde Iks z9, 0:41:10
Skott räddning Iks z8, 0:41:15
Skottyp skottyp inlägg Iks z8, 0:41:15
Hörna Iks z9, 0:41:24
bolltapp passförsök Iks z5, 0:41:49
Närkamp Ham z5, 0:41:54
Passning straffområde Ham z3, 0:42:02
Skott räddning Ham z2, 0:42:03
Skottyp skottyp inlägg Ham z2, 0:42:03
Närkamp Ham z2, 0:42:08
Skott täckt Ham z2, 0:42:10
