event,time
avslag fri z5, 00:00:00
passning lång fri z8, 00:00:06
rensning iks z5, 00:00:08
skott utanför fri z2, 00:00:20
skottyp utifrån fri z2, 00:00:20
utkast iks z2, 00:00:22
Närkamp fri z6, 00:00:35
inslag fri z6, 00:00:40
passning lång fri z6, 00:00:40
brytning iks z2, 00:00:40
passning lång iks z5, 00:00:40
Utkast fri z8, 00:00:40
Passning straffområde fri z1, 00:00:48
rensning iks z2, 00:00:50
Bolltapp tappad iks z1, 00:01:8
Närkamp iks z1, 00:01:12
Passning straffområde iks z9, 00:01:35
mål spelmål iks z8, 00:01:42
skottyp centralt iks z8, 00:01:42
avslag fri z5, 00:02:23
Närkamp iks z1, 00:03:28
frislag iks z4, 00:03:37
Passning straffområde iks z9, 00:03:52
skott täckt iks z8, 00:03:57
skottyp centralt iks z8, 00:03:57
passning lång iks z5, 00:04:17
hörna iks z9, 00:04:20
skott täckt iks z8, 00:04:55
skottyp fast iks z8, 00:04:55
Utkast fri z8, 00:04:57
Närkamp fri z4, 00:05:16
passning farlig fri z5, 00:05:40
skott utanför fri z2, 00:05:42
skottyp utifrån fri z2, 00:05:42
Utkast iks z2, 00:05:47
bolltapp passförsök iks z5, 00:05:57
inslag iks z6, 00:06:04
passning farlig iks z5, 00:06:45
skott täckt iks z8, 00:06:47
skottyp centralt iks z8, 00:06:47
skott täckt iks z8, 00:06:48
skottyp retur iks z8, 00:06:48
boll fri z8, 00:06:52
frislag fri z6, 00:06:58
Brytning iks z5, 00:07:38
Passning straffområde iks z9, 00:07:46
Brytning fri z8, 00:07:48
Utkast iks z2, 00:08:18
passning lång iks z5, 00:08:29
skott utanför iks z8, 00:08:36
skottyp centralt iks z8, 00:08:36
Utkast fri z8, 00:08:38
passning lång fri z4, 00:09:05
skott täckt fri z2, 00:09:11
skottyp utifrån fri z2, 00:09:11
boll iks z2, 00:09:12
Närkamp fri z6, 00:09:15
Närkamp iks z3, 00:09:19
40 iks z6, 00:09:45
passning lång iks z5, 00:09:52
Brytning fri z8, 00:09:54
frislag fri z3, 00:10:09
Utkast iks z2, 00:10:14
Närkamp fri z8, 00:10:55
Passning straffområde fri z2, 00:11:6
hörna fri z1, 00:11:08
skott täckt fri z2, 00:11:35
skottyp fast fri z2, 00:11:35
skott täckt fri z2, 00:11:43
skottyp retur fri z2, 00:11:43
Närkamp iks z6, 00:11:50
Närkamp iks z5, 00:11:55
Närkamp fri z8, 00:11:59
Närkamp iks z4, 00:12:21
bolltapp passförsök iks z5, 00:12:25
Närkamp iks z2, 00:12:57
Bolltapp tappad iks z4, 00:13:45
frislag fri z5, 00:13:52
Närkamp fri z7, 00:14:27
frislag fri z1, 00:14:39
passning straffområde fri z1, 00:15:6
brytning iks z2, 00:15:08
Passning straffområde iks z9, 00:15:19
utkast fri z8, 00:15:20
rensning fri z4, 00:15:55
passning lång iks z5, 00:16:09
passning farlig iks z8, 00:16:11
mål spelmål iks z8, 00:16:12
passning friställande iks z8, 00:16:12
timeout fri, 00:16:45
avslag fri z5, 00:18:19
bolltapp passförsök fri z5, 00:18:49
hörna iks z9, 00:19:00
