event,time
avslag gri z5, 0:00:00
passning lång gri z9, 0:00:04
Brytning iks z3, 0:00:15
bolltapp passförsök iks z5, 0:00:22
skott utanför gri z5, 0:00:27
skottyp utifrån gri z5, 0:00:27
Utkast iks z2, 0:00:29
Bolltapp tappad iks z9, 0:00:48
Utkast gri z8, 0:00:49
Passning straffområde gri z1, 0:01:05
Utkast iks z2, 0:01:10
passning lång iks z6, 0:01:42
Brytning gri z8, 0:01:48
Boll iks z7, 0:01:50
Närkamp gri z4, 0:01:52
Brytning iks z2, 0:02:00
Närkamp gri z2, 0:02:05
Passning straffområde gri z3, 0:02:12
Brytning iks z2, 0:02:14
hörna gri z1, 0:02:14
skott täckt gri z2, 0:02:42
skottyp fast gri z2, 0:02:42
skott räddning gri z2, 0:02:45
skottyp retur gri z2, 0:02:45
rensning iks z2, 0:02:50
passning lång gri z6, 0:02:54
Brytning iks z3, 0:02:56
Utkast gri z8, 0:03:08
Närkamp gri z4, 0:03:20
Passning straffområde gri z1, 0:03:24
mål spelmål gri z2, 0:03:26
inlägg gri z2, 0:03:26
avslag iks z5, 0:03:55
skott räddning iks z8, 0:04:15
skottyp utifrån iks z8, 0:04:15
offside iks z8, 0:04:17
Närkamp gri z4, 0:04:32
Närkamp iks z4, 0:04:36
Bolltapp tappad iks z4, 0:04:44
Brytning iks z5, 0:04:50
skott täckt gri z2, 0:04:52
skottyp utifrån gri z2, 0:04:52
hörna gri z3, 0:04:53
skott täckt gri z2, 0:05:32
skottyp fast gri z2, 0:05:32
Utkast iks z2, 0:05:38
Närkamp gri z8, 0:06:38
bolltapp passförsök gri z5, 0:06:45
Närkamp iks z9, 0:07:00
hörna iks z9, 0:07:01
skott täckt iks z8, 0:07:30
skottyp fast iks z8, 0:07:30
Utkast gri z8, 0:07:38
bolltapp tappad gri z7, 0:07:44
Brytning gri z7, 0:08:00
hörna iks z7, 0:08:00
skott täckt iks z8, 0:08:30
skottyp fast iks z8, 0:08:30
kontring gri z8, 0:08:33
skott räddning gri z2, 0:08:40
dribbling gri z2, 0:08:40
friläge gri z2, 0:08:42
boll iks z2, 0:08:44
Närkamp gri z8, 0:08:55
Närkamp iks z2, 0:09:13
Utkast iks z2, 0:09:14
frislag iks z6, 0:09:23
frislag iks z9, 0:09:50
Passning straffområde iks z9, 0:10:08
Brytning gri z8, 0:10:11
Utkast gri z8, 0:10:12
passning lång gri z6, 0:10:20
frislag gri z2, 0:10:28
passning farlig gri z2, 0:10:37
Närkamp iks z3, 0:10:38
frislag iks z4, 0:10:46
passning lång iks z6, 0:10:51
Utkast gri z8, 0:10:53
passning lång gri z5, 0:11:05
Brytning iks z2, 0:11:06
frislag iks z5, 0:11:16
hörna iks z9, 0:11:48
skott räddning iks z8, 0:12:14
skottyp fast iks z8, 0:12:14
skott täckt iks z8, 0:12:24
skottyp retur iks z8, 0:12:24
skott utanför iks z8, 0:12:25
skottyp retur iks z8, 0:12:25
Utkast gri z8, 0:12:27
Närkamp iks z5, 0:12:53
passning farlig iks z8, 0:13:20
skott räddning iks z8, 0:13:22
skottyp friställande iks z8, 0:13:22
Närkamp gri z9, 0:13:29
Brytning iks z3, 0:13:42
rensning iks z3, 0:13:45
inslag gri z3, 0:13:48
frislag iks z4, 0:14:20
Närkamp iks z5, 0:14:40
skott räddning iks z8, 0:14:48
skottyp utifrån iks z8, 0:14:48
hörna iks z9, 0:14:50
skott utanför iks z8, 0:15:15
skottyp fast iks z8, 0:15:15
Utkast gri z8, 0:15:35
inslag gri z6, 0:15:43
passning lång gri z5, 0:15:58
skott täckt gri z2, 0:16:03
inlägg gri z2, 0:16:03
hörna gri z3, 0:16:04
skott utanför gri z2, 0:16:30
skottyp fast gri z2, 0:16:30
Utkast iks z2, 0:16:41
bolltapp passförsök iks z5, 0:16:55
Utkast gri z8, 0:16:58
hörna gri z1, 0:17:15
skott utanför gri z2, 0:17:45
skottyp fast gri z2, 0:17:45
Utkast iks z2, 0:17:55
skott utanför iks z7, 0:18:14
skottyp utifrån iks z7, 0:18:14
Utkast gri z8, 0:18:15
passning lång gri z8, 0:18:16
Utkast iks z2, 0:18:24
Närkamp iks z9, 0:18:35
Brytning gri z5, 0:19:38
Brytning iks z2, 0:19:44
Närkamp gri z5, 0:20:03
skott utanför gri z2, 0:20:15
skottyp utifrån gri z2, 0:20:15
Utkast iks z2, 0:20:17
Närkamp gri z6, 0:20:38
passning farlig gri z2, 0:20:55
skott utanför gri z2, 0:20:55
centralt gri z2, 0:20:56
Utkast iks z2, 0:20:58
hörna iks z7, 0:21:29
skott täckt iks z8, 0:22:00
skottyp fast iks z8, 0:22:00
skott täckt iks z8, 0:22:05
skottyp retur iks z8, 0:22:05
rensning gri z8, 0:22:13
inslag iks z6, 0:22:20
passning lång iks z5, 0:22:53
Brytning gri z8, 0:22:56
Närkamp gri z7, 0:23:03
rensning gri z7, 0:23:04
hörna iks z7, 0:24:00
skott täckt iks z8, 0:24:25
skottyp fast iks z8, 0:24:25
skott räddning iks z8, 0:24:32
skottyp retur iks z8, 0:24:32
Utkast gri z8, 0:24:34
Närkamp iks z6, 0:24:50
Närkamp gri z6, 0:24:52
inslag gri z1, 0:25:02
Passning straffområde gri z1, 0:25:45
Närkamp iks z2, 0:25:55
Brytning gri z2, 0:25:58
skott räddning gri z2, 0:26:10
centralt gri z2, 0:26:10
skott täckt gri z2, 0:26:11
skottyp retur gri z2, 0:26:11
hörna gri z1, 0:26:12
skott täckt gri z2, 0:26:42
skottyp fast gri z2, 0:26:42
Passning straffområde gri z1, 0:26:51
skott räddning gri z2, 0:26:55
inlägg gri z2, 0:26:55
Brytning iks z2, 0:27:14
Brytning gri z6, 0:27:22
frislag gri z6, 0:27:29
timeout iks z, 0:27:30
passning lång gri z6, 0:29:29
Brytning iks z2, 0:29:35
frislag gri z6, 0:29:40
Närkamp iks z2, 0:29:51
Brytning gri z4, 0:29:57
Brytning iks z4, 0:30:02
hörna iks z7, 0:30:25
skott utanför iks z8, 0:30:49
skottyp fast iks z8, 0:30:49
Utkast gri z8, 0:30:59
passning lång gri z5, 0:31:6
Utkast iks z2, 0:31:08
Närkamp gri z6, 0:31:33
offside gri z3, 0:31:42
passning lång iks z5, 0:31:50
mål spelmål iks z8, 0:31:56
skottyp friställande iks z8, 0:31:56
avslag gri z5, 0:32:26
passning lång gri z4, 0:32:42
Brytning iks z2, 0:32:43
Närkamp gri z1, 0:32:47
bolltapp tappad gri z1, 0:32:49
inslag gri z9, 0:33:01
passning lång gri z9, 0:33:12
frislag iks z6, 0:33:21
Närkamp gri z8, 0:33:52
Brytning iks z4, 0:34:04
frislag iks z8, 0:34:17
Brytning gri z7, 0:34:41
Närkamp iks z7, 0:34:46
Närkamp iks z8, 0:34:52
Närkamp iks z8, 0:35:12
Närkamp iks z8, 0:35:50
passning lång iks z5, 0:36:20
Utkast gri z8, 0:36:24
passning lång gri z6, 0:36:32
Utkast iks z2, 0:36:36
passning lång iks z5, 0:36:46
Utkast gri z8, 0:36:55
Närkamp gri z2, 0:37:00
Närkamp gri z9, 0:37:30
skott räddning gri z2, 0:37:48
dribbling gri z2, 0:37:48
Utkast iks z2, 0:37:49
Passning straffområde iks z7, 0:38:11
mål spelmål iks z8, 0:38:12
inlägg iks z8, 0:38:12
avslag gri z5, 0:38:51
Närkamp iks z2, 0:39:00
frislag iks z6, 0:39:12
passning lång iks z6, 0:39:36
offside iks z9, 0:39:40
Närkamp iks z4, 0:40:21
friläge iks z8, 0:40:25
Brytning gri z8, 0:40:27
timeoutz, 0:41:35
frislag gri z8, 0:42:55
passning lång gri z6, 0:43:5
Närkamp iks z1, 0:43:10
frislag gri z4, 0:43:17
inslag gri z4, 0:43:30
Passning straffområde gri z4, 0:43:43
skott täckt gri z2, 0:43:50
inlägg gri z2, 0:43:50
hörna gri z1, 0:43:53
skott täckt gri z2, 0:44:15
skottyp fast gri z2, 0:44:15
skott täckt gri z2, 0:44:22
skottyp retur gri z2, 0:44:22
rensning iks z2, 0:44:24
inslag gri z4, 0:44:27
Passning straffområde gri z4, 0:44:34
skott räddning gri z2, 0:44:40
inlägg gri z2, 0:44:40
Utkast iks z2, 0:44:42
passning lång iks z2, 0:44:45
Brytning gri z6, 0:44:50
Brytning iks z5, 0:44:53
Närkamp gri z8, 0:45:00
Närkamp iks z7, 0:45:07
frislag iks z7, 0:45:18
frislag gri z7, 0:45:30
Närkamp iks z4, 0:45:43
bolltapp passförsök iks z4, 0:45:44
Brytning iks z2, 0:45:48
Närkamp gri z6, 0:45:55
Brytning iks z6, 0:45:59
frislag iks z6, 0:46:04
passning lång iks z6, 0:46:12
Brytning gri z5, 0:46:17
rensning iks z4, 0:46:27
passning lång gri z6, 0:46:38
Brytning iks z2, 0:46:45
Närkamp iks z6, 0:46:52
passning lång iks z6, 0:47:08
Utkast gri z8, 0:47:11
inslag gri z4, 0:47:15
passning lång gri z4, 0:47:30
skott utanför gri z2, 0:47:42
inlägg gri z2, 0:47:42
Utkast iks z2, 0:47:44
passning lång iks z2, 0:47:53
Utkast gri z8, 0:47:59
passning lång gri z4, 0:48:01
skott utanför gri z2, 0:48:08
inlägg gri z2, 0:48:08
Utkast iks z2, 0:48:09
Närkamp gri z6, 0:48:25
passning lång gri z4, 0:48:31
mål spelmål gri z2, 0:48:42
inlägg gri z2, 0:48:42
avslag iks z5, 0:49:08
Närkamp iks z4, 0:49:29
stop, 0:49:30
