event,time
avslag iks z5, 0:00:00
skott täckt iks z2, 0:00:52
skottyp utifrån iks z2, 0:00:52
frislag iks z1, 0:01:00
Passning straffområde iks z1, 0:01:16
Utkast bro z2, 0:01:18
skott räddning bro z9, 0:01:42
skottyp utifrån bro z9, 0:01:42
skott täckt bro z8, 0:01:46
skottyp utifrån bro z8, 0:01:46
boll iks z9, 0:01:48
skott utanför iks z3, 0:02:00
skottyp utifrån iks z3, 0:02:00
Utkast bro z2, 0:02:02
Närkamp bro z5, 0:02:34
Närkamp iks z2, 0:02:43
frislag iks z5, 0:03:00
passning lång iks z5, 0:03:34
Brytning bro z3, 0:03:38
Närkamp iks z4, 0:03:45
passning lång iks z5, 0:04:18
Utkast bro z2, 0:04:20
brytning iks z8, 0:05:15
Utkast iks z8, 0:05:17
Passning straffområde iks z3, 0:05:40
skott täckt iks z2, 0:05:42
skottyp inlägg iks z2, 0:05:42
rensning bro z2, 0:05:45
Brytning bro z1, 0:06:30
Passning straffområde bro z7, 0:06:42
Utkast iks z8, 0:06:45
Brytning bro z2, 0:07:05
frislag iks z6, 0:07:15
Närkamp bro z5, 0:07:42
Närkamp iks z5, 0:07:50
frislag iks z8, 0:08:00
skott täckt iks z3, 0:10:43
skottyp utifrån iks z3, 0:10:43
boll bro z3, 0:10:43
Närkamp iks z6, 0:10:49
Närkamp iks z6, 0:10:55
passning farlig iks z5, 0:11:15
skott utanför iks z2, 0:11:18
skottyp centralt iks z2, 0:11:18
Utkast iks z2, 0:11:20
Närkamp bro z4, 0:11:33
Närkamp iks z7, 0:11:48
inslag iks z7, 0:11:50
Brytning bro z3, 0:12:03
Utkast iks z8, 0:12:17
passning lång iks z5, 0:12:32
Brytning bro z2, 0:12:36
Närkamp bro z4, 0:12:50
Närkamp iks z4, 0:12:56
Närkamp bro z5, 0:13:05
mål spelmål bro z8, 0:13:14
skottyp centralt bro z8, 0:13:14
avslag iks z5, 0:13:44
hörna bro z7, 0:14:00
skott utanför bro z8, 0:14:35
skottyp fast bro z8, 0:14:35
Utkast iks z8, 0:14:36
skott täckt iks z2, 0:14:56
skottyp dribbling iks z2, 0:14:56
hörna iks z1, 0:14:56
skott utanför iks z2, 0:15:36
skottyp fast iks z2, 0:15:36
Utkast bro z2, 0:15:39
Passning straffområde bro z9, 0:16:20
Brytning iks z8, 0:16:21
skott utanför bro z8, 0:16:22
skottyp utifrån bro z8, 0:16:22
Utkast iks z8, 0:16:24
Brytning bro z3, 0:16:39
hörna bro z9, 0:16:53
skott räddning bro z8, 0:17:20
skottyp fast bro z8, 0:17:20
passning lång bro z5, 0:17:40
Utkast iks z8, 0:17:44
Passning straffområde iks z3, 0:18:05
rensning bro z2, 0:18:10
Passning straffområde iks z3, 0:18:36
boll bro z2, 0:18:40
Närkamp iks z4, 0:18:44
skott räddning iks z3, 0:19:57
skottyp utifrån iks z3, 0:19:57
Utkast bro z2, 0:19:58
offside bro z8, 0:20:09
skott utanför iks z3, 0:20:36
skottyp utifrån iks z3, 0:20:36
Utkast bro z2, 0:20:40
bolltapp passförsök bro z5, 0:20:55
