event,time
avslag bro z5, 0:00:00
passning lång bro z7, 0:00:15
Brytning iks z4, 0:00:18
passning lång iks z5, 0:00:57
Brytning bro z2, 0:00:59
Passning straffområde bro z1, 0:01:18
Brytning iks z2, 0:01:19
Närkamp iks z6, 0:01:25
skott räddning iks z8, 0:01:44
skottyp centralt iks z8, 0:01:44
hörna iks z9, 0:01:45
skott täckt iks z8, 0:02:16
skottyp fast iks z8, 0:02:16
Utkast bro z8, 0:02:18
Passning straffområde bro z1, 0:02:44
Brytning iks z2, 0:02:44
Närkamp iks z1, 0:02:54
Utkast iks z2, 0:02:55
skott täckt iks z8, 0:03:05
skottyp utifrån iks z8, 0:03:05
boll bro z8, 0:03:06
frislag bro z7, 0:03:35
bolltapp passförsök bro z5, 0:03:52
Passning straffområde iks z7, 0:04:02
skott täckt iks z8, 0:04:03
skottyp inlägg iks z8, 0:04:03
hörna iks z9, 0:04:04
skott utanför iks z8, 0:04:40
skottyp fast iks z8, 0:04:40
Utkast bro z8, 0:04:42
Närkamp iks z1, 0:04:55
passning farlig iks z7, 0:05:09
mål spelmål iks z8, 0:05:11
skottyp dribbling iks z8, 0:05:11
timeout bro z, 0:05:31
avslag bro z5, 0:07:11
Brytning iks z1, 0:08:16
frislag iks z7, 0:08:30
passning lång iks z4, 0:09:14
Brytning bro z8, 0:09:20
Närkamp bro z7, 0:09:25
passning farlig bro z2, 0:09:55
skott räddning bro z2, 0:09:57
skottyp centralt bro z2, 0:09:57
skott täckt bro z2, 0:10:00
skottyp retur bro z2, 0:10:00
Brytning iks z2, 0:10:45
hörna bro z3, 0:10:46
skott täckt bro z2, 0:11:12
skottyp fast bro z2, 0:11:12
inslag bro z1, 0:11:24
Passning straffområde bro z1, 0:11:28
Brytning iks z2, 0:11:30
Kontring iks z2, 0:11:31
skott utanför iks z8, 0:11:40
skottyp centralt iks z8, 0:11:40
Utkast bro z8, 0:11:42
Närkamp bro z5, 0:12:25
Närkamp bro z4, 0:12:30
hörna bro z1, 0:14:02
skott täckt bro z2, 0:14:32
skottyp fast bro z2, 0:14:32
Närkamp bro z4, 0:14:45
Närkamp iks z6, 0:15:09
Närkamp bro z9, 0:15:21
bolltapp passförsök bro z5, 0:15:50
Passning straffområde iks z7, 0:16:25
hörna iks z7, 0:16:29
skott täckt iks z8, 0:16:55
skottyp fast iks z8, 0:16:55
Utkast bro z8, 0:16:59
Brytning iks z4, 0:17:16
skott utanför iks z8, 0:17:26
skottyp centralt iks z8, 0:17:26
Utkast bro z8, 0:17:27
Bolltapp tappad bro z4, 0:17:34
skott räddning iks z7, 0:17:41
skottyp utifrån iks z7, 0:17:41
Utkast bro z8, 0:17:51
skott utanför bro z2, 0:18:04
skottyp utifrån bro z2, 0:18:04
Utkast iks z2, 0:18:10
passning farlig iks z7, 0:18:24
Utkast bro z8, 0:18:25
frislag bro z5, 0:19:08
passning lång bro z5, 0:19:22
Utkast iks z2, 0:19:24
passning lång iks z4, 0:19:41
