event,time
avslag iks z5, 0:00:00
Brytning eds z4, 0:01:28
Närkamp eds z4, 0:01:33
skott räddning eds z2, 0:01:39
skottyp inlägg eds z2, 0:01:39
hörna eds z1, 0:01:40
skott räddning eds z2, 0:02:06
skottyp fast eds z2, 0:02:06
Utkast iks z2, 0:02:11
passning lång iks z6, 0:02:29
Utkast eds z8, 0:02:30
passning lång eds z5, 0:03:21
Bolltapp tappad eds z2, 0:03:29
Bolltapp tappad iks z5, 0:03:33
Brytning iks z2, 0:03:39
Utkast iks z2, 0:03:40
Närkamp eds z5, 0:03:57
Utkast iks z2, 0:04:09
passning farlig iks z8, 0:04:32
skott utanför iks z8, 0:04:33
skottyp centralt iks z8, 0:04:33
Utkast eds z8, 0:04:34
passning lång eds z5, 0:04:55
Brytning iks z3, 0:05:02
Utkast eds z8, 0:05:50
Bolltapp tappad eds z5, 0:05:50
Närkamp iks z5, 0:06:03
skott utanför iks z8, 0:06:35
skottyp utifrån iks z8, 0:06:35
Utkast eds z8, 0:06:36
frislag eds z1, 0:07:00
Bolltapp tappad eds z4, 0:07:51
passning lång iks z5, 0:08:01
Passning straffområde iks z9, 0:08:33
Brytning eds z8, 0:08:35
bolltapp passförsök eds z6, 0:08:57
Brytning eds z9, 0:09:23
frislag eds z3, 0:09:36
Utkast iks z2, 0:10:01
Brytning eds z8, 0:10:17
skott täckt eds z2, 0:10:29
skottyp utifrån eds z2, 0:10:29
hörna eds z1, 0:10:30
skott täckt eds z2, 0:10:58
skottyp fast eds z2, 0:10:58
boll iks z3, 0:10:59
Närkamp iks z3, 0:11:20
Närkamp eds z6, 0:11:24
Närkamp iks z5, 0:12:20
frislag iks z9, 0:12:29
bolltapp passförsök iks z4, 0:13:10
Brytning iks z2, 0:13:19
inslag iks z1, 0:13:25
bolltapp passförsök iks z5, 0:13:48
skott räddning eds z2, 0:14:11
skottyp utifrån eds z2, 0:14:11
Utkast iks z2, 0:14:12
Brytning iks z4, 0:14:28
Brytning eds z2, 0:14:36
Utkast eds z8, 0:15:50
passning lång eds z4, 0:15:56
Brytning iks z2, 0:16:03
frislag iks z6, 0:16:30
Närkamp eds z9, 0:17:08
Närkamp iks z6, 0:17:14
Utkast eds z8, 0:17:25
frislag eds z3, 0:18:08
Närkamp iks z9, 0:18:55
skott täckt iks z8, 0:18:59
skottyp utifrån iks z8, 0:18:59
skott utanför iks z8, 0:19:01
skottyp utifrån iks z8, 0:19:01
Utkast eds z8, 0:19:02
Passning straffområde eds z5, 0:19:25
Brytning iks z2, 0:19:26
frislag iks z8, 0:19:50
Passning straffområde iks z8, 0:20:10
Brytning iks z8, 0:20:10
hörna iks z9, 0:20:11
mål hörnmål iks z8, 0:20:44
skottyp fast iks z8, 0:20:44
avslag eds z5, 0:21:15
frislag eds z6, 0:22:11
Passning straffområde eds z1, 0:22:40
rensning iks z2, 0:22:44
Närkamp iks z2, 0:22:55
Brytning eds z7, 0:23:30
passning lång eds z5, 0:23:57
frislag eds z3, 0:24:31
passning lång eds z6, 0:25:02
Utkast iks z2, 0:25:06
hörna iks z9, 0:25:59
skott räddning iks z8, 0:26:25
skottyp fast iks z8, 0:26:25
Utkast eds z8, 0:26:35
Närkamp eds z1, 0:26:50
Närkamp eds z5, 0:27:02
Närkamp iks z2, 0:28:15
Närkamp eds z4, 0:28:22
Passning straffområde eds z1, 0:28:37
Utkast iks z2, 0:28:40
Passning straffområde iks z7, 0:29:38
rensning eds z8, 0:29:45
skott täckt iks z8, 0:29:45
skottyp utifrån iks z8, 0:29:45
boll eds z8, 0:29:46
rensning eds z6, 0:29:52
Närkamp iks z6, 0:30:00
Närkamp eds z4, 0:30:16
skott täckt eds z2, 0:30:25
skottyp utifrån eds z2, 0:30:25
passning farlig eds z2, 0:30:26
mål spelmål eds z2, 0:30:29
skottyp retur eds z2, 0:30:29
avslag iks z5, 0:31:05
frislag iks z5, 0:31:40
Utkast eds z8, 0:32:59
Närkamp iks z1, 0:33:20
Närkamp eds z4, 0:33:28
Närkamp iks z2, 0:33:35
Närkamp iks z6, 0:34:11
bolltapp passförsök iks z3, 0:34:46
Brytning iks z1, 0:35:34
Passning straffområde iks z7, 0:35:51
Brytning eds z8, 0:35:53
Utkast iks z2, 0:36:14
passning farlig iks z2, 0:36:35
skott räddning iks z9, 0:37:05
skottyp utifrån iks z9, 0:37:05
boll eds z8, 0:37:10
Närkamp eds z8, 0:37:12
frislag eds z5, 0:38:00
hörna eds z1, 0:38:30
skott täckt eds z2, 0:38:55
skottyp fast eds z2, 0:38:55
Utkast iks z2, 0:39:05
passning lång iks z5, 0:39:10
Utkast eds z8, 0:39:14
Närkamp iks z1, 0:39:37
Närkamp eds z7, 0:39:49
Närkamp eds z5, 0:40:02
passning lång eds z4, 0:40:12
Brytning iks z2, 0:40:13
frislag iks z8, 0:40:29
utvisning 5a eds z8, 0:40:29
skott räddning iks z8, 0:41:22
skottyp fast iks z8, 0:41:22
skott utanför iks z8, 0:41:25
skottyp retur iks z8, 0:41:25
Utkast eds z8, 0:41:27
Närkamp eds z5, 0:41:45
frislag eds z4, 0:41:51
Brytning iks z2, 0:42:09
Brytning eds z8, 0:42:25
Närkamp eds z9, 0:42:27
passning lång eds z5, 0:43:01
Brytning iks z2, 0:43:04
Närkamp eds z4, 0:43:11
hörna eds z1, 0:43:33
skott täckt eds z2, 0:44:00
skottyp fast eds z2, 0:44:00
Närkamp iks z4, 0:44:15
Utkast eds z8, 0:44:36
stop, 0:45:01
