Event, time
avslag eds z5, 0:00:00
hörna eds z9, 0:00:13
skott utanför eds z8, 0:00:45
skottyp fast eds z8, 0:00:45
Utkast iks z8, 0:00:50
passning lång iks z4, 0:01:22
Utkast eds z2, 0:01:25
Passning straffområde eds z7, 0:02:00
Brytning iks z8, 0:02:03
utkast iks z8, 0:02:03
passning lång iks z6, 0:02:11
Brytning eds z2, 0:02:15
Passning straffområde eds z8, 0:02:33
Brytning iks z8, 0:02:38
skott utanför iks z2, 0:02:50
skottyp utifrån iks z2, 0:02:50
Utkast eds z2, 0:02:52
frislag eds z7, 0:03:20
skott utanför eds z8, 0:04:03
skottyp dribbling eds z8, 0:04:03
Utkast iks z8, 0:04:05
Utkast eds z2, 0:04:33
Närkamp iks z5, 0:04:50
Närkamp eds z2, 0:04:58
Närkamp eds z3, 0:05:06
skott utanför eds z5, 0:05:24
skottyp utifrån eds z5, 0:05:24
Utkast iks z8, 0:05:25
Utkast eds z2, 0:05:51
Bolltapp tappad eds z5, 0:06:01
Brytning eds z5, 0:06:07
Passning straffområde eds z7, 0:06:24
rensning iks z8, 0:06:26
Närkamp iks z5, 0:06:33
kontring iks z5, 0:06:34
skott utanför iks z2, 0:06:40
skottyp utifrån iks z2, 0:06:40
Utkast eds z2, 0:06:42
bolltapp passförsök eds z4, 0:06:11
Närkamp iks z5, 0:06:50
passning lång iks z5, 0:08:12
Brytning eds z2, 0:08:15
Närkamp iks z6, 0:08:25
frislag iks z6, 0:08:27
passning lång iks z5, 0:09:22
Utkast eds z2, 0:09:26
Närkamp eds z9, 0:09:42
hörna eds z9, 0:09:46
skott utanför eds z8, 0:10:12
skottyp fast eds z8, 0:10:12
Utkast iks z8, 0:10:17
frislag iks z1, 0:11:03
skott täckt iks z2, 0:11:48
skottyp centralt iks z2, 0:11:48
rensning eds z2, 0:11:49
Närkamp eds z5, 0:11:51
Kontring eds z5, 0:11:57
Utkast iks z8, 0:11:59
Passning straffområde iks z3, 0:12:15
Utkast eds z2, 0:12:16
frislag eds z6, 0:12:28
Brytning iks z8, 0:12:50
skott räddning iks z3, 0:13:09
skottyp utifrån iks z3, 0:13:09
offside iks z2, 0:13:10
frislag eds z4, 0:13:26
Passning straffområde eds z7, 0:13:53
brytning iks z8, 0:13:54
utkast iks z8, 0:13:55
passning farlig iks z2, 0:14:31
skott täckt iks z2, 0:14:32
skottyp centralt iks z2, 0:14:32
hörna iks z2, 0:14:33
skott utanför iks z2, 0:15:00
skottyp fast iks z2, 0:15:00
Utkast eds z2, 0:15:04
skott utanför eds z8, 0:15:14
skottyp utifrån eds z8, 0:15:14
Utkast iks z8, 0:15:15
bolltapp passförsök iks z5, 0:15:42
skott täckt eds z8, 0:16:00
skottyp dribbling eds z8, 0:16:00
straff eds z8, 0:16:01
skott räddning eds z8, 0:16:54
skottyp fast eds z8, 0:16:54
rensning iks z8, 0:16:55
boll iks z8, 0:16:56
Närkamp iks z4, 0:17:02
Närkamp eds z2, 0:17:13
Passning straffområde eds z9, 0:17:27
Brytning iks z7, 0:17:28
passning lång iks z4, 0:17:34
Brytning eds z2, 0:17:37
skott räddning eds z8, 0:17:50
skottyp utifrån eds z8, 0:17:50
offside eds z8, 0:17:53
passning lång iks z5, 0:18:10
Utkast eds z2, 0:18:14
passning lång eds z6, 0:18:33
offside eds z2, 0:18:37
Passning straffområde iks z1, 0:19:02
frislag iks z3, 0:19:12
frislag iks z1, 0:19:50
hörna iks z1, 0:19:55
skott utanför iks z2, 0:20:25
skottyp fast iks z2, 0:20:25
Utkast eds z2, 0:20:33
skott utanför eds z8, 0:21:09
skottyp utifrån eds z8, 0:21:09
utkast iks z8, 0:21:10
passning farlig iks z2, 0:21:32
skott täckt iks z2, 0:21:33
skottyp utifrån iks z2, 0:21:33
hörna iks z3, 0:21:34
