event,time
avslag bol z5, 0:00:00
närkamp bol z9, 0:00:17
frislag bol z6, 0:00:20
skott utanför centralt bol z9, 0:01:46
utkast iks z8, 0:01:48
passning lång iks z5, 0:02:00
brytning bol z2, 0:02:04
passning straffområde bol z9, 0:02:25
bolltapp passförsök bol z7, 0:02:27
bolltapp tappad iks z6, 0:02:45
passning straffområde bol z9, 0:03:18
rensning iks z8, 0:03:19
inslag bol z7, 0:03:30
frislag bol z5, 0:03:47
passning lyft bol z5, 0:04:52
utkast iks z8, 0:04:58
bolltapp passningsförsök iks z2, 0:05:26
närkamp bol z1, 0:05:34
närkamp bol z4, 0:06:00
närkamp iks z6, 0:06:13
utkast iks z2, 0:06:14
frislag iks z6,0:06:32
passning lång iks z5, 0:06:58
brytning bol z2, 0:07:03
skott täckt bol z8, 0:07:24
skottyp inlägg bol z8, 0:07:24
skott täckt bol z9, 0:07:58
skottyp inlägg bol z9, 0:07:58
närkamp iks z9, 0:08:02 
passning lång iks z5, 0:08:37
utkast bol z2, 0:08:43
passning lång bol z4, 0:09:15
utkast iks z8, 0:09:18
bolltapp tappad iks z5, 0:09:29
frislag bol z6, 0:09:40
närkamp bol z5, 0:10:10
inslag bol z6, 0:10:15
skott räddning bol z8, 0:10:51
skottyp friställande bol z5,0:10:43
rensning iks z8, 0:11:00
skott utanför bol z8, 0:11:09
utkast iks z8, 0:11:18
närkamp iks z6, 0:11:50
bolltapp passförsök iks z5, 0:12:02
frislag bol z6, 0:12:10
skott täckt bol z8, 0:12:42
närkamp bol z3, 0:12:56
skott räddning bol z8, 0:13:16
skottyp inlägg bol z8, 0:13:16
bolltapp passförsök iks z5, 0:13:40
närkamp iks z8, 0:13:58
kontring iks z5, 0:14:04
utvisning 10 bol z4, 0:14:38
närkamp bol z3, 0:14:52
utkast bol z2; 0:14:53
passning lång z5, 0:15:15
räddning iks z8, 0:15:17
skott täckt z2, 0:15:37
hörna iks z1, 0:15:45
skott utanför iks z2; 0:16:10
skottyp fast iks z2; 0:16:10
utkast bol z1, 0:16:19
närkamp bol z6, 0:16:46
närkamp iks z6, 0:16:49
skott utanför iks z2, 0:17:00 
utkast bol z2, 0:17:01
bolltapp passförsök bol z4, 0:17:55
bolltapp passförsök iks z5, 0:18:02
passning straffområde bol z9, 0:18:58
brytning iks z8, 0:19:00
närkamp iks z6, 0:19:08
skott täckt iks z3, 0:19:41
hörna iks z3, 0:19:45
skott utanför iks z8, 0:20:10
skottyp fast iks z8, 0:20:10
utkast bol z2, 0:20:20
skott utanför bol z7, 0:20:52
utkast iks z7, 0:20:55
bolltapp passförsök iks z5, 0:21:31 
skott räddning bol z8, 0:21:40
skott täckt iks z2, 0:22:09
skott räddning bol z7, 0:22:32
närkamp iks z3, 0:23:11
skottyp dribbling z2, 0:23:34
räddning bol z2, 0:22:35
frislag bol z1, 0:23:48
närkamp iks z6, 0:24:37
närkamp bol z2, 0:24:48
närkamp iks z6, 0:25:49
skott täckt iks z3, 0:22:04
hörna iks z9, 0:26:10
skott täckt iks z8, 0:26:50
skottyp fast iks z8, 0:26:50
rensning bol z2, 0:26:55
passning farlig iks z5, 0:27:00
mål spelmål iks z2, 0:27:03
inslag bol z6, 0:28:03
brytning iks z7, 0:28:05
närkamp bol z5, 0:28:36
frislag bol z0, 0:28:57
brytning iks z5, 0:29:10
närkamp iks z6, 0:29:25
närkamp bol z5, 0:29:27
närkamp iks z6, 0:29:38
bolltapp tappad iks z5, 0:29:50
inslag iks z6, 0:30:39
bolltapp tappad iks z6, 0:30:50
hörna bol z7, 0:31:18
mål hörnmål bol z8, 0:31:24
passning lång iks z6, 0:32:20
brytning bol z2, 0:32:25
närkamp iks z2, 0:32:29
passning lång iks z5, 0:32:42
brytning bol z2, 0:32:48
närkamp iks z9, 0:33:09
utkast bol z2, 0:33:27
passning lång bol z2, 0:34:24
passning lång bol z6, 0:34:36
frislag iks z8, 0:34:41
närkamp bol z5, 0:35:23
hörna bol z7, 0:35:38
skott täckt bol z8,0:36:05
skottyp fast bol z8,0:36:05
skott räddning iks z8, 0:36:13
bolltapp passförsök iks z5, 0:36:56 
hörna bol z9, 0:37:40
skott utanför bol z8, 0:38:10
skottyp fast bol z8, 0:38:10
utkast iks z8, 0:38:15
skott räddning iks z1, 0:38:41
närkamp iks z1, 0:38:49
närkamp iks z2, 0:38:55
passning lång iks z6, 0:39:55
brytning bol z5, 0:39:57
närkamp iks z9, 0:40:24
närkamp bol z9, 0:40:30
hörna bol z9, 0:40:45
skott utanför bol z8, 0:41:10
skottyp fast bol z8, 0:41:10
utkast iks z8, 0:41:15
bolltapp passförsök iks z3, 0:41:56 
skott räddning bol z8, 0:42:56
passning lång iks z8, 0:43:23
utkast bol z2, 0:43:25
närkamp iks z7, 0:43:43
passning lång iks z4, 0:43:50
brytning bol z5, 0:43:50
närkamp iks z6, 0:44:10
närkamp bol z1, 0:44:29
bolltapp passförsök bol z4, 0:44:45
skott utanför iks z2, 0:45:05
stop,0:45:20
