event,time
Avslag villa,0:00:00 
närkamp Iks Z7,0:00:15 
Hörna Iks Z3,0:00:57 
skott täckt Iks Z2,0:00:57 
Skottyp fast iks z2,0:00:57 
Närkamp villa z6,0:01:24 
Skott räddning villa z7,0:01:29 
skottyp utifrån villa z7,0:01:29
inslag villa z6,0:01:39
Skott räddning villa z7,0:01:59 
skottyp utifrån villa z7,0:01:59
Hörna villa Z7,0:02:30 
Skott utanför villa Z8,0:02:47 
Skottyp fast villa Z8,0:02:47 
Närkamp villa Z7,0:03:15 
Närkamp IKS Z9,0:03:15 
Närkamp villa z3,03:30 
Räddning Sirius Z8,03:50 
räddning Iks Z8, 03:52 
Utkast villa Z2,0:04:20
Närkamp villa Z7,0:04:30
Hörna villa Z7,0:04:45 
Skott täckt villa Z8,0:04:50 
Skottyp fast Z8,0:04:50
Boll iks Z8,0:04:50
Bryt närkamp villa Z2,0:05:25 
Skott utanför villa Z7,0:05:30 
skottyp utifrån villa Z7,0:05:30
Utkast Iks Z8,0:05:52 
Närkamp Iks Z9,0:06:15 
Mål spelmål Iks Z2,0:06:30 
Skottyp dribbling Z2,0:06:30 
Avslag villa Z5,0:07:25 
Närkamp iks Z6,0:07:35 
Passning lång Iks Z5,0:07:40 
boll villa Z5,0:07:40 
Närkamp IKs Z9,0:08:00 
Närkamp villa z9,0:08:30
Utvisning Iks Z9,0:08:55 
Skott räddning villa Z9,0:09:20 
skottyp utifrån villa Z9,0:09:20
Närkamp Iks Z6,0:079:35 
Närkamp Iks Z4,0:0 09:50 
Utkast villa Z2,0:10:00 
Bolltapp passförsök villa Z7,0:10:15 
Passning lång Iks z5,0:10:30 
brytning villa Z2,0:10:45 
Skott räddning villa Z8,0:11:05 
skottyp utifrån villa Z8,0:11:05
Utkast Iks Z8,0:11:06 
Bolltapp passförsök Iks z3,0:11:20 
Närkamp Iks Z3,0:11:22 
Närkamp villa Z3,0:11:22 
Frislag villa Z3,0:11:33 
passning lång villa Z5,0:11:40 
Passning lång Iks Z5,0:11:59 
Boll villa z8,0:12:30 
skott utanför villa Z8,0:12:40 
skottyp centralt villa Z8,0:12:40 
Utkast Iks z8,0:12:42 
Närkamp villa Z7,0:13:02 
inspel straffområde villa Z7,0:13:03
närkamp Iks Z7,0:13:05 
Bolltapp passförsök Iks Z5,0:13:20 
Frislag villa Z5,0:13:20 
skott täckt villa Z8,0:13:30 
skottyp utifrån Z8,0:13:30
inspel straffområde villa Z7,0:13:40
Boll Iks Z8,0:13:30
inspel straffområde villa Z1,0:14:23
Hörna Iks Z3,0:14:30 
Skott Utanför iks z2,0:14:55 
Skottyp fast iks z2,0:14:55
Utkast villa Z3,0:15:10 
Skott utanför villa Z8,0:15:15 
skottyp utifrån villa Z8,0:15:15
Utkast Iks Z8,0:15:16 
Passning lång Iks Z5,0:15:28 
Utkast villa Z2,0:15:35 
bolltapp tappad villa z9,15:46
Närkamp Iks Z9,0:15:48 
Inslag Iks Z6,0:15:59 
Passning lång Iks Z4,0:16:20 
Utkast villa Z2,0:16:25
Passning lång villa Z4,0:16:31 
brytning Iks Z8,0:16:33 
Bolltapp pass Iks Z6,0:16:36 
Hörna villa Z9,0:17:10 
Mål hörnmål villa z8,0:17:40 
Skottyp fast villa z8,0:17:40 
Avslag Iks Z5,0:18:10 
Närkamp villa Z4,0:18:21 
Utkast Iks Z8,0:18:49 
Passning lång Iks Z6,0:19:20 
brytning villa z3,0:19:30
Hörna villa Z9,0:19:35 
Skott räddning villa Z8,0:20:00 
Skottyp centralt villa,0:20:00
Skott utanför villa Z8,0:20:09 
Skottyp utifrån villa Z8,0:20:09
Utkast Iks Z8,0:20:18 
Närkamp Iks Z7,0:20:26 
Närkamp villa z2,0:21:00 
Skott utanför villa Z9,0:21:15 
skottyp utifrån z9,0:21:15
Utkast Iks Z8,0:21:20 
Passförsök Iks z3,0:22:10 
Närkamp Iks Z8,0:22:18 
Frislag villa Z8,0:22:20 
Mål spelmål villa Z8,0:23:01 
Skottyp central Z8,0:23:01
Avslag Iks Z5,0:23:45 
Närkamp villa Z5,0:24:10
Passning lång iks z8,0:24:34
Bolltapp villa Z6,0:24:35 
Skott täckt Iks Z3,0:24:47 
skottyp utifrån Z3,0:24:47 
Boll villa Z3,0:24:47
Kontring villa Z3,0:24:54 
passning straffområde villa z8,0:25:02
Brytning Iks Z8,0:25:06 
Närkamp villa Z9,0:25:11 
Skott räddning villa Z8,0:25:23 
Skottyp centralt Z8,0:25:23
Skott utanför villa Z8,0:25:25 
skottyp centralt vill z8,0:25:25 
Utkast Iks z8,0:25:41 
Skott räddning Iks Z3,0:26:08 
skottyp utifrån iks z3,0:26:08  
Utkast villa Z2,0:26:10 
PAssning straffområde villa z8,0:26:25 
Närkamp villa z8,0:26:40 
passning straffområde villa z8,0:26:55
Skott täckt villa Z8,0:27:00 
skottyp centralt Z8,0:27:00 
Närkamp villa Z7,0:27:40 
skott Utanför villa Z9,0:28:30 
skottyp utifrån villa z9,0:28:30
Utkast Iks Z8,0:28:40 
Närkamp Iks Z5,0:29:00 
Frislag Iks Z6,0:29:20
passning straffområde iks z3,0:29:44
skott Täckt Iks Z2,0:29:46 
skottyp utifrån iks z2,0:29:46
närkamp villa Z3,0:29:50 
skott utanför villa Z8,0:30:00
skottyp utifrån villa z8,0:30:00
Utkast Iks Z8 0:30:25 
Skott utanför Iks Z1,0:30:35 
Skottyp utifrån iks Z1,0:30:35
Utkast villa Z2,0:30:34 
Bolltapp passförsök villa Z8,0:30:48 
Utkast Iks Z8,0:30:50 
Närkamp Iks Z6,0:31:20 
Närkamp Iks Z5,0:31:35 
Bolltapp passförsök Iks Z2,0:31:51 
Utkast villa Z2,0:31:52 
Närkamp Iks Z8,0:32:20 
Rensning Iks Z8,0:32:30:23 
Mål spelmål villa Z8,0:33:22 
Skottyp central 
Avslag Iks Z5,0:34:07 
Hörna Iks Z3,0:34:35 
Skott Räddning iks Z2,0:35:00 
Skottyp fast iks Z2,0:35:00
Boll iks Z2,0:35:00
Frislag Iks Z5,0:35:35 
Skott utanför Iks Z2,0:36:16 
skottyp centralt iks z2,0:36:16
Utkast villa Z2:36:16 
Skott utanför villa Z7,0:36:30 
Skottyp utifrån villa Z7,0:36:30 
Boll Sirius villa Z7,0:36:30 
Inslag Iks Z1,0:37:08 
Bolltapp passförsök Z3,0:37:35 
Skott räddning villa Z8,0:37:45 
Skottyp centralt villa Z8,0:37:45
Mål spelmål villa Z8,0:37:50 
Skottyp retur Z8,0:37:50
Avslag Iks Z5,0:38:25 
Utkast villa Z2,0:38:43 
Närkamp Iks Z8,0:39:02 
Bolltapp tappad Iks Z9,0:39:27 
Rensning Iks Z8,0:39:32 
Inslag villa Z6,0:39:42 
Bolltapp passförsök villa z9,0:40:05 
Passning Iks Z6,0:40:13 
Utkast villa Z2,0:40:16 
Utkast Iks Z8,0:40:37 
Frislag Iks Z5,0:41:15 
Bolltapp passförsök Iks Z6,0:41:29 
Närkamp Iks Z6,0:41:30 
Passning farlig Iks Z2,0:42:05 
Skott utanför Iks Z2,0:42:06 
skottyp centrali iks z2,0:42:06
Offside Iks Z 02:42:08 
utkast villa Z2,0:42:18 
Närkamp Iks Z8,0:42:25 
Närkamp villa Z2,0:42:32 
Skott räddning villa Z7,0:42:43 
Skottyp utifrån villa Z7,0:42:43
Boll villa Z7,0:42:43
Skott räddning villa Z7,0:43:03 
Skottyp utifrån villa Z7,0:43:03
Utkast Iks Z7,0:43:10 
Skott utifrån Iks Z1,0:43:38 
Skottyp inlägg Iks Z1,0:43:38
Närkamp villa Z3,0:43:47 
Närkamp villa Z9,0:44:12 
Offside villa Z8,0:44:25 
Inslag Iks Z4,0:44:42 
Närkamp villa Z2,0:44:45 
stop,0:45:00
