event,time
Avslag RÄT z5,00:00
Passning lÅng RÄT Z6,00:10 
boll IKS Z6,00:10
NÄrkamp RÄT z1,00:25
Passning straffomrÅde RÄT z7,00:41
Utkast IKS Z8,00:45
Bolltapp passfÖrsÖk IKS Z2,01:00
NÄrkamp IKS Z9,01:15 
nÄrkamp RÄT Z5,01:24
Frislag RÄT Z6,01:32
NÄrkamp IKS z6,02:00
Skott tÄckt IKS Z2,02:00
skottyp utifrÅn Z2,02:00
Boll RÄT Z2,02:00
Inslag IKS Z3,02:20
Bolltapp passfÖrsÖk IKS Z6,02:25
MÅl spelmÅl RÄT Z8,02:40
Skottyp utifrÅn RÄT Z8,02:40
Avslag IKS Z5,03:05
NÄrkamp RÄT Z3,03:20
Utkast RÄT Z2,03:30
NÄrkamp IKS Z5,03:40
Passning straffomrÅde IKS Z1,04:00
Skott utanfÖr IKS Z2,04:05
skottyp central IKS Z2,04:05
Utkast RÄT Z2,04:15
Utkast IKS z8,04:45
NÄrkamp IKS Z1,05:00
NÄrkamp RÄT Z1,05:02
Frislag RÄT Z7,05:25
Skott rÄddning RÄT Z8,05:45
Skottyp utifrÅn RÄT z8,05:45
Rensning IKS z8,05:45
Inslag RÄT Z9,05:50
Bolltapp passfÖrsÖk RÄT Z9,05:51
Passning lÅng IKS Z6,06:00
Utkast RÄT z2,06:06
NÄrkamp IKS z7,06:20
NÄrkamp RÄT Z2,06:43
Passning straffomrÅde RÄT Z8,06:55
NÄrkamp RÄT Z7,07:00
Passning lÅng RÄT Z6,07:10 
boll IKS Z2,07:10
NÄrkamp RÄT z8,07:20
mÅl spelmÅl RÄT Z8,07:40
Skottyp dribbling RÄT Z8,07:40
Time out IKS
Avslag IKS Z5,09:25
NÄrkamp IKS z5,10:00
Passning lÅng IKS Z5,10:19
Utkast RÄT z2,10:22
Bolltapp passfÖrsÖk RÄT z4,10:30
Skott utanfÖr IKS Z3,10:35
skottyp central IKS Z3,10:35
Utkast RÄT z2,10:40
Utkast IKS Z8,10:55
Bolltapp tappad IKS Z5,11:05
Skott tÄck RÄT Z8,11:15
HÖrna RÄT Z9,11:20
Skott rÄddning RÄT Z8,11:45
Skottyp fast Z8,11:45
Boll IKS Z8,11:47
NÄrkamp IKS Z6,12:05
Passning lÅng IKS z5,12:20
HÖrna IKS Z1,12:21
Skott rÄddning IKS Z2,12:55
skottyp fast IKS Z2,12:55
Utkast RÄT z2,13:00
NÄrkamp RÄT Z7,13:30
HÖrna RÄT Z7,13:35
Skott utanfÖr RÄT Z8,14:10
skottyp fast RÄT Z8,14:10
Utkast IKS Z8,14:20
Passning lÅng IKS Z6,14:25
Utkast RÄT Z2,14:30
nÄrkamp RÄT Z3,15:00
Passning lÅng RÄT Z1,15:05
NÄrkamp RÄT Z5,15:10
NÄrkamp IKS Z7,15:15
