event,time
avslag iks z5, 0:00:00
bolltapp passförsök iks z5, 0:00:09
skott räddning bro z9, 0:00:16
skottyp utifrån bro z9, 0:00:16
närkamp bro z7, 0:00:25
skott räddning bro z5, 0:00:46
skottyp utifrån bro z5, 0:00:46
skott täckt bro z9, 0:00:48
skottyp utifrån bro z9, 0:00:48
rensning iks z8, 0:00:51
inslag bro z9, 0:00:52
Bolltapp tappad bro z7, 0:01:18
frislag bro z7, 0:01:19
Passning straffområde bro z7, 0:01:30
rensning iks z8, 0:01:34
frislag bro z5, 0:01:53
Brytning iks z7, 0:01:30
inslag iks z7, 0:01:34
Brytning bro z6, 0:04:08
Närkamp iks z6, 0:04:11
frislag iks z6, 0:04:18
passning lång iks z5, 0:04:37
utvisning 10 bro z2, 0:04:39
frislag iks z2, 0:04:39
skott täckt iks z2, 0:05:52
skottyp dribbling iks z2, 0:05:52
boll bro z2, 0:05:53
inslag bro z3, 0:06:02
skott utanför bro z9, 0:06:26
skottyp utifrån bro z9, 0:06:26
Utkast iks z8, 0:06:30
Passning straffområde iks z6, 0:06:52
Utkast bro z2, 0:07:0
mål spelmål bro z8, 0:07:18
skottyp dribbling bro z8, 0:07:18
avslag iks z5, 0:07:49
utkast bro z2, 0:08:06
skott täckt bro z2, 0:08:18
skottyp utifrån bro z2, 0:08:18
boll iks z2, 0:08:19
Närkamp iks z6, 0:08:38
Passning straffområde iks z3, 0:09:05
utkast bro z2, 0:09:09
passning lång bro z3, 0:09:34
Närkamp iks z5, 0:09:40
bolltapp passförsök iks z7, 0:09:44
Närkamp iks z7, 0:09:48
Närkamp bro z7, 0:09:54
Närkamp iks z6, 0:10:15
frislag iks z5, 0:10:33
passning lång iks z5, 0:11:02
frislag iks z1, 0:11:03
utvisning 10 bro z1, 0:11:03
Passning straffområde iks z3, 0:11:58
rensning bro z2, 0:12:00
Utkast bro z1, 0:12:10
Närkamp iks z5, 0:12:22
Passning straffområde iks z2, 0:12:33
Utkast bro z2, 0:12:35
passning lång bro z6, 0:12:57
Passning straffområde bro z8, 0:13:06
hörna bro z7, 0:13:06
mål hörnmål bro z8, 0:13:40
skottyp fast bro z8, 0:13:40
avslag iks z5, 0:13:10
Passning straffområde iks z1, 0:14:46
Närkamp iks z2, 0:12:50
Passning straffområde iks z3, 0:15:0
Passning straffområde iks z1, 0:15:8
hörna iks z1, 0:15:08
skott täckt iks z2, 0:15:35
skottyp fast iks z2, 0:15:35
mål spelmål iks z2, 0:15:46
skottyp utifrån iks z2, 0:15:46
avslag bro z5, 0:16:30
närkamp bro z5, 0:16:59
närkamp iks z4, 0:17:03
Passning straffområde iks z4, 0:17:6
Brytning bro z2, 0:17:08
inslag bro z6, 0:17:21
Brytning iks z5, 0:17:32
Bolltapp tappad iks z4, 0:17:47
närkamp iks z1, 0:17:52
närkamp bro z1, 0:17:56
närkamp iks z5, 0:18:5
närkamp bro z5, 0:18:43
närkamp bro z5, 0:18:48
bolltapp passförsök bro z4, 0:18:53
Utkast iks z8, 0:18:55
passning lång iks z4, 0:19:00
Utkast bro z2, 0:19:5
frislag bro z4, 0:19:23
passning farlig bro z5, 0:19:44
skott räddning bro z8, 0:19:46
skottyp friställande bro z8, 0:19:46
boll iks z7, 0:19:50
närkamp iks z4, 0:19:55
Bolltapp tappad iks z4, 0:19:58
frislag bro z4, 0:20:01
utvisning 10 iks z7, 0:20:13
frislag bro z7, 0:20:13
bolltapp passförsök bro z5, 0:21:2
närkamp iks z7, 0:21:08
Passning straffområde iks z3, 0:21:22
Utkast bro z2, 0:21:23
passning lång bro z5, 0:21:32
offside bro z8, 0:21:35
bolltapp passförsök iks z7, 0:21:58
hörna bro z7, 0:21:58
skott utanför bro z8, 0:22:26
skottyp fast bro z8, 0:22:26
Utkast iks z8, 0:22:40
Passning straffområde iks z3, 0:22:55
Brytning bro z2, 0:22:57
bolltapp passförsök bro z3, 0:23:2
Närkamp bro z3, 0:23:06
frislag bro z3, 0:23:10
Närkamp iks z5, 0:23:24
skott täckt iks z2, 0:23:38
central iks z2, 0:23:38
rensning bro z2, 0:23:39
Brytning bro z6, 0:23:59
Brytning iks z6, 0:24:04
passning farlig iks z5, 0:24:16
Utkast bro z2, 0:24:18
Närkamp iks z6, 0:24:54
Brytning bro z4, 0:25:15
inslag bro z4, 0:25:17
passning lång bro z5, 0:25:30
Utkast iks z8, 0:25:37
bolltapp passförsök iks z6, 0:25:58
Närkamp iks z4, 0:26:10
bolltapp passförsök iks z2, 0:26:19
Passning straffområde bro z8, 0:26:33
skott täckt bro z8, 0:26:35
skottyp inlägg bro z8, 0:26:35
utkast iks z8, 0:26:40
inslag iks z9, 0:27:16
skott täckt iks z2, 0:27:34
skottyp dribbling iks z2, 0:27:34
boll bro z2, 0:27:36
Närkamp iks z8, 0:27:58
skott utanför iks z2, 0:28:15
skottyp dribbling iks z2, 0:28:15
utkast bro z2, 0:28:16
Närkamp iks z8, 0:28:28
utkast iks z8, 0:28:29
skott täckt iks z2, 0:28:46
skottyp dribbling iks z2, 0:28:46
rensning bro z2, 0:28:47
Närkamp bro z4, 0:28:51
Passning straffområde bro z7, 0:29:8
Passning straffområde bro z9, 0:29:34
rensning iks z8, 0:29:37
Passning straffområde bro z7, 0:29:44
Närkamp iks z8, 0:29:45
passning farlig iks z5, 0:29:55
skott räddning iks z2, 0:30:00
skottyp friställande iks z2, 0:30:0
utkast bro z2, 0:30:05
Passning straffområde bro z7, 0:30:25
skott utanför bro z8, 0:30:27
skottyp inlägg bro z8, 0:30:27
Utkast iks z8, 0:30:29
passning lång iks z7, 0:30:43
Brytning bro z2, 0:30:48
Utkast iks z8, 0:31:08
Närkamp iks z5, 0:31:20
Närkamp bro z5, 0:31:23
frislag bro z4, 0:31:28
Passning straffområde bro z9, 0:31:44
rensning iks z8, 0:31:46
rensning bro z1, 0:32:12
närkamp bro z4, 0:32:15
närkamp iks z4, 0:32:33
rensning iks z7, 0:32:39
närkamp iks z4, 0:32:42
Passning straffområde iks z3, 0:32:51
närkamp bro z1, 0:32:59
närkamp bro z5, 0:33:5
Passning straffområde bro z8, 0:33:14
Utkast iks z8, 0:33:22
passning lång iks z6, 0:33:29
Passning straffområde iks z3, 0:33:32
Utkast bro z2, 0:33:39
Passning straffområde bro z9, 0:33:58
Utkast iks z8, 0:33:59
Passning straffområde iks z5, 0:34:10
Brytning bro z2, 0:34:11
närkamp iks z7, 0:34:37
Passning straffområde iks z2, 0:34:48
skott räddning iks z2, 0:34:50
skottyp friställande iks z2, 0:34:50
boll bro z2, 0:34:51
Passning straffområde bro z9, 0:35:04
Brytning iks z8, 0:35:05
Kontring iks z5, 0:35:07
passning lång iks z5, 0:35:26
Utkast iks z2, 0:35:32
passning lång bro z5, 0:36:01
skott räddning bro z8, 0:36:8
skottyp friställande bro z8, 0:36:8
mål spelmål bro z8, 0:36:10
skottyp retur bro z8, 0:36:10
avslag iks z5, 0:36:30
Passning straffområde iks z3, 0:36:48
Brytning bro z2, 0:36:49
Närkamp iks z2, 0:36:50
skott täckt iks z2, 0:36:57
skottyp utifrån iks z2, 0:36:57
Utkast bro z2, 0:37:05
passning lång bro z2, 0:37:5
Utkast iks z8, 0:37:20
frislag iks z5, 0:37:26
passning farlig iks z5, 0:37:30
skott räddning iks z2, 0:37:39
skottyp utifrån iks z2, 0:37:39
Närkamp bro z2, 0:37:42
frislag bro z7, 0:38:00
Passning straffområde bro z7, 0:38:40
Passning straffområde bro z9, 0:38:45
rensning iks z8, 0:38:51
inslag bro z7, 0:38:55
Passning straffområde bro z7, 0:39:5
Närkamp bro z7, 0:39:09
Passning straffområde bro z7, 0:39:14
hörna bro z9, 0:39:16
frislag iks z9, 0:39:20
passning lång iks z9, 0:40:25
Brytning bro z5, 0:40:29
passning lång bro z5, 0:40:33
skott räddning bro z8, 0:40:40
skottyp inlägg bro z8, 0:40:40
hörna bro z9, 0:40:41
skott täckt bro z8, 0:41:12
skottyp fast bro z8, 0:41:12
rensning iks z8, 0:41:14
boll iks z6, 0:41:17
passning farlig iks z6, 0:41:25
skott täckt iks z2, 0:41:27
skottyp friställande iks z2, 0:41:27
rensning bro z2, 0:41:28
boll bro z6, 0:41:31
Närkamp bro z6, 0:41:43
Närkamp iks z6, 0:41:50
frislag iks z6, 0:41:56
passning lång iks z6, 0:42:06
rensning bro z2, 0:42:09
Passning straffområde iks z1, 0:42:20
Passning straffområde iks z3, 0:42:26
Brytning bro z2, 0:42:26
rensning iks z8, 0:42:44
utkast bro z2, 0:42:55
Passning straffområde bro z9, 0:43:10
utkast iks z8, 0:43:15
passning lång iks z8, 0:43:35
Brytning bro z2, 0:43:36
Närkamp iks z1, 0:43:37
Passning straffområde iks z1, 0:43:40
rensning bro z1, 0:43:41
inslag iks z4, 0:43:50
Passning straffområde iks z4, 0:43:55
skott utanför iks z2, 0:44:01
skottyp inlägg iks z2, 0:44:01
Utkast bro z2, 0:44:05
bolltapp passförsök bro z4, 0:44:10
bolltapp passförsök iks z5, 0:44:14
skott utanför bro z9, 0:44:21
skottyp utifrån bro z9, 0:44:21
utkast iks z8, 0:44:28
passning lång iks z8, 0:44:30
utkast bro z2, 0:45:14
passning straffområde bro z6, 0:45:25
hörna bro z7, 0:45:28
skott täckt bro z8, 0:45:50
skottyp fast bro z8, 0:45:50
stop, 0:46:03
