event,time
avslag mot z5, 0:00:00
skott utanför mot z7, 0:00:15
skottyp utifrån mot z7, 0:00:15
hörna mot z9, 0:00:25
skott täckt mot z8, 0:00:50
skottyp fast mot z8, 0:00:50
utkast iks z8, 0:00:50
Bolltapp passförsök iks z5, 0:01:46
Passning straffområde mot z9, 0:02:00
brytning iks z8, 0:02:10
40 iks z6, 0:02:37
Passning straffområde iks z5, 0:02:50
närkamp mot z1, 0:03:10
kontring mot z1, 0:03:11
Utkast iks z8, 0:03:24
Närkamp mot z1, 0:04:10
Utkast mot z2, 0:04:14
närkamp iks z9, 0:04:33
Passning straffområde iks z3, 0:05:10
brytning mot z2, 0:05:17
skott räddning mot z5, 0:05:55
skottyp utifrån mot z5, 0:05:55
utkast iks z8, 0:06:07
frislag iks z1, 0:06:30
Bolltapp passförsök iks z4, 0:07:10
inslag mot z7, 0:07:15
Passning straffområde mot z7, 0:07:17
skott räddning mot z2, 0:07:20
skottyp inlägg mot z2, 0:07:20
Passning straffområde mot z5, 0:07:35
utkast iks z8, 0:07:40
Närkamp iks z5, 0:08:05
Närkamp mot z3, 0:08:07
Närkamp iks z3, 0:08:09
passning lång iks z5, 0:08:49
Brytning mot z5, 0:08:52
Närkamp iks z7, 0:09:00
Passning straffområde iks z3, 0:09:14
Brytning mot z2, 0:09:15
rensning mot z2, 0:09:16
passning lång iks z5, 0:09:40
Utkast mot z2, 0:09:44
farlig mot z5, 0:09:55
mål spelmål mot z8, 0:10:10
skottyp friställande mot z8, 0:10:10
avslag iks z5, 0:10:40
Passning straffområde iks z1, 0:11:05
hörna iks z1, 0:11:06
skott räddning iks z2, 0:11:32
skottyp fast iks z2, 0:11:32
passning lång mot z2, 0:11:38
frislag mot z4, 0:11:41
Bolltapp tappad mot z6, 0:12:6
Bolltapp tappad iks z9, 0:12:15
hörna mot z9, 0:12:15
inslag mot z7, 0:12:47
timeout, 0:12:47
inslag mot z7, 0:14:35
Passning straffområde mot z6, 0:14:47
rensning iks z8, 0:14:49
Brytning iks z6, 0:15:14
brytning mot z2, 0:15:24
Passning straffområde iks z5, 0:15:26
rensning mot z2, 0:15:28
inslag iks z3, 0:16:28
Brytning mot z2, 0:17:09
boll iks z3, 0:17:11
Närkamp iks z1, 0:17:30
Närkamp iks z5, 0:17:45
skott täckt iks z6, 0:17:68
skottyp utifrån iks z6, 0:17:58
timeout iks z, 0:18:00
utkast mot z2, 0:20:05
frislag mot z4, 0:20:18
närkamp iks z6, 0:20:32
passning lång iks z6, 0:20:35
utkast mot z8, 0:20:43
närkamp iks z6, 0:20:50
offside iks z3, 0:21:07
frislag mot z5, 0:21:25
Bolltapp tappad mot z4, 0:21:46
närkamp mot z5, 0:21:55
närkamp mot z3, 0:22:05
brytning iks z8, 0:22:17
utvisning 10 iks z5, 0:22:30
frislag iks z5, 0:22:30
Bolltapp passförsök iks z6, 0:23:26
skott utanför mot z8, 0:23:36
skottyp utifrån mot z8, 0:23:36
utkast iks z8, 0:23:39
närkamp iks z5, 0:24:15
brytning iks z5, 0:24:49
Passning straffområde mot z9, 0:25:18
skott täckt mot z8, 0:25:22
skottyp inlägg mot z8, 0:25:22
hörna mot z7, 0:25:24
skott utanför mot z8, 0:26:00
skottyp fast mot z8, 0:26:00
utkast iks z8, 0:26:10
frislag iks z3, 0:26:40
Passning straffområde iks z1, 0:27:30
utvisning 10 mot z2, 0:27:32
frislag iks z2, 0:27:32
skott täckt iks z2, 0:28:38
skottyp fast iks z2, 0:28:38
utkast mot z2, 0:28:40
Bolltapp tappad mot z5, 0:28:51
Passning straffområde iks z3, 0:29:10
hörna iks z3, 0:29:15
skott täckt iks z2, 0:29:50
skottyp fast iks z2, 0:29:50
Utkast mot z2, 0:29:55
rensning mot z3, 0:30:00
Utkast iks z8, 0:30:04
Passning straffområde iks z3, 0:30:22
Utkast mot z2, 0:30:28
passning lång mot z2, 0:30:28
Utkast iks z8, 0:30:34
skott täckt iks z2, 0:30:46
skottyp utifrån iks z2, 0:30:46
Närkamp mot z1, 0:30:48
Närkamp iks z1, 0:30:50
frislag iks z1, 0:30:59
Passning straffområde iks z3, 0:31:30
hörna iks z3, 0:31:30
skott utanför iks z2, 0:31:59
skottyp fast iks z2, 0:31:59
utkast mot z2, 0:32:15
passning lång mot z2, 0:32:15
utkast iks z8, 0:32:17
Närkamp iks z5, 0:32:49
Närkamp mot z1, 0:32:55
Närkamp iks z1, 0:32:59
Närkamp mot z1, 0:33:10
rensning mot z1, 0:33:12
Passning straffområde iks z1, 0:33:19
rensning mot z2, 0:33:20
Närkamp iks z2, 0:33:25
passning lång iks z5, 0:33:35
Närkamp mot z1, 0:33:40
Närkamp iks z1, 0:33:41
