event,time
Avslag Ham z5, 0:00:00
Passning lång Ham z5, 0:00:05
Närkamp Ham z6, 0:00:23
Passning lång Ham z1, 0:00:39
Närkamp Iks z5, 0:00:48
Närkamp Iks z4, 0:02:25
Skott utanför Iks z5, 0:02:55
Skottyp utifrån Iks z5, 0:02:55
Utkast Ham z2, 0:03:00
Skott räddning Ham z8, 0:03:13
Skottyp Ham z8, 0:03:13
Offside Ham z8, 0:03:14
Frislag Iks z8, 0:03:21
Utkast Ham z2, 0:03:37
Frislag Ham z5, 0:04:15
Frislag Ham z4, 0:04:41
Närkamp Iks z4, 0:05:11
Närkamp Iks z4, 0:05:35
Passning straffområde Iks z1, 0:06:00
Brytning Ham z2, 0:06:00
Närkamp Iks z4, 0:06:05
Frislag Ham z4, 0:06:10
Frislag Ham z6, 0:06:23
Bolltapp Passförsök Ham z6, 0:06:43
Passning straffområde Iks z3, 0:07:05
Skott räddning Iks z2, 0:07:08
Skottyp inlägg Iks z2, 0:07:08
Utkast Ham z2, 0:07:09
Närkamp Ham z6, 0:08:22
Brytning Iks z5, 0:08:34
Skott täckt Iks z2, 0:08:49
Skottyp utifrån Iks z2, 0:08:49
Boll Ham z2, 0:08:51
Närkamp Ham z5, 0:08:54
Närkamp Iks z6, 0:09:04
Närkamp Ham z5, 0:09:12
Frislag Iks z5, 0:09:20
Närkamp Ham z1, 0:09:45
Frislag Ham z1, 0:09:48
Brytning Iks z5, 0:10:12
Bolltapp tappad Iks z2, 0:10:37
Närkamp Ham z1, 0:10:43
Frislag Ham z1, 0:10:49
Frislag Ham z6, 0:11:05
N närkamp Iks z9, 0:11:19
Utkast Iks z8, 0:11:21
Passning lång Iks z5, 0:11:54
Utkast Ham z2, 0:11:56
Närkamp kamp Ham z6, 0:12:13
Passning straffområde Ham z8, 0:12:19
Skott utanför Ham z8, 0:12:20
Skottyp inlägg Ham z8, 0:12:20
Utkast Iks z8, 0:12:22
Passning straffområde Iks z1, 0:12:42
Rensning Ham z1, 0:12:45
Inslag Iks z1, 0:12:49
Passning straffområde Iks z4, 0:13:30
Frislag Ham z2, 0:13:32
Närkamp Iksz8, 0:13:51
Passning straffområde Iks z3, 0:14:05
Boll Ham z1, 0:14:10
Närkamp Iks z4, 0:14:15
Frislag Iks z5, 0:14:18
Närkamp Ham z3, 0:14:32
Närkamp Iks z6, 0:14:39
Passning straffområde Iks z5, 0:14:57
Utkast Ham z2, 0:15:00
Brytning Iks z8, 0:15:12
Brytning Ham z5, 0:15:22
Boll Iks z1, 0:15:24
Passning straffområde Iks z1, 0:15:26
Utkast Ham z2, 0:15:30
Bolltapp Passförsök Ham z6, 0:15:38
Närkamp Camp Iks z5, 0:15:40
Närkamp Ham, 0:15:52
Närkamp Ham z6, 0:16:04
Närkamp Iks z6, 0:16:06
Skott täckt Iks z2, 0:16:40
Skottyp utifrån Iks z2, 0:16:40
Hörna Iks z1, 0:17:00
Täck Iks z2, 0:17:11
Skottyp fast Iks z2, 0:17:11
Bolltapp Passförsök Iks z5, 0:17:44
Inslag Ham z1, 0:17:50
Utvisning 10 Ham fem, 0:18:20
Närkamp Iks z1, 0:19:00
Passning straffområde Iks z3, 0:19:08
Rensning Ham z2, 0:19:10
Inslag Iks z4, 0:19:18
Mål spelmål Iks z2, 0:19:30
Skottyp utifrån Iks z2, 0:19:30
Avslag Ham z5, 0:19:57
Passning lång Ham z4, 0:20:10
Brytning Iks z5, 0:20:13
Passning straffområde Iks z3, 0:20:26
Utkast Ham z2, 0:20:31
Närkamp Iks z9, 0:20:45
Inslag Ham z6, 0:20:52
Täck Ham z8, 0:21:04
Centralt Ham z8, 0:21:04
Hörna Ham z9, 0:21:06
Hörnmål Ham z8, 0:21:33
Skottyp fast Ham z8, 0:21:33
Avslag Iks z5, 0:21:59
Närkamp Iks z4, 0:22:20
Inslag Iks z4, 0:22:23
Passning straffområde Iks z5, 0:22:29
Brytning Ham z2, 0:22:32
Farlig Ham z2, 0:22:32
Skott utanför Ham z8, 0:23:15
Friställande Ham z8, 0:23:15
Utkast Iks z8, 0:23:18
Passning straffområde Iks z5, 0:23:43
Hörna Iks z2, 0:23:45
Skott täckt Iks z2, 0:24:10
Skottyp fast Iks z2, 0:24:10
Skott utanför Iks z2, 0:24:15
Skottyp retur Iks z2, 0:24:15
Utkast Ham z2, 0:24:18
Passning straffområde Ham z9, 0:24:40
Farlig Ham z8, 0:24:41
