event,time
Avslag 0 0 Iks,00:00
skott räddning z1 iks 97,00:38
Skottyp Utifrån z1 Iks 97,00:38
Närkamp 0 z6 fri,01:18
Närkamp 0 z6 fri,01:20
Frislag 0 z6 fri,01:20
Bolltapp passförsök z5 fri,02:01
Mål Spelmål z2 iks 97,02:06
skottyp dribbling z2 iks,02:06
Avslag 0 0 fri,02:40
Närkamp 0 z5 fri,02:57
brytning 0 z8 iks,02:58
Bolltapp passförsök z2 iks,03:08
brytning 0 z4 iks,03:27
inslag 0 z4 fri,03:30
skott täckt z8 fri,03:57
skottyp inlägg z8 fri,03:57
brytning 0 z7 iks,04:03
Bolltapp tappad 0 iks,04:17
närkamp 0 z3 fri,04:25
skott  räddning z9 fri,04:35
skottyp utifrån z9 fri,04:35
mål  spelmål z8 fri,04:37
skottyp retur z8 fri,04:37
avslag 0 0 iks,04:55
Bolltapp tappad z7 iks,05:35
Hörna 0 0 fri,05:35
skott täckt z8 fri,06:05
skottyp fast z8 fri,06:05
närkamp 0 z1 iks,06:38
närkamp 0 z1 iks,06:45
Frislag 0 z1 iks,06:45
skott räddning z1 iks,07:00
skottyp utifrån z1 iks,07:00
brytning 0 z9 iks,07:37
brytning 0 z9 fri,07:42
inslag 0 z9 fri,07:53
passning lång z9 fri,08:04
skott  räddning z8 fri,08:10
skottyp centralt z8 fri,08:10
närkamp 0 z5 iks,08:57
brytning 0 z4 fri,09:05
närkamp 0 z4 fri,09:08
Frislag 0 z4 fri,09:08
utvisning 10 z4 fri 12,09:08
passning lång z4 fri,10:02
närkamp 0 z6 fri,10:11
inslag 0 z6 fri,10:11
närkamp 0 z5 fri,10:26
brytning 0 z8 iks,10:50
närkamp 0 z4 iks,11:05
Frislag 0 z4 iks,11:05
Bolltapp tappad z3 iks,12:41
närkamp 0 z9 iks,12:59
närkamp 0 z2 fri,13:29
brytning 0 z8 iks,13:52
bolltapp passförsök z5 iks,13:58
passning  lång z4 fri,14:45
brytning 0 z7 iks,14:48
brytning 0 z7 fri,14:52
brytning 0 z9 iks,15:26
skott räddning z3 iks,15:39
skottyp inlägg z3 iks,15:39
bolltapp 0 z9 fri,15:58
brytning 0 z5 fri,16:06
bolltapp passförsök z9 fri,16:23
närkamp 0 z2 iks,16:36
hörna 0 z1 iks,16:36
mål hörnmål z2 iks 10,17:14
skottyp fast z2 iks 10,17:14
timeout 0 0 iks,17:35
avslag 0 0 fri,18:57
bolltapp passförsök z6 fri,19:06
närkamp 0 z6 fri,19:11
frislag 0 z6 fri,19:11
passning 0 z4 fri,20:00
mål spelmål z8 fri,20:04
skottyp friställande z8 fri,20:04
avslag 0 0 iks,20:29
passning lång z4 iks,20:51
bolltapp passförsök z4 iks,20:51
skott utanför z8 fri,21:08
skottyp dribbling z8 fri,21:08
närkamp 0 z6 iks,21:28
passning lång z4 iks,21:37
bolltapp passförsök z4 iks,21:37
frislag 0 z3 fri,21:42
frislag 0 z9 fri,21:59
skott täckt z9 fri,22:14
skottyp fast z9 fri,22:14
passning lång z5 iks,22:34
bolltapp passförsök z5 iks,22:34
rensning 0 z8 iks,22:59
hörna 0 z7 fri,23:10
mål hörnmål z8 fri,23:42
skottyp fast z8 fri,23:42
avslag 0 0 iks,24:03
brytning 0 z2 fri,24:19
närkamp 0 z4 iks,24:28
inslag 0 z4 iks,24:28
bolltapp passförsök z6 iks,24:45
närkamp 0 z6 fri,24:49
inslag 0 z6 fri,24:49
brytning 0 z5 iks,25:24
bolltapp passförsök z8 iks,25:33
passning lång z4 fri,25:42
bolltapp passförsök z4 fri,25:43
skottyp inlägg z3 iks,26:03
boll 0 0 fri,26:03
frislag 0 z6 iks,26:17
passning lång z9 iks,26:36
bolltapp passförsök z9 iks,26:36
inslag 0 z4 fri,26:36
närkamp 0 z9 iks,27:12
passning lång z4 iks,27:17
skott  räddning z1 iks,27:19
skottyp utifrån z1 iks,27:19
boll 0 0 fri,27:19
närkamp 0 z6 fri,27:33
frislag 0 z9 fri,27:39
utvisning 10 z9 iks 15,27:39
frislag 0 z9 fri,28:27
passning  lång z9 fri,29:09
bolltapp passförsök z8 fri,29:11
rensning 0 z7 iks,29:15
inslag 0 z7 fri,29:15
passning lång z7 fri,29:26
skott utanför z7 fri,29:37
skottyp utifrån z7 fri,29:37
boll 0 0 iks,29:37
boll 0 0 fri,29:52
närkamp 0 z5 fri,30:03
skott  utanför z8 fri,30:22
skottyp inlägg z8 fri,30:22
boll 0 0 iks,30:22
frislag 0 z4 fri,30:47
brytning 0 z9 iks,31:16
frislag 0 z9 iks,31:16
brytning 0 z7 fri,31:39
hörna 0 z7 fri,31:47
skott utanför z8 fri,32:41
skottyp fast z8 fri,32:41
boll 0 0 iks,32:41
passning lång z6 iks,32:57
boll 0 0 fri,32:59
frislag 0 z7 fri,33:30
frislag 0 z8 iks,32:53
passning lång z4 iks,34:31
offside 0 z2 iks,34:31
bolltapp tappad z9 fri,34:52
boll 0 0 fri,35:10
skott utanför z9 fri,35:17
skottyp utifrån z9 fri,35:17
boll 0 0 iks,35:17
inslag 0 z6 iks,36:11
passning lång z6 iks,36:23
bolltapp passförsök z6 iks,36:25
skott räddning z9 fri,36:48
skottyp inlägg z9 fri,36:48
boll 0 0 iks,36:48
frislag 0 z4 iks,37:01
passning lång z4 iks,37:19
boll 0 0 fri,37:19
skott utanför z8 fri,38:02
skottyp dribbling z8 fri,38:02
boll 0 0 iks,38:02
bolltapp tappad z7 iks,38:14
skott räddning z8 fri,38:22
