time,event
00:00,Avlslag 0 0 Iks
1:08,Skott Täckt z2 iks 10
1:08,skottyp Utifrån z2 iks 10
1:11,Hörna 0 0 iks
1:39,Skott täckt z2 iks 10
1:39,Skottyp fast z2 iks 10
1:47,rensning 0 z1 vän
1:50,Boll 0 0 iks
2:01,passning lång z6 iks
2:04,Boll 0 0 vän
2:13,Inslag 0 0 vän
3:25,skott utanför z8 vän
3:25,skottyp dribbling z8 vän
3:55,Brytning 0 z4 vän
3:59,Brytning 0 z4 iks
4:03,Bolltapp tappad z2 iks
4:06,brytning 0 z5 iks
4:15,skott täckt z2 iks
4:15,skottyp inlägg z2 iks
4:15,boll 0 0 iks
4:28,brytning 0 z4 vän
4:30,utvisning 10 z4 iks
4:30,frislag 0 z4 vän
5:32,passning lång z5 vän
5:35,boll 0 0 iks
5:39,Bolltapp tappad z7 iks
5:46,frislag 0 z7 vän
6:20,skott täckt z8 vän
6:20,skottyp inlägg z8 vän
6:20,Hörna 0 0 vän
6:52,skott utanför z8 vän
6:52,skottyp fast z8 vän
7:04,passning lång z5 iks
7:09,boll 0 0 vän
7:34,passning lång z3 vän
7:36,brytning 0 0 iks
7:41,närkamp 0 z8 iks
8:03,närkamp 0 z5 iks
8:52,skott täckt z2 iks
8:52,skottyp inlägg z2 iks
8:53,boll 0 0 vän
8:56,brytning 0 z2 iks
9:00,hörna 0 0 iks
9:30,skott utanför z2 iks
9:30,skottyp fast z2 iks
9:58,bolltapp passförsök z8 vän
10:08,passning lång z5 iks
10:10,frislag 0 z8 vän
10:56,närkamp 0 z8 iks
11:15,bolltapp passförsök z5 iks
11:30,bolltapp tappad z9 vän
11:48,brytning 0 z1 vän
12:03,brytning 0 z8 iks
12:13,skott täckt z2 iks 11
12:13,skottyp dribbling z2 iks 11
12:13,boll 0 0 vän
12:37,bolltapp passförsök z9 vän
13:20,bolltapp passförsök z5 iks
13:39,frislag 0 z9 vän
14:40,bolltapp passförsök z7 vän
15:13,bolltapp passförsök z5 iks
15:36,skott täckt z9 vän
15:36,skottyp utifrån z9 vän
15:36,boll 0 0 iks
15:59,offside 0 z2 iks
16:36,mål spelmål z2 vän
16:36,skottyp inlägg z2 vän
15:07,avslag 0 0 iks
17:18,passning lång z5 iks
17:24,boll 0 0 vän
18:22,frislag 0 z6 vän
18:47,passning lång z3 vän
18:54,närkamp 0 z8 vän
18:56,mål spelmål z8 vän
18:56,skottyp friläge z8 vän
19:00,timeout 0 0 iks
21:07,avslag 0 0 iks
21:20,passning lång z4 iks
21:20,boll 0 0 vän
22:06,boll 0 0 iks
22:20,bolltapp tappad z7 iks
22:47,skott räddning z7 vän
22:47,skottyp centralt z7 vän
22:47,boll 0 0 iks
23:00,passning lång z6 iks
23:03,boll 0 0 vän
23:13,bolltapp passförsök z7 vän
23:36,brytning 0 z1 iks
24:01,skott räddning z2 iks
24:01,skottyp inlägg z2 iks
24:01,boll 0 0 vän
25:01,skott täckt z8 vän
25:01,skottyp dribbling z8 vän
25:01,boll 0 0 iks
25:22,brytning 0 z2 vän
25:39,passning lång z4 vän
25:44,boll 0 0 iks
25:49,passning lång z8 iks
25:53,brytning 0 z2 vän
26:07,brytning 0 z9 iks
26:27,hörna 0 0 iks
26:55,skott räddning z2 iks
26:55,skottyp fast z2 iks
26:55,boll 0 0 vän
27:30,frislag 0 z9 vän
28:48,bolltapp tappad z5 vän
29:02,passning lång z4 iks
29:05,boll 0 0 vän
29:10,boll 0 0 iks
29:36,brytning 0 z2 vän
29:43,inslag 0 z4 iks
30:30,boll 0 0 vän
31:04,brytning 0 z9 iks
31:26,frislag 0 z3 iks
32:14,brytning 0 z3 vän
33:07,bolltapp passförsök z6 vän
33:22,brytning 0 z1 vän
34:18,bolltapp passförsök z7 vän
34:44,passning lång z6 iks
34:50,mål spelmål z2 iks 39
34:50,skottyp friläge z2 iks 39
35:23,avslag 0 0 vän
36:08,brytning 0 z6 iks
36:12,bolltapp tappad z6 iks
36:17,närkamp 0 z6 vän
36:35,mål spelmål z8 vän
36:35,skottyp friläge z8 vän
37:10,avslag 0 0 iks
37:39,passning lång z5 iks
37:46,mål spelmål z2 iks
37:46,skottyp friläge z2 iks
38:24,avslag 0 0 vän
38:45,bolltapp passförsök z3 vän
38:48,bolltapp tappad z3 iks
38:56,närkamp 0 z5 vän
39:16,brytning 0 z6 iks
39:35,brytning 0 z6 vän
39:41,brytning 0 z7 iks
40:27,bolltapp passförsök z8 iks
40:36,närkamp 0 z6 iks
40:36,frislag 0 z6 iks
40:52,skott räddning z1 iks
40:52,skottyp utifrån z1 iks
40:52,boll 0 0 vän
41:17,skott räddning z7 vän
41:17,skottyp inlägg z7 vän
41:17,hörna 0 z8 vän
41:52,skott räddning z8 vän
41:52,skottyp fast z8 vän
41:52,boll 0 0 vän
43:00,boll 0 0 iks
43:17,bolltapp passförsök z3 iks
43:42,mål spelmål z8 vän
43:42,skottyp inlägg z8 vän
44:17,avslag 0 0 iks
44:50,frislag 0 z6 iks
45:10,brytning 0 z6 vän
45:33,offside 0 z8 vän
45:58,skott täckt z3 iks
45:58,skottyp centralt z3 iks
45:58,boll 0 0 iks
46:22,brytning 0 z3 vän
46:29,passning lång z6 vän
46:31,stop
