event,time
avslag iks z5, 0:00:00
passning lång iks z4, 0:00:12
offside iks z8, 0:00:14
Brytning iks z5, 0:00:50
passning lång iks z6, 0:0:59
Utkast bol z8, 0:01:08
passning farlig bol z5, 0:01:20
skott räddning bol z2, 0:01:23
skottyp utifrån bol z2, 0:01:23
skott räddning bol z2, 0:01:26
skottyp retur bol z2, 0:01:26
hörna bol z3, 0:01:27
skottyp inlägg bol z2, 0:02:09
fast bol z2, 0:02:09
Utkast iks z2, 0:02:11
Brytning bol z6, 0:02:28
skott räddning bol z2, 0:02:38
skottyp dribbling bol z2, 0:02:38
hörna bol z3, 0:02:40
skott täckt bol z2, 0:03:15
fast bol z2, 0:03:15
rensning iks z2, 0:03:19
bolltapp passförsök bol z5, 0:03:53
Utkast iks z2, 0:03:56
passning lång iks z4, 0:04:30
skott täckt iks z8, 0:04:40
skottyp centralt iks z8, 0:04:40
Utkast bol z8, 0:04:43
Passning straffområde bol z3, 0:05:07
boll iks z2, 0:05:10
inslag iks z4, 0:05:17
Närkamp iks z7, 0:05:40
Närkamp bol z8, 0:05:53
frislag bol z7, 0:05:58
bolltapp tappad bol z1, 0:06:15
passning lång iks z1, 0:06:20
Utkast bol z8, 0:06:25
Passning straffområde bol z1, 0:06:45
skott täckt bol z2, 0:06:58
inspel bol z2, 0:06:48
rensning iks z2, 0:06:50
inslag bol z3, 0:07:00
Brytning iks z3, 0:07:03
Kontring iks z3, 0:07:07
Närkamp iks z6, 0:07:13
Passning straffområde iks z9, 0:08:02
skott täckt iks z8, 0:08:04
inspel iks z8, 0:08:04
rensning bol z8, 0:08:06
Närkamp bol z6, 0:08:30
Brytning iks z2, 0:08:49
hörna bol z3, 0:08:50
skott täckt bol z2, 0:09:14
fast bol z2, 0:09:14
skott räddning bol z2, 0:09:51
skottyp dribbling bol z2, 0:09:51
boll iks z1, 0:09:51
Närkamp iks z8, 0:10:15
Utkast bol z8, 0:10:18
Brytning iks z2, 0:10:32
hörna bol z3, 0:10:33
skott täckt bol z2, 0:11:00
fast bol z2, 0:11:00
rensning iks z2, 0:11:03
rensning iks z2, 0:11:24
Närkamp iks z6, 0:11:31
Brytning bol z8, 0:11:39
bolltapp tappad bol z8, 0:11:43
hörna iks z7, 0:11:43
skott täckt iks z8, 0:11:16
fast iks z8, 0:11:16
Utkast bol z8, 0:12:18
frislag bol z1, 0:12:59
Passning straffområde bol z3, 0:13:24
Utkast iks z2, 0:13:25
Passning straffområde iks z7, 0:13:56
Brytning bol z8, 0:13:58
Brytning iks z1, 0:14:13
hörna bol z1, 0:14:15
skott täckt bol z2, 0:14:47
fast bol z2, 0:14:47
hörna bol z3, 0:14:49
skott räddning bol z2, 0:15:45
fast bol z2, 0:15:45
Utkast iks z2, 0:15:46
inslag iks z6, 0:16:18
Närkamp bol z7, 0:16:42
Utkast iks z2, 0:17:19
Brytning bol z7, 0:17:40
hörna iks z7, 0:17:41
skott täckt iks z8, 0:18:08
fast iks z8, 0:18:08
skott täckt iks z8, 0:18:18
skottyp retur iks z8, 0:18:18
bolltapp passförsök iks z9, 0:18:21
Kontring bol z9, 0:18:22
Brytning iks z2, 0:18:34
boll bol z3, 0:18:35
skott räddning bol z2, 0:18:54
skottyp utifrån bol z2, 0:18:54
Utkast iks z2, 0:18:56
passning lång iks z5, 0:19:12
Utkast bol z8, 0:19:16
passning farlig bol z5, 0:19:38
Brytning iks z2, 0:19:41
frislag iks z1, 0:19:49
passning farlig iks z4, 0:20:10
skott räddning iks z8, 0:20:11
skottyp friställande iks z8, 0:20:11
rensning bol z8, 0:20:12
skott täckt iks z8, 0:20:14
skottyp utifrån iks z8, 0:20:14
skott räddning iks z8, 0:20:15
skottyp centralt iks z8, 0:20:15
Närkamp iks z7, 0:20:23
frislag iks z6, 0:20:45
skott täckt iks z8, 0:21:04
skottyp centralt iks z8, 0:21:04
hörna iks z7, 0:21:05
skott täckt iks z8, 0:21:30
fast iks z8, 0:21:30
Utkast bol z8, 0:21:43
Brytning iks z2, 0:21:55
Närkamp iks z2, 0:21:56
passning lång iks z5, 0:22:14
Utkast bol z8, 0:22:24
Närkamp iks z6, 0:22:53
Närkamp bol z7, 0:23:05
Närkamp iks z2, 0:23:20
passning lång iks z6, 0:24:1
Utkast bol z8, 0:24:07
Närkamp iks z5, 0:24:47
skott täckt iks z8, 0:25:27
skottyp dribbling iks z8, 0:25:27
hörna iks z9, 0:25:30
skott täckt iks z8, 0:26:00
fast iks z8, 0:26:00
rensning bol z8, 0:26:05
inslag iks z6, 0:26:12
Brytning bol z8, 0:26:20
Brytning iks z2, 0:26:48
bolltapp tappad iks z5, 0:26:55
Passning straffområde bol z3, 0:27:17
timeout bol z, 0:27:25
Utkast iks z2, 0:29:04
bolltapp tappad iks z2, 0:29:16
Utkast iks z2, 0:29:18
skott räddning iks z8, 0:29:39
skottyp centralt iks z8, 0:29:39
hörna iks z9, 0:29:39
skott räddning iks z8, 0:30:10
fast iks z8, 0:30:10
Utkast bol z8, 0:30:11
Passning straffområde bol z1, 0:31:20
skott täckt bol z2, 0:31:26
skottyp centralt bol z2, 0:31:26
Kontring iks z2, 0:31:28
skott täckt iks z7, 0:31:40
skottyp utifrån iks z7, 0:31:40
skott räddning iks z8, 0:31:48
skottyp centralt iks z8, 0:31:48
Utkast bol z8, 0:31:50
Utkast iks z2, 0:32:14
bolltapp passförsök iks z1, 0:32:23
frislag bol z1, 0:32:43
Passning straffområde bol z1, 0:33:56
hörna bol z1, 0:33:57
skott täckt bol z2, 0:34:25
fast bol z2, 0:34:25
rensning iks z2, 0:34:33
frislag bol z1, 0:34:41
Passning straffområde bol z1, 0:34:51
Utkast iks z2, 0:34:52
Passning straffområde iks z7, 0:35:20
hörna iks z7, 0:35:23
skott täckt iks z8, 0:35:53
fast iks z8, 0:35:53
skott täckt iks z8, 0:35:58
skottyp retur iks z8, 0:35:58
inslag bol z6, 0:36:03
bolltapp passförsök bol z5, 0:36:45
Utkast iks z2, 0:36:47
Passning straffområde iks z7, 0:37:05
Brytning bol z8, 0:37:09
hörna iks z9, 0:37:10
skott räddning iks z8, 0:37:43
fast iks z8, 0:37:43
Utkast bol z8, 0:37:51
Brytning iks z3, 0:38:08
Närkamp bol z3, 0:38:09
Utkast iks z2, 0:38:21
Brytning bol z8, 0:38:45
Brytning iks z1, 0:38:54
frislag iks z1, 0:38:55
inslag bol z6, 0:39:26
Brytning iks z6, 0:39:40
Passning straffområde iks z9, 0:39:49
Passning straffområde iks z7, 0:40:10
skott utanför iks z8, 0:40:12
skottyp inlägg iks z8, 0:40:12
Utkast bol z8, 0:40:13
bolltapp passförsök bol z5, 0:40:30
Närkamp iks z3, 0:40:32
frislag iks z3, 0:40:38
offside iks z4, 0:41:00
Brytning iks z2, 0:41:44
hörna bol z1, 0:41:45
skott utanför bol z2, 0:42:10
fast bol z2, 0:42:10
Utkast iks z2, 0:42:20
Närkamp bol z6, 0:42:42
utvisning 10 iks z3, 0:42:57
Närkamp iks z1, 0:44:00
inslag iks z1, 0:44:02
Närkamp bol z1, 0:44:20
Närkamp iks z2, 0:44:40
Kontring iks z2, 0:44:41
skott utanför iks z9, 0:44:50
skottyp utifrån iks z9, 0:44:50
Utkast bol z8, 0:44:51
skott räddning bol z2, 0:45:12
skottyp dribbling bol z2, 0:45:12
skott täckt bol z2, 0:45:15
skottyp retur bol z2, 0:45:15
rensning iks z2, 0:45:17
boll iks z1, 0:45:22
Brytning bol z5, 0:45:25
frislag bol z1, 0:45:34
skott utanför bol z2, 0:46:04
