event,time
Avslag saik,00:00
Bolltapp passförsök saik z6,00:22
brytning saik z6,00:24
skott räddning z2,00:29
skottyp utifrån z2,00:29
Boll iks,00:29
Passning lång iks z5,00:43
skott räddning iks z9,00:49
skottyp utifrån iks z9,00:49
Boll saik,00:49
mål spelmål saik z2,1:05
skottyp retur saik z2,1:05
avslag iks,1:35
närkamp saik z5,1:56
brytning iks z5,1:58
närkamp iks z5,2:06
Passning lång iks z6,2:08
brytning saik z9,2:12
närkamp saik z9,2:18
brytning iks z2,2:28
frislag iks z4,2:36
utvisning 10 saik z4,2:36
närkamp saik z9,3:24
brytning iks z2,4:10
brytning saik z7,4:25
frislag saik z4,4:33
brytning iks z8,5:11
skott täckt iks z8,5:12
skottyp utifrån iks z8,5:12
boll saik,5:12
närkamp saik z1,5:33
frislag saik z1,5:36
skott täckt saik z1,5:45
skottyp fast saik z1,5:45
boll saik,5:45
frislag saik z3,5:56
brytning iks z6,6:34
passning lång iks z3,6:50
offside iks z8,6:53
hörna saik z3,8:25
skott räddning saik z2,8:53
skottyp fast saik z2,8:53
boll iks,8:53
brytning saik z3,9:30
bolltapp passförsök saik z3,9:33
bolltapp passförsök iks z4,9:47
mål spelmål saik z2,10:00
skottyp inlägg saik z2,10:00
avslag iks,10:30
boll saik,10:54
passning lång saik z8,11:05
boll iks,11:09
bolltapp passförsök iks z9,11:27
bolltapp tappad saik z9,11:56
närkamp iks z7,12:19
mål spelmål iks z8 17,12:23
skottyp inlägg iks z8 17,12:23
avslag saik,12:56
brytning iks z5,13:30
skott räddning iks z8,13:40
skottyp inlägg iks z8 ,13:40
boll iks,13:40
passning lång iks z6,14:14
boll saik,14:17
närkamp iks z2,14:58
närkamp iks z6,15:16
bolltapp passförsök iks z3,15:23
brytning iks z3,15:42
skott utanför iks z7,15:51
skottyp utifrån iks z7,15:51
boll saik,15:51
frislag iks z8,16:11
passning lång iks z1,16:40
boll saik,16:43
frislag saik z6,16:49
frislag saik z4,17:33
frislag iks z6,17:57
bolltapp tappad iks z4,18:21
skott räddning saik z8,18:30
skottyp centralt saik z8,18:30
boll saik,18:30
närkamp saik z1,18:37
bolltapp passförsök saik z3,18:45
skott täckt iks z9,19:24
skottyp utifrån iks z9,19:24
boll iks,19:24
närkamp iks z9,19:37
brytning saik z6,21:02
närkamp saik z4,21:33
frislag iks z8,21:41
skott utanför iks z9,21:58
skottyp utifrån iks z9,21:58
boll saik,21:58
inslag iks z4,22:38
brytning saik z4,23:10
brytning iks z4,23:15
skott utanför iks z8,24:25
skottyp inlägg iks z8,24:25
boll saik,24:25
passning lång saik z9,24:40
boll iks,24:41
frislag iks z7,25:06
skott utanför iks z8,25:33
skottyp utifrån iks z8,25:33
boll saik,25:33
skott räddning saik z3,26:17
skottyp utifrån saik z3,26:17
boll saik,26:17
brytning iks z3,26:24
hörna iks z7,26:41
skott täckt iks z8,27:10
skottyp fast iks z8,27:10
boll iks,27:11
bolltapp passförsök iks z7,27:23
frislag saik z7,27:33
frislag saik z4,27:45
utvisning 10 iks z4 15,27:45
brytning iks z1,28:37
passning lång iks z6,28:48
boll saik,28:52
bolltapp passförsök saik z5,29:48
boll saik,30:06
frislag saik z6,30:17
brytning iks z3,30:32
bolltapp passförsök iks z5,30:42
bolltapp tappad saik z3,31:11
bolltapp passförsök iks z4,31:46
brytning iks z2,31:54
närkamp saik z4,32:07
frislag iks z4,32:15
passning lång iks z1,32:40
mål spelmål iks z8 66,32:46
skottyp friställande iks z8 66,32:46
avslag saik,33:17
rensning iks z2,33:47
brytning iks z6,33:57
mål spelmål iks z8 20,34:08
skottyp centralt iks z8 20,34:08
avslag saik,34:36
brytning iks z6,34:56
skott utanför iks z7,35:03
skottyp utifrån iks z7,35:03
boll saik,35:03
närkamp iks z3,35:27
brytning saik z1,35:37
frislag saik z1,35:45
skott räddning iks z1,36:11
skottyp inlägg iks z1,36:11
boll iks,36:11
frislag iks z9,36:37
passning lång iks z2,37:02
brytning saik z9,37:11
bolltapp passförsök saik z4,37:25
närkamp iks z5,37:23
hörna iks z9,37:48
skott utanför iks z8,38:18
skottyp fast iks z8,38:18
boll saik,38:18
skott räddning saik z3,38:40
skottyp utifrån saik z3,38:40
boll iks,38:40
brytning saik z8,39:04
boll iks,39:18
passning lång iks z5,39:22
närkamp iks z9,39:26
frislag iks z9,39:34
utvisning 10 saik z9,39:34
bolltapp passförsök iks z2,40:57
mål spelmål saik z2,40:59
skottyp centralt saik z2,40:59
avslag iks,41:34
bolltapp tappad iks z6,41:48
brytning iks z3,41:54
skott utanför iks z9,42:05
skottyp utifrån iks z9,42:05
boll saik,42:05
närkamp iks z1,42:40
brytning saik z4,42:49
brytning iks z3,43:04
närkamp saik z3,43:13
frislag saik z3,43:14
skott utanför saik z2,43:46
skottyp centralt saik z2,43:46
boll iks,43:46
passning lång iks z3,44:01
bolltapp passförsök iks z9,44:08
bolltapp tappad saik z5,44:20
skott utanför iks z8,44:27
skottyp dribbling iks z8,44:27
boll saik,44:27
frislag saik z9,44:41
frislag saik z9,44:52
brytning iks z6,45:32
passning lång iks z5,45:47
mål spelmål iks z8 39,45:52
skottyp friställande iks z8 39,45:52
avslag saik,46:27
stop,46:27
