event,time
avslag iks z5, 0:00:00
passning lång iks z5, 0:00:20
Brytning gri z2, 0:00:22
rensning gri z2, 0:00:23
mål spelmål iks z2, 0:00:30
skottyp dribbling iks z2, 0:00:30
avslag gri z5, 0:00:56
frislag iks z8, 0:01:25
frislag iks z5, 0:01:35
passning lång iks z5, 0:01:64
Brytning gri z2, 0:01:57
Utkast gri z2, 0:01:58
bolltapp passförsök gri z2, 0:02:05
passning lång iks z5, 0:02:28
Brytning gri z2, 0:02:32
Närkamp iks z5, 0:03:01
Närkamp gri z5, 0:03:05
Närkamp iks z4, 0:03:11
Brytning gri z5, 0:03:21
Närkamp iks z9, 0:03:37
Brytning gri z2, 0:03:50
Närkamp gri z3, 0:03:57
Passning straffområde gri z9, 0:04:12
Brytning iks z8, 0:04:14
skott utanför gri z8, 0:04:19
skottyp utifrån gri z8, 0:04:19
Utkast iks z8, 0:04:20
skott täckt iks z2, 0:04:48
skottyp utifrån iks z2, 0:04:48
Närkamp gri z1, 0:04:50
Närkamp gri z1, 0:04:57
frislag gri z8, 0:05:05
skott utanför gri z8, 0:05:45
skottyp fast gri z8, 0:05:45
Utkast iks z8, 0:05:50
Brytning gri z2, 0:06:08
Utkast iks z8, 0:06:22
frislag iks z6, 0:06:53
passning lång iks z5, 0:07:15
Utkast gri z2, 0:07:18
hörna gri z9, 0:07:36
skott täckt gri z8, 0:08:05
skottyp fast gri z8, 0:08:05
boll iks z8, 0:08:10
Närkamp iks z5, 0:08:35
Passning straffområde iks z3, 0:09:23
Friläge iks z2, 0:09:27
skott täckt iks z2, 0:09:28
skottyp friställande iks z2, 0:09:28
rensning gri z2, 0:09:29
Utkast iks z8, 0:09:36
passning lång iks z5, 0:09:41
Brytning gri z2, 0:09:49
hörna iks z3, 0:09:50
skott täckt iks z2, 0:10:55
skottyp fast iks z2, 0:10:55
rensning gri z2, 0:10:57
inslag iks z1, 0:11:06
Passning straffområde iks z1, 0:11:09
Utkast gri z2, 0:11:18
Utkast iks z8, 0:11:32
Brytning gri z6, 0:12:35
passning lång gri z5, 0:12:43
Närkamp iks z9, 0:12:51
passning farlig iks z6, 0:13:22
skott räddning iks z2, 0:13:23
skottyp friställande iks z2, 0:13:23
hörna iks z1, 0:13:25
mål hörnmål iks z2, 0:13:57
skottyp fast iks z2, 0:13:57
avslag gri z5, 0:14:29
passning lång gri z6, 0:14:43
Brytning iks z6, 0:14:44
boll gri z6, 0:14:45
Brytning iks z1, 0:15:10
Friläge iks z2, 0:15:17
skott räddning iks z2, 0:15:18
skottyp friställande iks z2, 0:15:18
boll gri z2, 0:15:20
Närkamp iks z6, 0:15:24
frislag iks z6, 0:15:35
passning lång iks z4, 0:16:15
frislag iks z2, 0:16:22
Utkast gri z2, 0:17:02
inslag gri z6, 0:17:25
inslag iks z4, 0:17:35
bolltapp passförsök iks z9, 0:17:56
offside gri z8, 0:18:21
frislag iks z2, 0:19:19
timeout gri z, 0:19:20
utvisning 5a gri z2, 0:21:40
Passning straffområde iks z2, 0:22:23
passning farlig iks z2, 0:22:24
skott utanför iks z2, 0:22:26
skottyp inlägg iks z2, 0:22:26
Utkast gri z2, 0:22:37
passning lång gri z2, 0:22:43
Brytning iks z8, 0:22:48
hörna gri z7, 0:22:49
boll gri z6, 0:23:50
frislag gri z6, 0:23:57
Brytning iks z8, 0:24:26
hörna gri z7, 0:24:27
skott täckt gri z8, 0:24:53
skottyp fast gri z8, 0:24:53
Utkast iks z8, 0:24:58
Brytning gri z2, 0:25:43
Närkamp iks z2, 0:24:45
Passning straffområde iks z1, 0:25:48
Friläge iks z2, 0:25:49
skott räddning iks z2, 0:25:50
skottyp friställande iks z2, 0:25:50
skott räddning iks z2, 0:25:55
skottyp retur iks z2, 0:25:55
Utkast gri z2, 0:25:56
Brytning iks z9, 0:26:10
Brytning gri z2, 0:26:30
frislag gri z5, 0:26:45
Brytning iks z7, 0:27:30
inslag iks z7, 0:27:32
Brytning iks z3, 0:28:03
hörna iks z3, 0:28:05
skott räddning iks z2, 0:28:30
skottyp fast iks z2, 0:28:30
Utkast gri z2, 0:28:32
Närkamp gri z6, 0:28:40
hörna gri z9, 0:28:52
skott täckt gri z8, 0:29:20
skottyp fast gri z8, 0:29:20
Passning straffområde gri z7, 0:29:24
skott täckt gri z8, 0:29:30
skottyp utifrån gri z8, 0:29:30
Närkamp iks z5, 0:29:34
bolltapp passförsök iks z4, 0:29:39
Närkamp iks z8, 0:29:45
hörna gri z7, 0:29:47
skott täckt gri z8, 0:30:13
skottyp fast gri z8, 0:30:13
Utkast iks z8, 0:30:20
passning lång iks z5, 0:31:5
Brytning gri z2, 0:31:08
frislag gri z6, 0:31:22
utvisning 10a iks z6, 0:31:22
rensning gri z1, 0:31:55
offside gri z4, 0:32:00
Passning straffområde iks z3, 0:32:26
offside iks z2, 0:32:30
Närkamp iks z2, 0:32:48
Närkamp iks z6, 0:32:55
Närkamp gri z2, 0:33:04
Brytning iks z1, 0:33:06
offside iks z2, 0:33:08
Brytning iks z5, 0:33:25
skott räddning iks z2, 0:33:33
skottyp utifrån iks z2, 0:33:33
Utkast gri z2, 0:33:36
Närkamp iks z5, 0:33:58
inslag gri z6, 0:34:31
Passning straffområde gri z9, 0:35:01
Brytning iks z8, 0:35:03
hörna gri z7, 0:35:05
skott täckt gri z8, 0:35:31
skottyp fast gri z8, 0:35:31
utkast iks z8, 0:35:39
Närkamp iks z9, 0:36:48
Närkamp gri z9, 0:36:50
Närkamp iks z9, 0:36:52
Närkamp gri z9, 0:36:57
Närkamp iks z9, 0:37:03
Närkamp gri z2, 0:37:23
skott räddning gri z8, 0:37:36
centralt gri z8, 0:37:36
hörna gri z7, 0:37:38
mål hörnmål gri z8, 0:38:48
skottyp fast gri z8, 0:38:48
avslag iks z5, 0:39:18
passning lång iks z6, 0:39:35
Brytning gri z6, 0:39:40
inslag iks z6, 0:39:45
Närkamp gri z6, 0:39:58
Passning straffområde gri z9, 0:40:7
skott täckt gri z8, 0:40:08
skottyp inlägg gri z8, 0:40:08
mål spelmål gri z8, 0:40:09
