event,time
avslag gri,00:00
brytning iks z5,00:14
bolltapp passförösk iks z6,00:27
Hörna gri z1,00:42
skott täckt gri z2,1:11
skottyp fast gri z2,1:11
boll iks ,1:11
inslag iks z1,1:34
passning lång iks z6,2:04
boll gri,2:06
brytning iks z5,2:12
frislag iks z2,2:55
passning lång iks z6,3:16
bolltapp passförsök iks z4,3:24
bolltapp tappad gri z4,3:29
passning lång iks z6,3:47
boll gri,3:50
rensning gri z9,3:56
passning lång iks z6,4:39
boll gri,4:41
bolltapp tappad gri z1,4:53
inslag iks z9,5:08
brytning gri z8,5:27
bolltapp passförsök gri z6,5:39
brytning gri z4,5:59
frislag iks z4,6:10
passning lång iks z2,6:42
boll gri,6:46
bolltapp passförösk gri z2,6:59
passning lång iks z3,7:04
boll gri,7:06
bolltapp tappad gri z7,7:10
bolltapp passförsök iks z7,7:15
passning lång iks z6,7:24
boll gri,7:31
brytning iks z6,7:34
bolltapp passförsök iks z6,7:36
boll iks ,7:45
passning lång iks z3,7:55
boll gri,7:58
närkamp iks z7,8:01
frislag iks z4,8:06
passning lång iks z4,8:17
boll gri ,8:21
bolltapp passförsök gri z6,8:27
brytning gri z8,8:33
brytning iks z6,8:44
frislag iks z6,8:47
passning lång iks z6,8:56
bolltapp passförsök iks z8,9:06
brytning iks z4,9:16
närkamp iks z1,9:18
passning lång iks z1,9:39
boll gri,9:41
passning lång gri z4,9:44
boll iks ,9:46
närkamp gri z1,9:51
brytning iks z1,10:02
brytning gri z4,10:10
bolltapp tappad gri z4,10:15
rensning iks z4,10:20
passning lång gri z7,10:23
boll iks ,10:26
brytning gri z8,10:31
passning lång gri z8,10:33
boll iks ,10:36
passning lång iks z4,10:45
mål spelmål iks z2 66,10:56
skottyp dribbling iks z2 66,10:56
avslag gri,11:36
passning lång gri z9,11:42
frislag iks z5,11:52
passning lång iks z4,12:08
bolltapp passförsök iks z5,12:26
brytning iks z3,12:32
bolltapp passförsök iks z3,12:40
brytning iks z2,12:55
rensning iks z2,12:55
närkamp iks z1,13:00
inslag gri z1,13:10
passning lång gri z1,13:23
skott räddning gri z2,13:29
skottyp utifrån gri z2,13:29
boll iks ,13:29
frislag iks z1,13:42
passning lång iks z1,13:48
skott räddning iks z9,13:53
skottyp utifrån iks z9,13:53
hörna iks z9,13:53
mål hörnmål iks z8 97,14:28
skottyp fast iks z8 97,14:28
avslag gri,14:55
passning lång gri z9,15:01
brytning iks z9,15:03
skott räddning iks z8,15:09
skottyp centralt iks z8,15:09
hörna iks z9,15:09
skott täckt iks z8,15:35
skottyp fast iks z8,15:35
skott täckt iks z8,15:41
skottyp centralt iks z8,15:41
inslag iks z7,15:42
passning lång,16:04
boll gri,16:07
rensning gri z7,16:10
brytning iks z7,16:12
skott räddning iks z8,16:17
skottyp utifrån iks z8,16:17
hörna iks z9,16:17
