event,time
Avslag ham,45:00
passning lång ham z2,45:03
boll iks ,45:20
offside iks z3,45:36
offside ham z8,45:56
bolltapp passförsök iks z4,46:20
brytning iks z4,46:42
frislag iks z1,46:45
brytning ham z6,47:17
skott utanför ham z2,47:32
skottyp dribblig ham z2,47:32
boll iks,47:32
brytning ham z1,47:44
inslag iks z4,47:52
bolltapp passförsök iks z1,48:21
brytning iks z2,49:03
frislag iks z3,50:00
skott utanför iks z3,50:45
skottyp fast iks z3,50:45
boll ham,50:45
närkamp iks z2,51:11
hörna iks z3,51:30
skott utanför iks z2,51:59
skottyp fast iks z2,51:59
boll ham,51:59
brytning iks z7g,52:40
hörna iks z3,53:10
skott ytanför iks z2,53:38
skottyp fast iks z2,53:38
boll ham,53:38
boll iks,54:00
bolltapp passförsök iks z5,54:50
brytning iks z7,54:58
frislag ham z7,55:05
passning lång ham z4,55:30
frislag iks z8,55:38
passning lång iks z8,56:10
boll ham,56:13
brytning iks z6,56:19
skott räddning iks z2,56:28
skottyp utifrån iks z2,56:28
boll ham,56:28
bolltapp passförsök ham z8,56:48
hörna iks z1,57:15
skott utanför iks z2,57:46
skottyp fast iks z2,57:46
boll ham,57:46
brytning iks z8,58:13
boll ham,58:27
hörna ham z9,59:17
skott täckt ham z8,59:44
skottyp fast ham z8,59:44
boll ham,59:44
inslag ham z9,60:13
brytning iks z9,60:20
brytning ham z3,60:32
boll iks,60:50
brytning ham z3,61:25
straff ham,61:36
utvisninf 10 iks 15,61:36
mål straffmål ham z8,62:20
skottyp fast ham z8,62:20
avslag iks ,62:53
boll ham,63:10
brytning iks z5,63:22
frislag iks z4,63:30
bolltapp passförsök iks z5,63:57
skott utanför ham z8,64:09
skottyp centralt ham z8,64:09
boll iks,64:09
passning lång iks z5,64:23
boll ham,64:28
boll iks,64:40
närkamp iks z1,65:46
frislag iks z1,65:46
brytning ham z2,66:07
brytning iks z8,66:20
boll ham,66:35
brytning iks z9,67:33
timeout iks,67:45
boll ham,69:30
boll iks,69:52
mål spelmål iks z2 88,71:09
skottyp friläge iks z2,71:09
avslag ham,71:45
frislag ham z7,72:11
utvisning 10 iks z7 7,72:11
bolltapp passförsök ham z9,73:19
inslag ham z4,73:40
närkamp iks z8,73:58
boll ham,74:40
hörna ham z9,75:05
skott räddning ham z8,75:35
skottyp fast ham z8,75:35
boll iks,75:35
boll ham,75:55
närkamp ham z5,76:15
brytning iks z9,77:14
närkamp iks z8,77:45
bolltapp passförsök iks z4,78:10
brytning iks z5,78:14
bolltapp passförsök iks z5,78:19
närkamp ham z5,78:28
mål spelmål ham z8,78:46
skottyp dribbling ham z8,78:46
avslag iks ,79:25
skott täckt iks z2,80:05
skottyp centralt iks z2,80:05
boll iks,80:05
boll ham,80:33
närkamp iks z8,80:50
passning låg iks z5,81:00
boll ham,81:03
hörna ham z9,81:48
skott utanför ham z8,82:16
skottyp fast ham z8,82:16
boll iks,82:16
närkamp iks z5,82:37
hörna iks z1,83:05
mål hörnmål iks z2 97,83:32
skottyp fast iks z2,83:32
avslag ham,84:05
brytning iks z6,84:12
närkamp iks z1,84:34
frislag ham z1,84:42
frislag ham z4,85:14
utvisning 10 iks 11,85:14
timeout ham,85:40
hörna ham z9,87:30
skott utanför ham z8,87:53
skottyp fast ham z8,87:53
boll iks,87:53
inslag iks z4,88:10
passning lång iks z4,88:24
boll ham,88:27
skott räddning ham z8,88:45
skottyp inlägg ham z8,88:45
boll iks,88:45
boll ham,89:00
skott utanför ham z8,89:19
skottyp utifrån ham z8,89:19
boll iks,89:19
närkamp iks z4,89:35
skott räddning iks z2,89:45
skott centralt iks z2,89:45
boll iks,89:45
skott räddning iks z2,89:48
skottyp utifrån iks z2,89:48
boll iks,89:48
hörna iks z1,90:18
skott utanför iks z2,90:49
skottyp fast iks z2,90:49
boll ham,90:49
boll iks,91:00
skott utanför iks z2,91:16
skott centralt iks z2,91:16
boll ham,91:16
offside ham z9,91:27
brytning ham z6,91:57
närkamp ham z4,92:14
boll iks,92:22
skott utanför ham z8,92:43
skottyp inlägg ham z8,92:43
boll iks,92:43
boll ham,93:00
frislag ham z4,93:30
frislag ham z7,93:32
skott täckt ham z8,93:57
skottyp utifrån ham z8,93:57
boll ham,93:57
boll iks,94:17
inslag ham z4,94:25
hörna ham z9,94:40
skott täckt ham z8,95:08
skottyp fast ham z8,95:08
boll iks,95:08
boll ham,95:30 
stop,95:34
