event,time
avslag iks,45:00
mål spelmål iks z2 10,45:24
skottyp retur iks z2 10,45:24
avslag mot,45:57
offside mot z6,46:20
skott räddning iks z2,47:54
skottyp utifrån iks z2,47:54
boll mot,47:54
boll iks,48:15
inslag iks z6,48:25
passning lång iks z4,48:42
hörna iks z1,48:50
skott täckt iks z2,49:17
skottyp fast iks z2,49:17
boll mot,49:17
boll iks,49:34
brytning mot z2,49:49
brytning iks z8,50:10
bolltapp passförsök iks z4,50:57
boll iks,51:28
närkamp iks z8,52:15
passning lång iks z8,52:24
boll iks,52:30
skott utanför mot z8,52:59
skottyp centralt mot z8,52:59
boll iks,52:59
frislag mot z3,53:21
hörna mot z9,55:06
mål hörnmål mot z8,55:33
skottyp fast mot z8,55:33
avlsag iks,56:04
frislag mot z4,56:25
utvisning 10 iks 66,56:25
skott täckt mot z8,57:20
skottyp utifrån mot z8,57:20
hörna mot z7,57:20
skott täckt mot z8,57:50
skottyp fast mot z8,57:50
boll mot,57:50
frislag mot z7,58:33
brytning iks z4,58:55
närkamp iks z5,59:33
hörna iks z1,59:44
skott täckt iks z2,60:13
skottyp fast iks z2,60:13
boll mot,60:13
brytning iks z8,60:38
frislag iks z4,60:46
boll mot,61:08
bolltapp passförsök mot z5,61:20
brytning iks z2,61:40
frislag iks z5,61:53
frislag iks z3,62:10
närkamp iks z6,62:50
brytning mot z4,63:00
boll iks,63:40
närkamp mot z6,64:19
brytning iks z7,64:44
brytning mot z2,65:00
boll iks,65:16
brytning mot z9,65:25
inslag mot z1,66:00
bolltapp passförsök mot z5,66:20
skott utanför iks z2,66:35
skottyp utifrån iks z2,66:35
boll mot,66:35
insalg mot z7,67:12
frislag mot z9,67:43
brytning iks z9,68:20
passning lång iks z5,68:35
boll mot,68:40
brytning iks z5,68:50
brytning mot z6,69:30
hörna mot z9,69:37
skott täckt mot z2,70:05
skottyp fast mot z8,70:05
boll mot,70:05
frislag mot z1,70:31
timeout iks,70:40
passning lång mot z3,72:46
boll iks,72:51
insalg mot z4,73:45
frislag mot z9,74:26
mål spelmål mot z8,74:39
skottyp inlägg mot z8,74:39
avslag iks,75:09
brytning mot z2,75:27
boll iks,75:50
skott iks utanför z2,75:56
skottyp utifrån iks z2,75:56
boll mot,75:56
hörna mot z7,76:27
skott täckt mot z8,76:58
skottyp fast mot z8,76:58
boll mot,76:58
inslag mot z7,77:05
passning lång mot z1,77:32
boll iks,77:35
boll mot,77:50
skott räddning mot z8,78:22
skottyp centralt mot z8,78:22
boll iks,78:22
boll mot,78:43
brytning iks z5,79:04
skott täckt iks z2,79:11
skottyp centralt iks z2,79:11
boll iks,79:11
skott räddning iks z2,79:21
skottyp centralt iks z2,79:21
boll iks,79:21
brytning mot z1,79:52
passning lång mot z1,79:58
boll iks,80:02
närkamp iks z9,80:40
skott täckt iks z2,81:37
skottyp centralt iks z2,81:37
boll iks,81:37
boll mot,82:05
närkamp iks z7,82:15
rensning iks z7,83:01
boll mot,83:01
boll iks,83:22
frislag mot z5,83:38
brytning iks z5,83:57
skott räddning iks z3,84:30
skottyp utifrån iks z3,84:30
boll mot,84:30
boll iks,84:35
närkamp iks z6,84:58
frislag iks z4,85:22
bolltapp passförsök iks z5,85:35
insalg iks z4,85:42
frislag iks z1,86:09
utvisning 10 mot z1,86:09
hörna iks z1,87:22
skott iks utanför z2,88:35
skottyp fast iks z2,88:35
boll mot,88:35
frislag iks z5,88:58
boll mot,89:46
boll iks,89:55
brytning mot z2,90:03
passning lång mot z6,90:39
hörna mot z9,90:50
skott täckt mot z8,91:23
skottyp fast mot z8,91:23
boll iks,91:23
frislag iks z5,91:40
utvisning 10 mot z5,91:40
brytning mot z6,92:17 
brytning iks z6,92:23
bolltapp passförsök iks z6,92:28
passning lång mot z6,92:31
boll iks,92:37
mål spelmål iks z2 6,92:59
skottyp inlägg iks z2,92:59
avslag mot,93:39
stop,94:43
