time,team,event,subevent,zone
0:00:00,edsbyn,avslag,0,z8
0:00:10,edsbyn,skott,täckt,z2
0:00:14,edsbyn,skottyp,utifrån,z2
0:00:57,edsbyn,passning,lång,z2
0:01:02,sirius,närkamp,0,z2
0:01:23,sirius,passning,lång,z8
0:01:26,edsbyn,närkamp,0,z8
0:01:37,edsbyn,passning,straffområde,z2
0:01:43,sirius,utkast,0,z3
0:01:58,edsbyn,utkast,0,z7
0:02:49,sirius,närkamp,0,z2
0:02:58,sirius,skott,räddning,z8
0:03:01,sirius,skottyp,utifrån,z8
0:03:03,sirius,hörna,0,z7
0:03:34,sirius,skott,täckt,z8
0:03:38,sirius,skottyp,fast,z8
0:03:50,edsbyn,utkast,0,0
0:03:57,sirius,närkamp,0,z2
0:04:05,edsbyn,närkamp,0,z8
0:04:15,edsbyn,skott,räddning,z2
0:04:19,edsbyn,skottyp,dribbling,z2
0:04:21,sirius,boll,0,0
0:04:32,sirius,40,0,0
0:04:45,sirius,40,0,0
0:04:53,sirius,40,0,0
0:05:01,sirius,passning,lång,z8
0:05:05,edsbyn,utkast,0,z7
0:05:27,edsbyn,bolltapp,tappad,z2
0:05:33,sirius,utkast,0,z2
0:05:56,sirius,passning,straffområde,z8
0:05:59,edsbyn,närkamp,0,z8
0:06:23,edsbyn,passning,straffområde,z2
0:06:27,sirius,inslag,0,z3
0:06:35,sirius,40,0,0
0:06:43,sirius,passning,straffområde,z8
0:06:46,sirius,hörna,0,z9
0:07:19,sirius,skott,räddning,z8
0:07:22,sirius,skottyp,fast,z8
0:07:26,sirius,skott,täckt,z8
0:07:29,sirius,skottyp,retur,z8
0:07:31,edsbyn,boll,0,0
0:07:37,sirius,brytning,0,z6
0:07:45,sirius,passning,lång,z7
0:07:52,edsbyn,närkamp,0,z7
0:07:57,edsbyn,utkast,0,0
0:08:27,sirius,närkamp,0,z2
0:08:32,sirius,utkast,0,z3
0:08:59,sirius,40,0,0
0:09:10,edsbyn,närkamp,0,z5
0:09:17,sirius,närkamp,0,z3
0:09:24,edsbyn,närkamp,0,z6
0:09:26,edsbyn,inslag,0,z6
0:10:28,sirius,närkamp,0,z6
0:10:41,sirius,passning,straffområde,z8
0:10:44,sirius,boll,0,z7
0:11:09,sirius,bolltapp,passförsök,z1
0:11:11,edsbyn,inslag,0,z1
0:11:32,sirius,närkamp,0,z1
0:11:41,sirius,inslag,0,z1
0:11:57,sirius,bolltapp,tappad,z4
0:12:01,sirius,närkamp,0,z2
0:12:19,edsbyn,närkamp,0,z9
0:12:22,edsbyn,utkast,0,z7
0:12:52,edsbyn,passning,lång,z2
0:12:55,sirius,boll,0,z2
0:13:05,sirius,frislag,0,z6
0:13:41,edsbyn,brytning,0,z9
0:13:43,sirius,närkamp,0,z9
0:13:47,sirius,passning,straffområde,z8
0:13:50,edsbyn,boll,0,z8
0:13:57,sirius,närkamp,0,z1
0:14:13,edsbyn,närkamp,0,z8
0:14:39,edsbyn,passning,straffområde,z2
0:14:43,edsbyn,skott,täckt,z2
0:14:51,edsbyn,skottyp,centralt,z2
0:14:55,edsbyn,passning,straffområde,z2
0:15:00,edsbyn,skott,täckt,z2
0:15:04,edsbyn,skottyp,inlägg,z2
0:15:11,sirius,rensning,0,0
0:16:22,sirius,utkast,0,z1
0:16:49,sirius,passning,straffområde,z8
0:16:52,edsbyn,utkast,0,z7
0:17:35,sirius,närkamp,0,z5
0:17:38,edsbyn,närkamp,0,z5
0:18:12,edsbyn,passning,straffområde,z2
0:18:14,sirius,inslag,0,z1
0:18:21,sirius,närkamp,0,z6
0:18:23,sirius,frislag,0,z6
0:18:45,sirius,40,0,0
0:19:10,edsbyn,utvisning,10,0
0:19:41,sirius,frislag,0,z7
0:20:12,sirius,inslag,0,z9
0:20:52,sirius,40,0,0
0:21:25,sirius,passning,straffområde,z8
0:21:28,edsbyn,närkamp,0,z8
0:21:50,edsbyn,skott,räddning,z2
0:21:53,edsbyn,skottyp,dribbling,z2
0:21:56,sirius,boll,0,0
0:22:04,sirius,utkast,0,z3
0:22:20,sirius,hörna,0,z9
0:22:56,sirius,skott,täckt,z8
0:22:59,sirius,skottyp,fast,z8
0:23:02,edsbyn,utkast,0,z7
0:23:35,edsbyn,passning,lång,z2
0:23:40,sirius,brytning,0,z2
0:23:54,sirius,passning,straffområde,z8
0:23:58,edsbyn,närkamp,0,z8
0:24:20,edsbyn,skott,utanför,z2
0:24:25,edsbyn,skottyp,dribbling,z2
0:24:27,sirius,utkast,0,z3
0:25:01,sirius,40,0,0
0:25:26,sirius,närkamp,0,z5
0:26:07,edsbyn,närkamp,0,z8
0:26:17,sirius,närkamp,0,z6
0:26:20,sirius,40,0,0
0:26:29,sirius,40,0,0
0:26:45,sirius,närkamp,0,z5
0:26:47,sirius,40,0,0
0:27:18,sirius,skott,räddning,z8
0:27:22,sirius,skottyp,centralt,z8
0:27:23,sirius,hörna,0,z9
0:27:48,sirius,skott,täckt,z8
0:27:50,sirius,skottyp,fast,z8
0:27:56,sirius,skott,utanför,z8
0:27:58,sirius,skottyp,retur,z8
0:28:03,edsbyn,utkast,0,0
0:28:14,sirius,närkamp,0,z4
0:28:54,edsbyn,närkamp,0,z7
0:29:03,sirius,närkamp,0,z4
0:29:15,sirius,passning,farlig,z8
0:29:18,edsbyn,närkamp,0,z8
0:29:21,edsbyn,utkast,0,0
0:29:30,sirius,närkamp,0,z2
0:29:37,sirius,passning,farlig,z8
0:29:39,edsbyn,utkast,0,0
0:30:47,edsbyn,hörna,0,z1
0:31:13,edsbyn,skott,täckt,z2
0:31:18,edsbyn,skottyp,fast,z2
0:31:22,edsbyn,skott,täckt,z2
0:31:25,edsbyn,skottyp,retur,z2
0:31:28,sirius,utkast,0,0
0:31:47,sirius,skott,räddning,z8
0:31:51,sirius,skottyp,dribbling,z8
0:31:55,edsbyn,närkamp,0,z8
0:32:27,edsbyn,skott,täckt,z2
0:32:30,edsbyn,skottyp,utifrån,z2
0:32:33,sirius,boll,0,0
0:32:41,sirius,skott,utanför,z8
0:32:52,sirius,skottyp,centralt,z8
0:32:54,edsbyn,utkast,0,0
0:33:32,edsbyn,skott,räddning,z2
0:33:35,edsbyn,skottyp,utifrån,z2
0:33:38,edsbyn,mål,spelmål,z2
0:33:41,edsbyn,skottyp,retur,z2
0:34:08,sirius,avslag,0,0
0:34:35,sirius,40,0,0
0:34:51,sirius,skott,täckt,z8
0:34:54,sirius,skottyp,utifrån,z8
0:34:57,sirius,boll,0,0
0:34:58,sirius,40,0,0
0:35:53,sirius,passning,straffområde,z8
0:35:55,edsbyn,närkamp,0,z8
0:36:02,edsbyn,frislag,0,z6
0:37:16,sirius,utkast,0,z3
0:37:30,sirius,40,0,0
0:37:55,sirius,närkamp,0,z7
0:38:00,sirius,40,0,0
0:38:27,sirius,40,0,0
0:38:45,sirius,passning,lång,z8
0:38:47,sirius,frislag,0,z7
0:38:59,sirius,skott,utanför,z8
0:39:02,sirius,skottyp,utifrån,z8
0:39:07,edsbyn,utkast,0,0
0:39:10,sirius,närkamp,0,z6
0:39:16,edsbyn,närkamp,0,z9
0:39:28,sirius,närkamp,0,z5
0:39:38,sirius,bolltapp,passförsök,z5
0:39:59,edsbyn,skott,räddning,z2
0:40:00,edsbyn,skottyp,utifrån,z2
0:40:01,edsbyn,skott,täckt,z2
0:40:03,edsbyn,skottyp,utifrån,z2
0:40:06,sirius,boll,0,0
0:40:49,sirius,40,0,0
0:41:33,sirius,frislag,0,z9
0:41:49,edsbyn,brytning,0,z5
0:41:53,sirius,närkamp,0,z5
0:42:06,sirius,passning,lång,z8
0:42:09,edsbyn,närkamp,0,z8
0:42:35,edsbyn,passning,lång,z3
0:42:37,sirius,boll,0,z3
0:43:01,sirius,40,0,0
0:43:08,sirius,40,0,0
0:43:53,edsbyn,brytning,0,z9
0:44:15,sirius,utkast,0,0
0:45:00,edsbyn,närkamp,0,z9
0:45:01,0,stop,0,0
