time,team,event,subevent,zone
0:00:00,frillesås,avslag,0,0
0:00:23,sirius,närkamp,0,z1
0:00:34,frillesås,närkamp,0,z6
0:01:04,frillesås,passning,farlig,z2
0:01:16,sirius,inslag,0,z3
0:01:22,sirius,passning,lång,z8
0:01:29,frillesås,utkast,0,z7
0:01:57,sirius,närkamp,0,z1
0:02:13,sirius,40,0,z2
0:02:26,sirius,40,0,0
0:02:36,sirius,passning,lång,z9
0:02:41,frillesås,boll,0,0
0:03:08,frillesås,närkamp,0,z8
0:03:27,frillesås,frislag,0,z4
0:04:04,frillesås,hörna,0,z1
0:04:35,frillesås,skott,utanför,z2
0:04:38,frillesås,skottyp,fast,z2
0:04:41,sirius,utkast,0,z1
0:04:51,frillesås,närkamp,0,z6
0:04:54,frillesås,kontring,0,0
0:05:00,sirius,närkamp,0,z2
0:05:06,frillesås,närkamp,0,z1
0:05:08,frillesås,hörna,0,z1
0:05:34,frillesås,skott,täckt,z2
0:05:39,frillesås,skottyp,fast,z2
0:05:43,frillesås,inslag,0,z3
0:06:21,frillesås,passning,straffområde,z2
0:06:25,sirius,brytning,0,z2
0:06:27,sirius,kontring,0,0
0:06:35,frillesås,utkast,0,z9
0:07:01,sirius,närkamp,0,z3
0:07:53,sirius,40,0,z2
0:07:59,frillesås,närkamp,0,z7
0:08:37,sirius,närkamp,0,z6
0:08:41,frillesås,närkamp,0,z5
0:08:53,sirius,närkamp,0,z9
0:08:58,sirius,skott,utanför,z8
0:09:02,sirius,skottyp,utifrån,z8
0:09:03,frillesås,utkast,0,0
0:09:10,frillesås,passning,lång,0
0:09:12,frillesås,offside,0,0
0:09:30,frillesås,närkamp,0,z8
0:09:39,sirius,brytning,0,z5
0:10:03,sirius,40,0,z2
0:10:53,sirius,passning,straffområde,z8
0:11:03,sirius,skott,utanför,z8
0:11:07,sirius,skottyp,inlägg,z8
0:11:08,frillesås,utkast,0,0
0:11:38,frillesås,frislag,0,z3
0:12:08,frillesås,passning,lång,0
0:12:10,sirius,utkast,0,0
0:12:46,sirius,frislag,0,z7
0:13:28,sirius,40,0,0
0:13:45,sirius,skott,utanför,z8
0:13:48,sirius,skottyp,centralt,z8
0:13:50,frillesås,utkast,0,0
0:14:07,frillesås,passning,straffområde,z2
0:14:10,sirius,närkamp,0,z2
0:14:12,sirius,utkast,0,0
0:14:57,sirius,passning,lång,0
0:14:59,frillesås,utkast,0,0
0:15:15,frillesås,skott,räddning,z2
0:15:18,frillesås,skottyp,utifrån,z2
0:15:20,frillesås,skott,räddning,z2
0:15:23,frillesås,skottyp,retur,z2
0:15:37,frillesås,frislag,0,z5
0:16:00,frillesås,närkamp,0,z3
0:16:07,frillesås,hörna,0,z3
0:16:40,frillesås,skott,täckt,z2
0:16:42,frillesås,skottyp,fast,z2
0:16:49,frillesås,mål,hörnmål,z2
0:16:55,frillesås,skottyp,retur,z2
0:17:07,sirius,avslag,0,0
0:18:00,frillesås,brytning,0,z9
0:18:09,frillesås,kontring,0,0
0:18:14,frillesås,hörna,0,z3
0:18:44,frillesås,skott,utanför,z2
0:18:48,frillesås,skottyp,fast,z2
0:18:57,sirius,utkast,0,z3
0:19:12,frillesås,utkast,0,0
0:19:35,frillesås,skott,täckt,z2
0:19:38,frillesås,skottyp,centralt,z2
0:19:46,sirius,boll,0,0
0:19:52,sirius,närkamp,0,z6
0:19:57,frillesås,närkamp,0,z8
0:20:16,frillesås,skott,täckt,z2
0:20:19,frillesås,skottyp,utifrån,z2
0:20:22,frillesås,hörna,0,z3
0:20:43,frillesås,skott,räddning,z2
0:20:46,frillesås,skottyp,fast,z2
0:20:51,sirius,rensning,0,0
0:20:59,frillesås,passning,straffområde,z2
0:21:08,sirius,rensning,0,0
0:21:26,sirius,närkamp,0,z3
0:21:33,frillesås,närkamp,0,z6
0:21:53,sirius,brytning,0,z2
0:22:06,sirius,40,0,0
0:22:16,sirius,hörna,0,z7
0:22:46,sirius,skott,utanför,z8
0:22:49,sirius,skottyp,fast,z8
0:22:51,frillesås,utkast,0,0
0:23:41,frillesås,passning,straffområde,z2
0:23:45,sirius,utkast,0,z3
0:24:24,sirius,40,0,z2
0:25:10,frillesås,brytning,0,z5
0:25:14,frillesås,kontring,0,0
0:25:20,frillesås,passning,straffområde,z2
0:25:23,frillesås,straff,0,z2
0:25:48,sirius,utvisning,10,0
0:26:18,frillesås,mål,straffmål,z2
0:26:24,frillesås,skottyp,fast,z2
