time,team,event,subevent,zone
0:00:00,sirius,avslag,0,z2
0:00:25,motala,närkamp,0,z7
0:00:27,motala,utkast,0,0
0:00:57,motala,bolltapp,passförsök,z9
0:00:59,sirius,hörna,0,z9
0:01:27,sirius,skott,täckt,z8
0:01:30,sirius,skottyp,fast,z8
0:01:34,sirius,närkamp,0,z7
0:01:39,sirius,hörna,0,z7
0:02:10,sirius,skott,täckt,z8
0:02:14,sirius,skottyp,fast,z8
0:02:17,motala,utkast,0,z7
0:02:36,motala,passning,straffområde,z2
0:02:38,sirius,utkast,0,0
0:03:22,sirius,40,0,z2
0:03:38,sirius,passning,lång,z8
0:03:42,sirius,skott,räddning,z8
0:03:51,sirius,skottyp,centralt,z8
0:03:52,sirius,hörna,0,z9
0:04:20,sirius,skott,täckt,z8
0:04:25,sirius,skottyp,fast,z8
0:04:30,motala,närkamp,0,z7
0:04:32,motala,utkast,0,0
0:05:08,sirius,utkast,0,z3
0:05:33,sirius,närkamp,0,z7
0:05:42,sirius,skott,utanför,z8
0:05:46,sirius,skottyp,utifrån,z8
0:05:47,motala,utkast,0,0
0:05:50,sirius,närkamp,0,z6
0:06:12,motala,brytning,0,z5
0:06:22,sirius,närkamp,0,z6
0:06:26,sirius,skott,täckt,z8
0:06:29,sirius,skottyp,utifrån,z8
0:06:32,sirius,närkamp,0,z7
0:06:39,sirius,hörna,0,z7
0:07:13,sirius,skott,räddning,z8
0:07:18,sirius,skottyp,fast,z8
0:07:19,motala,utkast,0,0
0:08:01,motala,bolltapp,tappad,z2
0:08:25,sirius,passning,straffområde,z8
0:08:28,sirius,skott,utanför,z8
0:08:32,sirius,skottyp,inlägg,z8
0:08:34,motala,utkast,0,0
0:08:50,motala,skott,täckt,z2
0:08:53,motala,skottyp,utifrån,z2
0:08:56,motala,hörna,0,z3
0:09:27,motala,mål,straffmål,z2
0:09:30,motala,skottyp,fast,z2
0:09:52,sirius,avslag,0,z2
0:10:21,sirius,passning,lång,z8
0:10:26,motala,utkast,0,0
0:11:03,motala,passning,straffområde,z2
0:11:07,sirius,rensning,0,0
0:11:19,motala,närkamp,0,z7
0:11:30,motala,närkamp,0,z7
0:11:40,sirius,närkamp,0,z5
0:11:56,sirius,passning,straffområde,z8
