time,team,event,subevent,zone
0:00:00,sirius,avslag,0,0
0:00:49,sirius,mål,spelmål,z3
0:00:52,sirius,skottyp,utifrån,z3
0:00:58,broberg,avslag,0,0
0:01:26,sirius,brytning,0,z5
0:01:38,sirius,utkast,0,0
0:02:07,sirius,närkamp,0,z2
0:02:09,broberg,närkamp,0,z2
0:02:19,broberg,utkast,0,0
0:02:32,0,timeout,0,0
0:02:40,broberg,boll,0,0
0:03:00,sirius,närkamp,0,z9
0:03:04,broberg,närkamp,0,z6
0:03:28,sirius,utkast,0,z9
0:03:52,sirius,40,0,0
0:04:13,sirius,hörna,0,z3
0:04:41,sirius,skott,täckt,z2
0:04:44,sirius,skottyp,fast,z2
0:04:50,sirius,skott,täckt,z2
0:04:53,sirius,skottyp,retur,z2
0:04:56,sirius,boll,0,0
0:05:25,sirius,skott,täckt,z2
0:05:29,sirius,skottyp,utifrån,z2
0:05:34,broberg,boll,0,z2
0:05:58,broberg,passning,straffområde,z8
0:06:01,broberg,skott,utanför,z8
0:06:07,broberg,skottyp,inlägg,z8
0:06:08,sirius,utkast,0,0
0:06:24,broberg,brytning,0,z2
0:06:40,broberg,passning,straffområde,z8
0:06:43,sirius,inslag,0,z7
0:06:56,broberg,närkamp,0,z6
0:07:01,sirius,närkamp,0,z6
0:07:23,sirius,passning,straffområde,z2
0:07:25,broberg,rensning,0,0
0:08:04,sirius,hörna,0,z3
0:08:31,sirius,mål,hörnmål,z2
0:08:36,sirius,skottyp,fast,z2
0:09:02,broberg,avslag,0,0
0:09:26,broberg,hörna,0,z7
0:09:54,broberg,skott,täckt,z8
0:09:57,broberg,skottyp,fast,z8
0:10:10,sirius,närkamp,0,z6
0:10:20,broberg,närkamp,0,z3
0:10:30,sirius,frislag,0,z3
0:10:42,sirius,närkamp,0,z2
0:10:59,sirius,utkast,0,0
0:11:25,broberg,brytning,0,z1
0:11:34,broberg,frislag,0,z5
0:12:21,broberg,bolltapp,passförsök,z9
0:12:26,sirius,utkast,0,z9
0:12:36,sirius,40,0,0
0:12:39,sirius,passning,lång,z2
0:12:44,broberg,frislag,0,z2
0:12:59,sirius,utkast,0,z7
0:13:29,sirius,utkast,0,0
0:13:54,sirius,mål,spelmål,z2
0:13:59,sirius,skottyp,dribbling,z2
0:14:30,broberg,timeout,0,0
0:16:47,broberg,avslag,0,0
0:17:01,broberg,närkamp,0,z4
0:17:21,broberg,passning,straffområde,z8
0:17:30,sirius,närkamp,0,z9
0:17:39,broberg,närkamp,0,z6
0:17:59,broberg,skott,utanför,z8
0:18:02,broberg,skottyp,utifrån,z8
0:18:05,sirius,utkast,0,z9
0:18:23,sirius,passning,straffområde,z2
0:18:26,broberg,boll,0,0
0:18:44,sirius,närkamp,0,z9
0:18:52,broberg,närkamp,0,z6
0:19:01,sirius,utvisning,10,0
0:19:37,broberg,frislag,0,z9
0:19:49,broberg,bolltapp,passförsök,z7
0:19:55,sirius,utkast,0,z7
0:20:13,broberg,inslag,0,z6
0:20:23,sirius,närkamp,0,z8
0:20:27,broberg,frislag,0,z8
0:20:37,sirius,brytning,0,z8
0:20:47,sirius,närkamp,0,z5
0:20:52,broberg,brytning,0,z5
0:21:17,broberg,närkamp,0,z7
0:21:26,broberg,inslag,0,z7
0:21:54,sirius,närkamp,0,z8
0:22:00,broberg,närkamp,0,z4
0:22:05,broberg,frislag,0,z4
0:22:25,broberg,skott,utanför,z8
0:22:31,broberg,skottyp,centralt,z8
0:22:33,sirius,utkast,0,0
0:22:37,broberg,närkamp,0,z6
