time,team,event,subevent,zone
0:00:00,sirius,avslag,0,z2
0:00:07,sirius,40,0,0
0:00:16,sirius,40,0,0
0:02:01,sirius,friläge,0,z8
0:02:05,sirius,mål,spelmål,z8
0:02:11,sirius,skottyp,friställande,z8
0:02:33,vetlanda,avslag,0,z8
0:03:02,sirius,närkamp,0,z5
0:03:14,sirius,skott,utanför,z8
0:03:17,sirius,skottyp,utifrån,z8
0:03:20,vetlanda,utkast,0,z7
0:03:37,vetlanda,närkamp,0,z5
0:04:21,sirius,närkamp,0,z2
0:04:39,sirius,40,0,0
0:05:05,sirius,40,0,z2
0:05:14,sirius,40,0,z2
0:05:48,vetlanda,närkamp,0,z9
0:06:19,vetlanda,närkamp,0,z5
0:06:34,sirius,närkamp,0,z1
0:06:40,vetlanda,närkamp,0,z1
0:06:46,vetlanda,frislag,0,z1
0:07:03,vetlanda,frislag,0,z3
0:07:23,vetlanda,skott,utanför,z3
0:07:32,vetlanda,skottyp,utifrån,z3
0:07:34,sirius,utkast,0,z2
0:07:55,sirius,passning,lång,z9
0:07:57,vetlanda,boll,0,z9
0:08:00,sirius,närkamp,0,z9
0:08:04,vetlanda,närkamp,0,z9
0:08:25,vetlanda,skott,utanför,z2
0:08:31,vetlanda,skottyp,utifrån,z2
0:08:33,sirius,utkast,0,z1
0:08:54,sirius,40,0,0
0:09:01,sirius,offside,0,z9
0:09:07,vetlanda,boll,0,z9
0:09:16,sirius,brytning,0,z2
0:09:25,sirius,passning,lång,z8
0:09:31,sirius,mål,spelmål,z8
0:09:36,sirius,skottyp,friställande,z8
0:10:00,vetlanda,avslag,0,z8
0:11:03,sirius,inslag,0,z1
0:11:34,sirius,passning,straffområde,z8
0:11:37,vetlanda,rensning,0,z8
0:11:42,sirius,inslag,0,z9
0:12:08,sirius,bolltapp,passförsök,z5
0:12:14,vetlanda,passning,straffområde,z2
0:12:17,vetlanda,hörna,0,z1
0:12:50,vetlanda,skott,utanför,z2
0:12:53,vetlanda,skottyp,fast,z2
0:12:57,sirius,utkast,0,z3
0:13:14,sirius,hörna,0,z7
0:14:10,sirius,skott,täckt,z8
0:14:12,sirius,skottyp,fast,z8
0:14:17,sirius,skott,utanför,z8
0:14:21,sirius,skottyp,retur,z8
0:14:24,vetlanda,utkast,0,0
0:14:48,sirius,närkamp,0,z1
0:15:10,sirius,40,0,0
0:15:21,sirius,40,0,0
0:15:56,sirius,skott,utanför,z8
0:16:03,sirius,skottyp,centralt,z8
0:16:05,vetlanda,utkast,0,z9
0:16:10,vetlanda,passning,lång,z2
0:16:16,sirius,utkast,0,z1
0:16:30,sirius,närkamp,0,z5
0:16:50,vetlanda,brytning,0,z7
0:17:01,sirius,närkamp,0,z2
0:17:21,sirius,närkamp,0,z7
0:17:23,sirius,frislag,0,z7
0:18:03,sirius,40,0,z2
0:18:16,sirius,40,0,z2
0:18:51,sirius,passning,straffområde,z8
0:18:54,vetlanda,boll,0,z8
0:18:56,sirius,närkamp,0,z7
0:19:00,vetlanda,brytning,0,z7
0:19:00,vetlanda,kontring,0,z7
0:19:05,sirius,närkamp,0,z1
0:19:17,vetlanda,närkamp,0,z8
0:19:40,vetlanda,frislag,0,z7
0:20:07,vetlanda,bolltapp,tappad,z4
0:20:14,vetlanda,närkamp,0,z8
0:20:25,vetlanda,frislag,0,z5
0:21:13,sirius,närkamp,0,z3
0:21:20,sirius,frislag,0,z6
0:22:15,sirius,skott,räddning,z8
0:22:20,sirius,skottyp,dribbling,z8
0:22:22,vetlanda,utkast,0,0
0:22:27,sirius,närkamp,0,z2
0:22:37,vetlanda,närkamp,0,z9
0:23:10,sirius,utvisning,10,0
0:23:37,vetlanda,frislag,0,z2
0:23:44,vetlanda,skott,täckt,z2
0:23:48,vetlanda,skottyp,fast,z2
0:23:51,vetlanda,skott,utanför,z2
0:23:55,vetlanda,skottyp,utifrån,z2
0:23:56,sirius,utkast,0,0
0:24:17,sirius,frislag,0,z8
0:24:52,sirius,passning,straffområde,z8
0:24:58,vetlanda,rensning,0,0
0:25:02,sirius,40,0,z2
0:25:21,vetlanda,brytning,0,z7
0:25:27,vetlanda,kontring,0,0
0:25:37,sirius,brytning,0,z1
0:25:46,sirius,frislag,0,z6
0:25:51,0,timeout,0,0
0:26:09,sirius,boll,0,0
0:26:19,sirius,40,0,0
0:26:40,sirius,bolltapp,passförsök,z5
0:26:50,vetlanda,skott,räddning,z2
0:26:53,vetlanda,skottyp,dribbling,z2
0:26:56,sirius,boll,0,z2
0:27:29,sirius,hörna,0,z7
0:28:00,sirius,skott,utanför,z8
0:28:03,sirius,skottyp,fast,z8
0:28:07,vetlanda,utkast,0,z7
0:29:00,sirius,rensning,0,z2
0:29:41,sirius,närkamp,0,z3
0:29:50,sirius,kontring,0,0
0:29:55,sirius,passning,straffområde,z8
0:29:58,vetlanda,närkamp,0,z8
0:30:09,vetlanda,kontring,0,0
0:31:03,sirius,utkast,0,0
0:31:34,vetlanda,bolltapp,passförsök,z7
0:31:36,vetlanda,utkast,0,0
0:31:50,vetlanda,inslag,0,z3
0:32:02,vetlanda,bolltapp,passförsök,z2
0:32:14,vetlanda,utvisning,10,0
0:32:44,sirius,frislag,0,z4
0:33:50,vetlanda,närkamp,0,z6
0:33:53,vetlanda,inslag,0,z6
0:33:59,vetlanda,passning,lång,z2
0:34:07,sirius,boll,0,z2
0:34:28,sirius,40,0,0
0:34:49,sirius,närkamp,0,z7
0:35:10,sirius,40,0,z2
0:35:30,sirius,passning,straffområde,z8
0:35:33,sirius,skott,täckt,z8
0:35:36,sirius,skottyp,utifrån,z8
0:35:39,sirius,boll,0,0
0:35:43,vetlanda,närkamp,0,z4
0:36:26,sirius,utkast,0,z3
0:36:46,sirius,skott,utanför,z8
0:36:50,sirius,skottyp,centralt,z8
0:36:52,vetlanda,utkast,0,0
0:37:07,sirius,närkamp,0,z2
0:37:15,vetlanda,närkamp,0,z4
0:38:06,vetlanda,frislag,0,z5
0:38:25,vetlanda,skott,utanför,z2
0:38:30,vetlanda,skottyp,utifrån,z2
0:38:33,sirius,utkast,0,0
0:38:50,sirius,40,0,z2
0:39:13,sirius,passning,straffområde,z8
0:39:17,sirius,skott,täckt,z8
0:39:20,sirius,skottyp,inlägg,z8
0:39:27,sirius,mål,spelmål,z8
0:39:32,sirius,skottyp,retur,z8
0:40:08,sirius,avslag,0,z6
0:40:11,vetlanda,brytning,0,z5
0:40:24,vetlanda,skott,räddning,z2
0:40:27,vetlanda,skottyp,dribbling,z2
0:40:30,sirius,utkast,0,z2
0:40:49,sirius,40,0,0
0:41:05,sirius,passning,straffområde,z8
0:41:07,vetlanda,rensning,0,0
0:41:37,sirius,bolltapp,passförsök,0
0:41:40,vetlanda,skott,utanför,z2
0:41:43,vetlanda,skottyp,utifrån,z2
0:41:45,sirius,utkast,0,0
0:42:00,sirius,passning,straffområde,z8
0:42:04,vetlanda,utkast,0,z8
0:42:40,vetlanda,närkamp,0,z4
0:43:08,sirius,brytning,0,z5
0:43:18,sirius,bolltapp,tappad,z5
0:43:20,sirius,närkamp,0,z5
0:43:32,vetlanda,inslag,0,z7
0:43:46,sirius,närkamp,0,z5
0:43:55,sirius,hörna,0,z9
0:44:28,sirius,skott,täckt,z8
0:44:32,sirius,skottyp,fast,z8
0:44:42,vetlanda,utkast,0,0
0:44:56,sirius,närkamp,0,z3
0:45:05,sirius,passning,lång,z8
0:45:12,vetlanda,utkast,0,z9
0:45:31,vetlanda,närkamp,0,z6
0:45:32,0,stop,0,0
