time,team,event,subevent,zone
0:00:00,sirius,avslag,0,z5
0:01:50,sirius,passning,lång,z2
0:02:01,sirius,skott,täckt,z2
0:02:06,sirius,skottyp,utifrån,z2
0:02:08,vsk,boll,0,0
0:02:13,vsk,passning,lång,z9
0:02:16,vsk,hörna,0,z9
0:02:45,vsk,skott,utanför,z8
0:02:50,vsk,skottyp,fast,0
0:02:53,sirius,utkast,0,z7
0:03:11,sirius,bolltapp,passförsök,z2
0:03:19,vsk,bolltapp,passförsök,z5
0:04:02,sirius,passning,lång,z2
0:04:05,vsk,utkast,0,z1
0:04:29,vsk,skott,räddning,z8
0:04:34,vsk,skottyp,utifrån,0
0:04:39,sirius,rensning,0,z8
0:04:41,vsk,boll,0,z6
0:04:56,vsk,skott,räddning,z5
0:05:01,vsk,skottyp,utifrån,z5
0:05:03,sirius,utkast,0,0
0:05:12,sirius,skott,utanför,z2
0:05:16,sirius,skottyp,utifrån,z2
0:05:21,vsk,utkast,0,z1
0:05:29,vsk,offside,0,z8
0:05:41,sirius,boll,0,0
0:06:08,sirius,frislag,0,z3
0:06:30,sirius,boll,0,0
0:06:47,sirius,passning,straffområde,z2
0:06:49,vsk,boll,0,0
0:06:57,vsk,frislag,0,z8
0:07:12,vsk,boll,0,0
0:07:40,vsk,skott,utanför,z8
0:07:45,vsk,skottyp,utifrån,z8
0:07:48,sirius,utkast,0,z8
0:08:04,sirius,skott,räddning,z2
0:08:09,sirius,skottyp,centralt,z2
0:08:11,vsk,närkamp,0,0
0:08:23,vsk,skott,räddning,z8
0:08:25,vsk,skottyp,centralt,z8
0:08:30,sirius,utkast,0,0
0:09:45,sirius,närkamp,0,z3
0:11:17,sirius,skott,utanför,z2
0:11:23,sirius,skottyp,utifrån,z2
0:11:24,vsk,utkast,0,0
0:12:09,sirius,närkamp,0,z8
0:12:16,sirius,bolltapp,tappad,z4
0:12:32,vsk,mål,spelmål,z8
0:12:39,vsk,skottyp,centralt,z8
0:13:20,sirius,avslag,0,0
0:13:26,vsk,närkamp,0,z2
0:13:46,vsk,passning,straffområde,z8
0:13:51,sirius,frislag,0,z9
0:14:35,vsk,närkamp,0,z5
0:14:52,vsk,frislag,0,z8
0:15:06,vsk,passning,straffområde,z8
0:15:13,vsk,närkamp,0,0
0:15:30,vsk,bolltapp,tappad,0
0:15:40,vsk,närkamp,0,0
0:15:53,sirius,utkast,0,z9
0:16:44,vsk,utvisning,10,0
0:16:51,sirius,frislag,0,z2
0:16:56,sirius,boll,0,0
0:17:02,sirius,inslag,0,z1
0:17:36,vsk,närkamp,0,z2
0:17:52,vsk,skott,utanför,z8
0:17:59,vsk,skottyp,dribbling,z8
0:18:04,sirius,utkast,0,z8
0:18:11,sirius,närkamp,0,z5
0:18:19,sirius,skott,täckt,z2
0:18:24,sirius,skottyp,centralt,0
0:18:33,sirius,närkamp,0,z6
0:18:57,0,timeout,0,0
0:19:09,vsk,frislag,0,z6
0:19:28,vsk,frislag,0,z9
0:20:21,vsk,skott,täckt,z8
0:20:29,vsk,skottyp,utifrån,0
0:20:33,sirius,närkamp,0,0
0:20:35,vsk,närkamp,0,0
0:20:41,sirius,brytning,0,z8
0:21:03,vsk,närkamp,0,z4
0:21:29,sirius,närkamp,0,z8
0:21:50,sirius,skott,täckt,z3
0:21:55,sirius,skottyp,utifrån,z3
0:21:59,sirius,hörna,0,z3
0:22:20,sirius,skott,täckt,z2
0:22:24,sirius,skottyp,fast,z2
0:22:28,vsk,närkamp,0,0
0:22:36,vsk,skott,räddning,z8
0:22:41,vsk,skottyp,centralt,0
0:22:44,sirius,utkast,0,z8
0:23:24,sirius,timeout,0,0
0:25:11,sirius,frislag,0,z2
0:25:22,vsk,rensning,0,z2
0:25:34,vsk,närkamp,0,z3
0:25:38,sirius,närkamp,0,z5
0:26:13,sirius,närkamp,0,z2
0:26:17,sirius,passning,straffområde,z2
0:26:19,sirius,närkamp,0,0
0:26:34,sirius,skott,räddning,z2
0:26:39,sirius,skottyp,centralt,0
0:26:47,vsk,närkamp,0,z2
0:26:57,vsk,frislag,0,0
0:27:11,vsk,rensning,0,0
0:27:47,sirius,passning,straffområde,z2
0:27:52,vsk,boll,0,z2
0:27:58,vsk,rensning,0,0
0:28:02,sirius,boll,0,0
0:28:14,sirius,passning,straffområde,z2
0:28:21,vsk,boll,0,0
0:28:35,vsk,passning,straffområde,z8
0:28:41,vsk,mål,spelmål,z8
0:28:46,vsk,skottyp,inlägg,z8
0:29:13,sirius,avslag,0,z5
0:29:24,vsk,utvisning,10,0
0:29:34,sirius,frislag,0,0
0:30:38,vsk,utkast,0,z2
0:30:48,sirius,närkamp,0,z4
0:31:00,sirius,bolltapp,passförsök,0
0:31:03,vsk,frislag,0,z6
0:32:01,sirius,utkast,0,0
0:32:32,0,stop,0,0
