time,team,event,subevent,zone
0:00:00,sirius,avslag,0,z5
0:00:06,sirius,passning,lång,z3
0:00:12,villa,utkast,0,z3
0:00:36,sirius,närkamp,0,z8
0:00:45,sirius,skott,räddning,z2
0:00:48,sirius,skottyp,utifrån,z2
0:00:50,villa,utkast,0,z3
0:01:27,villa,passning,straffområde,z8
0:01:30,villa,mål,spelmål,z8
0:01:37,villa,skottyp,inlägg,z8
0:01:56,sirius,avslag,0,z8
0:02:17,villa,brytning,0,z4
0:02:37,sirius,närkamp,0,z8
0:02:50,sirius,skott,räddning,z8
0:02:53,sirius,skottyp,centralt,z8
0:02:55,sirius,hörna,0,z1
0:03:27,sirius,skott,utanför,z2
0:03:30,sirius,skottyp,fast,z2
0:03:31,villa,utkast,0,0
0:03:45,sirius,närkamp,0,z9
0:03:51,sirius,utkast,0,0
0:04:09,sirius,hörna,0,z1
0:04:39,sirius,skott,täckt,z2
0:04:41,sirius,skottyp,fast,z2
0:05:01,sirius,inslag,0,z3
0:05:06,sirius,passning,straffområde,z2
0:05:08,villa,utkast,0,z1
0:05:17,villa,skott,utanför,z8
0:05:21,villa,skottyp,utifrån,z8
0:05:23,sirius,utkast,0,0
0:05:34,sirius,passning,straffområde,z2
0:05:37,villa,rensning,0,0
0:05:44,sirius,frislag,0,z3
0:06:02,sirius,passning,straffområde,z2
0:06:06,villa,rensning,0,0
0:06:32,sirius,40,0,z8
0:07:06,villa,brytning,0,z1
0:07:19,sirius,brytning,0,z5
0:07:28,villa,närkamp,0,z2
0:08:03,villa,passning,straffområde,z8
0:08:10,villa,mål,spelmål,z8
0:08:16,villa,skottyp,inlägg,z8
0:08:30,sirius,avslag,0,0
0:08:47,villa,brytning,0,z3
0:09:33,villa,inslag,0,z9
0:10:10,sirius,närkamp,0,z8
0:10:21,villa,närkamp,0,z3
0:10:33,sirius,närkamp,0,z6
0:10:44,villa,närkamp,0,z2
0:10:57,sirius,närkamp,0,z7
0:11:14,villa,brytning,0,z2
0:11:20,sirius,närkamp,0,z1
0:11:31,sirius,skott,räddning,z2
0:11:34,sirius,skottyp,utifrån,z2
0:11:36,villa,utkast,0,0
0:11:58,sirius,brytning,0,z7
0:12:08,sirius,passning,straffområde,z8
0:12:13,villa,boll,0,z3
0:12:20,sirius,närkamp,0,z6
0:12:29,sirius,passning,lång,z2
0:12:33,villa,närkamp,0,z2
0:12:39,sirius,närkamp,0,z1
0:12:48,sirius,skott,räddning,z2
0:12:52,sirius,skottyp,utifrån,z2
0:12:54,sirius,hörna,0,z1
0:13:24,sirius,skott,täckt,z2
0:13:26,sirius,skottyp,fast,z2
0:13:30,sirius,skott,täckt,z2
0:13:33,sirius,skottyp,utifrån,z2
0:13:39,villa,boll,0,0
0:13:44,villa,passning,lång,0
0:13:45,sirius,utkast,0,0
0:13:59,sirius,skott,täckt,z2
0:14:01,sirius,skottyp,utifrån,z2
0:14:14,sirius,passning,lång,z2
0:14:18,villa,rensning,0,0
0:14:45,sirius,frislag,0,z3
0:15:00,0,stop,0,0
