time,team,event,subevent,zone
0:00:00,iks,avslag,0,z5
0:00:18,vän,närkamp,0,z6
0:00:32,vän,mål,spelmål,z2
0:00:41,vän,skottyp,utifrån,z2
0:00:56,iks,avslag,0,z5
0:01:15,iks,frislag,0,z5
0:01:28,iks,boll,0,0
0:01:40,vän,närkamp,0,z5
0:01:45,iks,brytning,0,z5
0:01:54,iks,skott,täckt,z8
0:01:58,iks,skottyp,utifrån,z8
0:02:03,vän,boll,0,z8
0:02:26,vän,passning,straffområde,z2
0:02:31,iks,närkamp,0,z3
0:02:36,iks,inslag,0,z3
0:03:11,iks,frislag,0,z9
0:03:33,vän,utkast,0,z8
0:03:40,iks,närkamp,0,z9
0:04:05,vän,brytning,0,z7
0:05:16,vän,närkamp,0,z4
0:05:29,iks,närkamp,0,z4
0:05:33,iks,frislag,0,z4
0:05:45,iks,frislag,0,z9
0:06:00,vän,närkamp,0,z5
0:06:04,vän,frislag,0,z4
0:07:14,vän,närkamp,0,z3
0:07:31,vän,skott,räddning,z2
0:07:39,vän,skottyp,utifrån,z2
0:07:43,iks,utkast,0,z2
0:07:57,vän,närkamp,0,z5
0:08:23,vän,frislag,0,z1
0:08:46,vän,frislag,0,z3
0:09:26,vän,närkamp,0,z8
0:09:41,vän,skott,utanför,z2
0:09:49,vän,skottyp,utifrån,z2
0:09:54,iks,boll,0,0
0:10:00,vän,närkamp,0,z5
0:10:04,vän,frislag,0,z1
0:10:31,vän,hörna,0,z3
0:11:01,vän,skott,räddning,z2
0:11:06,vän,skottyp,fast,z2
0:11:08,iks,utkast,0,z3
0:11:22,iks,närkamp,0,z5
0:12:02,vän,utkast,0,0
0:12:05,iks,brytning,0,z5
0:12:41,vän,utkast,0,0
0:12:46,iks,brytning,0,z6
0:12:56,vän,brytning,0,z8
0:13:01,vän,närkamp,0,z5
0:13:42,iks,närkamp,0,z5
0:13:55,iks,offside,0,z8
0:14:02,vän,boll,0,z8
0:14:51,vän,mål,spelmål,z2
0:15:02,vän,skottyp,friställande,z2
0:15:14,iks,timeout,0,0
0:16:49,iks,avslag,0,z5
0:17:06,vän,närkamp,0,z5
0:17:09,iks,närkamp,0,z4
0:17:47,vän,närkamp,0,z5
0:18:29,iks,närkamp,0,z4
0:18:41,vän,närkamp,0,z6
0:18:50,iks,brytning,0,z9
0:19:03,vän,brytning,0,z9
0:19:07,iks,närkamp,0,z9
0:19:48,iks,närkamp,0,z7
0:20:09,vän,närkamp,0,z8
0:20:29,vän,närkamp,0,z5
0:20:37,vän,mål,spelmål,z2
0:21:05,vän,skottyp,centralt,z2
0:21:08,iks,avslag,0,z5
0:21:40,vän,brytning,0,z8
0:22:24,iks,boll,0,0
0:22:54,iks,skott,utanför,z8
0:23:01,iks,skottyp,centralt,z8
0:23:06,vän,utkast,0,0
0:23:15,vän,skott,täckt,z2
0:23:19,vän,skottyp,centralt,z2
0:23:25,iks,boll,0,0
0:24:03,vän,utkast,0,0
0:24:18,iks,närkamp,0,0
0:24:23,vän,närkamp,0,z4
0:24:52,iks,frislag,0,z3
0:25:04,vän,boll,0,z8
0:25:15,iks,utkast,0,z1
0:25:34,vän,brytning,0,z8
0:25:41,iks,närkamp,0,z7
0:25:50,iks,passning,straffområde,z8
0:25:52,iks,hörna,0,z9
0:26:20,iks,skott,täckt,z8
0:26:25,iks,skottyp,fast,z8
0:26:29,iks,boll,0,0
0:27:02,vän,närkamp,0,z9
0:27:28,vän,hörna,0,z1
0:27:54,vän,skott,utanför,z2
0:28:02,vän,skottyp,fast,z2
0:28:05,iks,utkast,0,z3
0:28:28,iks,bolltapp,passförsök,z4
0:28:35,vän,inslag,0,z4
0:28:57,vän,bolltapp,tappad,z8
0:29:06,vän,närkamp,0,z9
0:29:18,iks,närkamp,0,z5
0:29:28,iks,skott,räddning,z8
0:29:34,iks,skottyp,utifrån,z8
0:29:40,vän,utkast,0,0
0:29:55,iks,närkamp,0,z5
0:30:12,iks,mål,spelmål,z8
0:30:17,iks,skottyp,centralt,z8
0:30:24,vän,avslag,0,z5
0:31:06,iks,boll,0,z3
0:31:14,vän,närkamp,0,z7
0:31:25,vän,frislag,0,z6
0:31:42,vän,offside,0,z5
0:31:45,iks,boll,0,0
0:31:59,vän,utkast,0,z8
0:32:44,vän,bolltapp,passförsök,z5
0:32:50,vän,utvisning,10,0
0:33:09,iks,frislag,0,z4
0:33:41,iks,mål,spelmål,z8
0:33:58,iks,skottyp,utifrån,z8
0:34:08,vän,timeout,0,0
0:35:58,vän,avslag,0,z5
0:36:23,vän,offside,0,z2
0:36:41,iks,utvisning,10,0
0:37:15,0,timeout,0,0
0:37:35,iks,boll,0,0
0:37:52,iks,passning,straffområde,z8
0:37:59,vän,utkast,0,z8
0:38:34,vän,skott,räddning,z2
0:38:39,vän,skottyp,utifrån,z2
0:38:44,vän,närkamp,0,z2
0:39:07,vän,frislag,0,z6
0:39:30,iks,brytning,0,z2
0:39:39,iks,bolltapp,passförsök,z2
0:39:55,iks,inslag,0,z3
0:40:04,iks,passning,straffområde,z8
0:40:14,vän,rensning,0,0
0:40:22,vän,inslag,0,0
0:40:35,iks,passning,straffområde,z8
0:40:43,vän,utkast,0,0
0:40:55,vän,skott,räddning,z2
0:41:04,vän,skottyp,utifrån,z2
0:41:08,vän,hörna,0,0
0:41:22,vän,mål,hörnmål,z2
0:41:28,vän,skottyp,fast,z2
0:41:42,iks,avslag,0,z5
0:41:58,iks,närkamp,0,z5
0:42:20,vän,närkamp,0,z5
0:42:27,iks,närkamp,0,z2
0:42:43,vän,närkamp,0,z5
0:43:16,vän,mål,spelmål,0
0:43:23,vän,skottyp,centralt,z2
0:43:37,iks,avslag,0,z5
0:44:13,vän,närkamp,0,z6
0:44:21,iks,närkamp,0,z6
0:44:32,iks,frislag,0,z8
0:45:10,iks,passning,straffområde,z8
0:45:15,iks,skott,täckt,z8
0:45:22,iks,skottyp,inlägg,z8
0:45:25,iks,hörna,0,z9
0:45:39,iks,skott,täckt,z8
0:45:48,iks,skottyp,fast,z8
0:45:53,iks,skott,räddning,0
