time,team,event,subevent,zone
0:00:00,iks,avslag,0,z5
0:01:15,iks,passning,lång,z8
0:01:20,villa,utkast,0,z9
0:02:09,villa,passning,straffområde,z2
0:02:12,villa,skott,utanför,z2
0:02:15,villa,skottyp,centralt,z2
0:02:18,iks,utkast,0,0
0:02:21,villa,närkamp,0,z5
0:02:35,villa,närkamp,0,z3
0:02:43,iks,närkamp,0,z3
0:02:53,iks,skott,räddning,z8
0:02:58,iks,skottyp,utifrån,z8
0:03:05,iks,offside,0,z8
0:03:09,villa,utkast,0,z9
0:03:22,villa,bolltapp,passförsök,z2
0:03:23,iks,utkast,0,0
0:04:05,iks,passning,lång,z8
0:04:09,villa,utkast,0,z9
0:04:27,villa,hörna,0,z3
0:05:01,villa,skott,täckt,z2
0:05:07,villa,skottyp,fast,z2
0:05:13,iks,rensning,0,0
0:05:56,villa,närkamp,0,z6
0:06:08,iks,närkamp,0,z2
0:06:15,villa,närkamp,0,z5
0:06:24,villa,närkamp,0,z2
0:06:27,villa,skott,täckt,z2
0:06:35,villa,skottyp,utifrån,z2
0:06:37,iks,rensning,0,0
0:06:55,iks,närkamp,0,z1
0:06:57,iks,frislag,0,z1
0:07:19,iks,frislag,0,z4
0:07:49,iks,skott,räddning,z8
0:07:54,iks,skottyp,utifrån,z8
0:08:02,iks,inslag,0,z9
0:08:21,iks,närkamp,0,z5
0:08:30,iks,bolltapp,passförsök,z6
0:08:43,villa,skott,utanför,z2
0:08:47,villa,skottyp,utifrån,z2
0:08:49,iks,utkast,0,z2
0:09:19,iks,närkamp,0,z6
0:09:28,villa,närkamp,0,z6
0:10:09,villa,skott,räddning,z2
0:10:13,villa,skottyp,centralt,z2
0:10:15,iks,utkast,0,0
0:10:33,villa,utkast,0,z7
0:12:15,iks,närkamp,0,z2
0:12:21,iks,rensning,0,z2
0:13:15,villa,skott,räddning,z2
0:13:21,villa,skottyp,centralt,z2
0:13:26,villa,skott,täckt,z2
0:13:29,villa,skottyp,retur,z2
0:13:33,iks,rensning,0,0
0:14:00,iks,närkamp,0,z2
0:14:30,iks,bolltapp,tappad,z6
0:14:40,iks,brytning,0,z2
0:14:58,iks,skott,täckt,z8
0:15:03,iks,skottyp,utifrån,z8
0:15:06,iks,skott,utanför,z2
0:15:09,iks,skottyp,retur,z2
0:15:12,villa,utkast,0,z9
0:15:31,villa,bolltapp,passförsök,z3
0:15:35,iks,utkast,0,z2
0:15:47,iks,närkamp,0,z5
0:16:06,iks,passning,straffområde,z8
0:16:10,iks,skott,utanför,z8
0:16:15,iks,skottyp,inlägg,z8
0:16:18,villa,utkast,0,0
0:16:58,iks,brytning,0,z5
0:17:02,villa,närkamp,0,z6
0:17:13,villa,skott,räddning,z3
