time,team,event,subevent,zone
0:00:00,eds,avslag,0,z5
0:00:14,eds,skott,räddning,z8
0:00:18,eds,skottyp,utifrån,z8
0:00:21,iks,utkast,0,0
0:00:30,iks,passning,straffområde,z2
0:00:32,eds,utkast,0,z1
0:00:47,iks,brytning,0,z8
0:01:00,iks,närkamp,0,z7
0:01:04,iks,bolltapp,tappad,z4
0:01:11,iks,närkamp,0,z6
0:01:18,eds,närkamp,0,z3
0:01:27,eds,passning,lång,z8
0:01:33,iks,rensning,0,0
0:01:39,eds,skott,täckt,z8
0:01:50,eds,skottyp,utifrån,z8
0:01:52,eds,inslag,0,z9
0:01:59,eds,passning,straffområde,z8
0:02:00,iks,utkast,0,0
0:02:26,iks,passning,straffområde,z2
0:02:29,iks,närkamp,0,z2
0:02:34,iks,skott,täckt,z2
0:02:37,iks,skottyp,utifrån,z2
0:02:49,eds,boll,0,z3
0:02:56,eds,inslag,0,z4
0:03:22,iks,utkast,0,z9
0:03:34,eds,brytning,0,z3
0:03:48,eds,mål,spelmål,z8
0:03:53,eds,skottyp,dribbling,z8
0:04:17,iks,avslag,0,z5
0:05:00,iks,närkamp,0,z6
0:05:05,eds,närkamp,0,z6
0:05:17,iks,närkamp,0,z5
0:05:32,iks,skott,räddning,z2
0:05:36,iks,skottyp,utifrån,z2
0:05:41,iks,skott,räddning,z2
0:05:44,iks,skottyp,retur,z2
0:05:47,eds,utkast,0,0
0:05:52,iks,utkast,0,z9
0:06:08,iks,passning,lång,0
0:06:11,eds,boll,0,0
0:06:30,iks,brytning,0,z8
0:06:33,eds,närkamp,0,z5
0:06:41,eds,passning,straffområde,z8
0:06:44,iks,närkamp,0,z8
0:06:48,iks,rensning,0,0
0:07:00,iks,utkast,0,z7
0:07:17,iks,passning,straffområde,z2
0:07:20,eds,utkast,0,0
0:07:33,eds,passning,straffområde,z8
0:07:35,iks,utkast,0,z7
0:07:48,iks,hörna,0,z1
0:08:19,iks,skott,utanför,z2
0:08:25,iks,skottyp,fast,z2
0:08:27,eds,utkast,0,0
0:08:33,iks,närkamp,0,z1
0:08:48,eds,inslag,0,z1
0:09:15,eds,utkast,0,z3
0:09:25,eds,närkamp,0,z5
0:10:00,iks,brytning,0,z4
0:10:13,iks,bolltapp,passförsök,z2
0:10:15,eds,utkast,0,0
0:10:22,eds,passning,lång,z8
0:10:28,iks,brytning,0,z8
0:10:44,eds,brytning,0,z6
0:11:02,iks,utkast,0,z6
0:11:05,eds,närkamp,0,z6
0:11:10,iks,närkamp,0,z8
0:11:38,iks,bolltapp,passförsök,z3
0:11:41,eds,boll,0,0
0:11:56,eds,skott,räddning,z8
0:12:00,eds,skottyp,dribbling,z8
0:12:07,eds,hörna,0,z9
0:12:24,eds,skott,utanför,z8
0:12:32,eds,skottyp,fast,z8
0:12:34,iks,utkast,0,0
0:12:41,eds,närkamp,0,z4
0:12:54,iks,närkamp,0,z7
0:13:09,eds,närkamp,0,z7
0:13:32,eds,passning,lång,z8
0:13:36,iks,närkamp,0,z8
0:13:48,iks,frislag,0,z2
0:14:04,iks,skott,utanför,z3
0:14:07,iks,skottyp,utifrån,z3
0:14:13,eds,utkast,0,z1
0:14:22,eds,passning,lång,z7
0:14:27,eds,skott,räddning,z8
0:14:33,eds,skottyp,friställande,z8
0:14:36,eds,hörna,0,z7
0:14:55,eds,skott,räddning,z8
0:14:59,eds,skottyp,fast,z8
0:15:02,eds,boll,0,0
0:15:17,iks,brytning,0,z5
0:15:28,iks,skott,räddning,z2
0:15:33,iks,skottyp,utifrån,z2
0:15:35,iks,skott,utanför,z2
0:15:38,iks,skottyp,retur,z2
0:15:40,eds,utkast,0,0
0:16:07,eds,inslag,0,z7
0:16:53,eds,frislag,0,z4
0:17:11,eds,närkamp,0,z4
0:17:15,iks,närkamp,0,z8
0:17:23,eds,närkamp,0,z5
0:17:35,iks,närkamp,0,z4
0:17:44,iks,inslag,0,z1
0:17:56,eds,närkamp,0,z1
0:17:58,eds,frislag,0,z1
0:18:02,eds,passning,lång,0
0:18:10,iks,närkamp,0,z8
0:18:22,eds,brytning,0,z6
0:18:33,eds,skott,täckt,z8
0:18:39,eds,skottyp,utifrån,z8
0:18:42,eds,hörna,0,z9
0:19:03,eds,skott,täckt,z8
0:19:08,eds,skottyp,fast,z8
0:19:13,eds,mål,hörnmål,z8
0:19:17,eds,skottyp,retur,z8
0:19:34,iks,timeout,0,0
0:21:10,iks,avslag,0,0
0:21:21,iks,passning,lång,0
