time,team,event,subevent,zone
0:00:00,fri,avslag,0,z2
0:00:12,fri,bolltapp,passförsök,z1
0:00:14,iks,hörna,0,z1
0:00:36,iks,skott,täckt,z2
0:00:41,iks,skottyp,fast,z2
0:00:45,fri,boll,0,z3
0:00:52,iks,närkamp,0,z6
0:01:05,fri,närkamp,0,z7
0:01:13,fri,frislag,0,z7
0:01:30,fri,passning,straffområde,z8
0:01:53,fri,passning,lång,z9
0:02:00,fri,skott,räddning,z8
0:02:05,fri,skottyp,utifrån,z8
0:02:07,iks,boll,0,0
0:02:18,iks,skott,täckt,z2
0:02:25,iks,skottyp,utifrån,0
0:02:34,iks,inslag,0,z1
0:02:47,iks,passning,straffområde,z2
0:02:52,fri,utkast,0,z3
0:03:27,fri,passning,lång,0
0:03:29,iks,inslag,0,z7
0:03:47,iks,skott,täckt,z2
0:03:51,iks,skottyp,utifrån,z2
0:03:53,iks,hörna,0,z1
0:04:15,iks,skott,täckt,z2
0:04:18,iks,skottyp,fast,z2
0:04:22,iks,boll,0,0
0:04:27,iks,skott,utanför,z2
0:04:30,iks,skottyp,utifrån,z2
0:04:32,fri,utkast,0,0
0:04:40,iks,närkamp,0,z6
0:04:52,iks,närkamp,0,z5
0:05:33,iks,frislag,0,z3
0:05:44,iks,skott,utanför,z2
0:05:47,iks,skottyp,fast,z2
0:05:49,fri,utkast,0,z1
0:06:12,iks,närkamp,0,z7
0:06:15,iks,inslag,0,z7
0:06:31,iks,40,0,z8
0:06:42,iks,passning,lång,z2
0:06:46,fri,utkast,0,0
0:07:04,fri,närkamp,0,z7
0:07:08,fri,frislag,0,z7
0:07:19,fri,passning,lång,z8
0:07:23,iks,utkast,0,z7
0:07:44,iks,passning,straffområde,z2
0:07:47,iks,närkamp,0,z2
0:07:52,iks,skott,räddning,z2
0:07:55,iks,skottyp,utifrån,z2
0:07:58,iks,hörna,0,z1
0:08:18,iks,skott,utanför,z2
0:08:21,iks,skottyp,fast,z2
0:08:24,fri,utkast,0,z1
0:08:56,fri,passning,lång,z5
0:09:00,iks,brytning,0,z5
0:09:16,fri,utvisning,10,z2
0:09:19,0,timeout,0,0
0:12:48,iks,frislag,0,z2
0:12:57,iks,bolltapp,passförsök,z2
0:13:01,fri,rensning,0,0
0:13:19,iks,40,0,z5
0:13:33,iks,skott,räddning,z2
0:13:37,iks,skottyp,utifrån,z2
0:13:40,fri,utkast,0,z1
0:13:48,iks,närkamp,0,z5
0:13:58,iks,passning,straffområde,z2
0:14:00,fri,närkamp,0,z2
0:14:05,fri,närkamp,0,z4
0:14:15,fri,skott,täckt,z8
0:14:20,fri,skottyp,utifrån,z8
0:14:29,iks,närkamp,0,z8
0:14:35,fri,utkast,0,z3
0:15:12,iks,brytning,0,z7
0:15:31,iks,passning,straffområde,z2
0:15:34,fri,närkamp,0,z3
0:15:49,fri,passning,farlig,z8
0:15:52,iks,utkast,0,0
0:16:07,iks,40,0,z5
0:16:22,iks,offside,0,z2
0:16:26,fri,boll,0,0
0:16:29,iks,närkamp,0,z1
0:16:49,iks,mål,spelmål,z2
0:16:56,iks,skottyp,utifrån,z2
0:17:33,fri,avslag,0,0
0:17:41,iks,närkamp,0,z3
0:18:01,iks,bolltapp,passförsök,z5
0:18:16,fri,frislag,0,z9
0:18:33,iks,närkamp,0,z8
0:18:40,iks,utkast,0,z7
0:18:55,iks,40,0,z8
0:19:16,fri,närkamp,0,z6
0:19:21,iks,närkamp,0,z6
0:19:31,iks,skott,utanför,z2
0:19:35,iks,skottyp,utifrån,z2
0:19:38,fri,utkast,0,z1
0:19:57,fri,hörna,0,z7
0:20:27,fri,skott,täckt,z8
0:20:31,fri,skottyp,fast,z8
0:20:36,fri,skott,täckt,z8
0:20:42,fri,skottyp,retur,z8
0:20:44,iks,utkast,0,0
0:20:51,iks,skott,täckt,z2
0:20:56,iks,skottyp,utifrån,z2
0:20:58,iks,inslag,0,z1
0:21:08,fri,närkamp,0,z3
0:21:14,iks,brytning,0,z6
0:21:31,iks,hörna,0,z1
0:22:02,iks,skott,täckt,z2
0:22:07,iks,skottyp,fast,z2
0:22:10,iks,mål,hörnmål,z2
0:22:19,iks,skottyp,utifrån,z2
0:22:38,fri,avslag,0,0
0:23:06,fri,skott,räddning,z8
0:23:13,fri,skottyp,dribbling,z8
0:23:16,fri,hörna,0,z9
0:23:44,fri,skott,täckt,z8
0:23:51,fri,skottyp,fast,z8
0:23:54,iks,rensning,0,0
0:24:16,iks,närkamp,0,z8
0:24:56,iks,40,0,0
0:25:18,iks,40,0,0
0:25:33,fri,närkamp,0,z2
0:25:39,fri,närkamp,0,z6
0:26:09,fri,skott,utanför,z8
0:26:14,fri,skottyp,utifrån,z8
0:26:17,iks,utkast,0,z7
0:26:31,iks,skott,utanför,z2
0:26:37,iks,skottyp,centralt,z2
0:26:40,fri,utkast,0,0
0:27:02,fri,skott,räddning,z8
0:27:06,fri,skottyp,utifrån,0
0:27:09,iks,utkast,0,0
0:27:15,fri,närkamp,0,z4
0:27:24,iks,utkast,0,z7
0:27:31,iks,40,0,0
0:27:55,fri,närkamp,0,z5
0:28:06,iks,närkamp,0,z9
0:28:13,iks,rensning,0,0
0:28:35,iks,utkast,0,z7
0:28:45,iks,40,0,0
0:28:52,iks,närkamp,0,z5
0:29:20,iks,bolltapp,tappad,z3
0:29:30,iks,närkamp,0,z8
0:29:41,iks,timeout,0,0
0:31:32,fri,inslag,0,z6
0:31:39,fri,passning,straffområde,z8
0:31:45,iks,närkamp,0,z7
0:31:50,fri,närkamp,0,z5
0:32:01,iks,närkamp,0,z8
0:32:09,fri,brytning,0,z6
0:32:23,iks,närkamp,0,z6
0:32:44,iks,skott,räddning,z2
0:32:52,iks,skottyp,dribbling,z2
0:32:56,iks,hörna,0,z1
0:33:11,iks,skott,utanför,z2
0:33:14,iks,skottyp,fast,z2
0:33:21,fri,utkast,0,z3
0:33:36,fri,närkamp,0,z6
0:33:51,iks,brytning,0,z6
0:34:08,fri,närkamp,0,z5
0:34:22,iks,närkamp,0,z7
0:34:29,iks,närkamp,0,z4
0:34:45,iks,40,0,0
0:35:03,fri,närkamp,0,z2
0:35:13,fri,frislag,0,z9
0:35:29,iks,utkast,0,z7
0:35:54,iks,40,0,0
0:36:07,iks,40,0,0
0:36:28,iks,40,0,0
0:36:41,iks,40,0,0
0:37:00,iks,40,0,0
0:37:12,iks,skott,räddning,z2
0:37:15,iks,skottyp,utifrån,z2
0:37:20,iks,mål,spelmål,z2
0:37:24,iks,skottyp,retur,z2
0:37:44,fri,timeout,0,0
0:38:59,fri,boll,0,0
0:39:14,iks,närkamp,0,z6
0:39:30,iks,40,0,0
0:40:16,iks,närkamp,0,z9
0:40:24,iks,bolltapp,passförsök,z5
0:40:28,fri,skott,räddning,z8
0:40:34,fri,skottyp,utifrån,z8
0:40:42,fri,hörna,0,z9
0:40:53,fri,skott,täckt,z8
0:40:57,fri,skottyp,fast,z8
0:41:07,fri,närkamp,0,z6
0:41:11,fri,frislag,0,z6
0:41:48,fri,passning,straffområde,z8
0:41:55,fri,skott,täckt,z8
0:42:02,fri,skottyp,inlägg,z8
0:42:05,fri,hörna,0,z9
