time,team,event,subevent,zone
0:00:00,gri,avslag,0,z8
0:00:08,gri,passning,lång,z2
0:00:10,iks,brytning,0,z2
0:00:21,iks,40,0,0
0:01:00,gri,närkamp,0,z6
0:01:44,gri,rensning,0,0
0:01:52,iks,frislag,0,z8
0:02:06,iks,passning,straffområde,z8
0:02:15,iks,närkamp,0,z8
0:02:21,iks,mål,spelmål,z8
0:02:38,iks,skottyp,utifrån,z8
0:02:51,gri,avslag,0,z8
0:03:04,gri,passning,lång,z5
0:03:08,gri,närkamp,0,z5
0:03:10,iks,utvisning,10,0
0:03:14,gri,frislag,0,z2
0:03:58,gri,skott,täckt,z2
0:04:02,gri,skottyp,fast,z2
0:04:04,gri,hörna,0,z3
0:04:34,gri,mål,hörnmål,z2
0:04:40,gri,skottyp,fast,z2
0:05:00,iks,avslag,0,0
0:05:24,iks,40,0,0
0:05:36,iks,40,0,z2
0:06:04,gri,närkamp,0,z5
0:06:13,gri,passning,lång,z2
0:06:17,iks,utkast,0,z1
0:06:25,iks,närkamp,0,z5
0:06:34,iks,frislag,0,z4
0:07:21,gri,närkamp,0,z8
0:07:26,gri,frislag,0,z4
0:07:59,iks,närkamp,0,z6
0:08:08,gri,brytning,0,z5
0:08:19,gri,mål,spelmål,z2
0:08:26,gri,skottyp,centralt,z2
0:08:46,iks,avslag,0,z2
0:08:57,iks,40,0,z2
0:09:15,iks,närkamp,0,z2
0:09:39,iks,frislag,0,z6
0:09:41,0,timeout,0,0
0:10:20,iks,boll,0,0
0:10:33,iks,40,0,z2
0:10:43,gri,närkamp,0,z4
0:10:57,gri,bolltapp,passförsök,z1
0:10:59,iks,utkast,0,z3
0:11:21,iks,40,0,z2
0:11:40,gri,närkamp,0,z7
0:11:49,iks,närkamp,0,z5
0:12:10,gri,närkamp,0,z6
0:12:42,gri,passning,lång,z2
0:12:44,iks,utkast,0,z2
0:13:06,gri,utvisning,10,0
0:13:30,iks,frislag,0,z6
0:14:01,iks,hörna,0,z9
0:14:26,iks,mål,hörnmål,z8
0:14:35,iks,skottyp,fast,z8
0:14:59,gri,avslag,0,0
0:15:32,gri,bolltapp,passförsök,0
0:15:39,iks,passning,lång,z8
0:15:42,iks,hörna,0,z9
0:16:09,iks,skott,täckt,z2
0:16:15,iks,skottyp,fast,z8
0:16:20,iks,skott,räddning,z8
0:16:23,iks,skottyp,utifrån,z8
0:16:25,gri,utkast,0,0
0:16:36,iks,utkast,0,z3
0:16:58,iks,närkamp,0,z4
0:17:04,gri,bolltapp,passförsök,z7
0:17:15,gri,passning,lång,z2
0:17:17,gri,hörna,0,z3
0:17:48,gri,skott,täckt,z2
0:17:53,gri,skottyp,fast,z2
0:17:57,gri,skott,täckt,z2
0:18:00,gri,skottyp,retur,z2
0:18:05,iks,rensning,0,0
0:18:14,gri,passning,lång,z2
0:18:16,iks,utkast,0,z2
0:18:28,iks,40,0,z2
0:18:47,iks,passning,straffområde,z8
0:19:01,gri,utkast,0,z7
0:19:08,iks,närkamp,0,z7
0:19:20,iks,bolltapp,passförsök,z7
0:19:22,gri,utkast,0,0
0:19:29,iks,brytning,0,z8
0:19:36,iks,mål,spelmål,z8
0:19:50,iks,skottyp,centralt,z8
0:20:00,gri,avslag,0,0
0:20:44,iks,närkamp,0,z9
0:20:53,iks,skott,räddning,z8
0:20:56,iks,skottyp,utifrån,z8
0:21:06,gri,utkast,0,z6
0:21:11,iks,brytning,0,z6
0:21:19,gri,närkamp,0,z6
0:21:34,gri,skott,utanför,z2
0:21:38,gri,skottyp,dribbling,z2
0:21:41,iks,utkast,0,z3
0:22:03,iks,40,0,z2
0:22:14,iks,40,0,z2
0:22:34,iks,skott,täckt,z2
0:22:40,iks,skottyp,centralt,z8
0:22:47,iks,hörna,0,z9
0:23:05,iks,boll,0,0
0:23:12,iks,40,0,0
0:23:30,iks,närkamp,0,z9
0:23:43,gri,närkamp,0,z9
0:24:17,gri,passning,lång,0
0:24:19,gri,offside,0,0
0:24:37,iks,passning,lång,z8
