time,team,event,subevent,zone
0:00:00,iks,avslag,0,0
0:00:01,0,timeout,0,0
0:01:05,iks,hörna,0,0
0:01:05,iks,skott,täckt,z2
0:01:10,iks,skottyp,fast,z2
0:01:11,0,timeout,0,z2
0:04:37,iks,boll,0,0
0:04:45,mot,brytning,0,z5
0:04:50,iks,boll,0,0
0:05:04,mot,närkamp,0,z9
0:05:19,iks,utkast,0,z3
0:05:35,iks,40,0,0
0:05:56,mot,närkamp,0,z9
0:06:07,mot,hörna,0,z3
0:06:40,mot,skott,täckt,z2
0:06:43,mot,skottyp,fast,z2
0:06:45,iks,utkast,0,z1
0:07:10,iks,skott,täckt,z7
0:07:14,iks,skottyp,utifrån,z7
0:07:19,iks,40,0,0
0:07:48,iks,närkamp,0,z5
0:07:52,iks,40,0,0
0:08:14,iks,frislag,0,z8
0:08:37,iks,40,0,0
0:09:08,mot,utkast,0,z9
0:09:45,iks,närkamp,0,z4
0:10:07,iks,40,0,0
0:10:15,iks,bolltapp,passförsök,z3
0:10:24,mot,skott,räddning,z2
0:10:28,mot,skottyp,utifrån,z2
0:10:29,iks,utkast,0,0
0:10:53,mot,närkamp,0,z4
0:11:19,iks,närkamp,0,z2
0:11:36,iks,skott,täckt,z8
0:11:40,iks,skottyp,utifrån,z8
0:11:42,mot,boll,0,0
0:11:55,mot,passning,lång,z2
0:12:00,0,timeout,0,0
0:12:25,iks,utkast,0,z3
0:12:49,iks,skott,täckt,z7
0:12:53,iks,skottyp,utifrån,z7
0:12:59,iks,hörna,0,z9
0:13:19,iks,mål,hörnmål,z8
0:13:25,iks,skottyp,fast,z8
0:13:48,mot,avslag,0,0
0:14:16,mot,frislag,0,z3
0:14:44,mot,passning,straffområde,z2
0:14:52,iks,rensning,0,0
0:15:46,mot,skott,räddning,z2
0:15:50,mot,skottyp,centralt,z2
0:15:52,mot,hörna,0,z3
0:16:16,mot,skott,utanför,z2
0:16:19,mot,skottyp,fast,z2
0:16:21,iks,utkast,0,z1
0:17:00,mot,brytning,0,z8
0:17:08,iks,närkamp,0,z5
0:17:21,iks,närkamp,0,z3
0:17:27,mot,brytning,0,z8
0:17:35,iks,närkamp,0,z6
0:17:37,iks,40,0,0
0:18:18,iks,40,0,0
0:18:52,mot,närkamp,0,z6
0:19:04,mot,skott,räddning,z2
0:19:07,mot,skottyp,utifrån,z2
0:19:09,iks,utkast,0,z2
0:19:26,iks,skott,utanför,z8
0:19:29,iks,skottyp,utifrån,z8
0:19:32,mot,utkast,0,0
0:20:05,iks,brytning,0,z2
0:20:13,mot,brytning,0,z4
0:20:34,mot,passning,farlig,z2
0:20:41,mot,skott,utanför,z2
0:20:44,mot,skottyp,centralt,z2
0:20:46,iks,utkast,0,z3
0:21:06,mot,närkamp,0,z6
0:21:20,iks,närkamp,0,z3
0:21:49,mot,närkamp,0,z9
0:21:54,iks,närkamp,0,z6
