time,team,event,subevent,zone
0:00:00,saik,avslag,0,z5
0:00:22,iks,närkamp,0,z1
0:00:34,iks,40,0,0
0:00:48,iks,40,0,0
0:00:54,iks,passning,lång,z6
0:01:08,saik,utkast,0,0
0:01:38,saik,bolltapp,tappad,z4
0:01:50,iks,hörna,0,z7
0:02:21,iks,skott,utanför,z8
0:02:25,iks,skottyp,fast,z8
0:02:27,saik,utkast,0,0
0:02:45,saik,närkamp,0,z6
0:03:14,saik,hörna,0,z1
0:03:44,saik,skott,utanför,z2
0:03:46,saik,skottyp,fast,z2
0:03:49,iks,utkast,0,z3
0:04:04,iks,passning,lång,z8
0:04:08,iks,närkamp,0,z8
0:04:15,saik,närkamp,0,z8
0:04:32,saik,hörna,0,z1
0:04:56,saik,mål,hörnmål,z2
0:05:00,saik,skottyp,fast,0
0:05:22,iks,avslag,0,0
0:05:57,iks,passning,lång,z8
0:06:00,iks,närkamp,0,z6
0:06:17,saik,brytning,0,z5
0:06:35,saik,passning,straffområde,z2
0:06:37,iks,utkast,0,z1
0:07:03,iks,skott,utanför,z8
0:07:06,iks,skottyp,utifrån,z8
0:07:08,saik,utkast,0,0
0:07:17,iks,närkamp,0,z2
0:07:31,saik,utkast,0,0
0:08:01,saik,passning,straffområde,z2
0:08:04,saik,närkamp,0,z2
0:08:09,saik,skott,räddning,0
0:08:19,saik,skottyp,inlägg,z2
0:08:22,iks,boll,0,0
0:09:05,saik,brytning,0,z8
0:09:20,saik,hörna,0,z1
0:09:49,saik,skott,utanför,z2
0:09:52,saik,skottyp,fast,z2
0:09:54,iks,utkast,0,z1
0:10:23,iks,frislag,0,z9
0:10:49,iks,skott,täckt,z9
0:10:55,iks,skottyp,utifrån,z9
0:11:01,iks,hörna,0,z9
0:11:20,iks,skott,täckt,z8
0:11:25,iks,skottyp,fast,z8
0:11:28,iks,skott,räddning,z8
0:11:31,iks,skottyp,retur,z8
0:11:33,saik,utkast,0,0
0:11:40,iks,utkast,0,z3
0:11:49,iks,närkamp,0,z5
0:11:59,saik,närkamp,0,z9
0:12:05,iks,närkamp,0,z6
0:12:33,saik,närkamp,0,z8
0:12:42,iks,brytning,0,z5
0:13:34,iks,passning,farlig,z8
0:13:45,saik,utkast,0,z7
0:14:13,saik,närkamp,0,z5
0:14:32,iks,utkast,0,z1
0:14:52,iks,frislag,0,z6
0:15:31,saik,närkamp,0,z8
0:15:37,iks,utvisning,10,0
0:16:03,saik,frislag,0,0
0:16:16,saik,skott,räddning,z2
0:16:19,saik,skottyp,utifrån,z2
0:16:25,iks,utkast,0,z3
0:16:59,iks,40,0,0
0:17:14,saik,utkast,0,z9
0:17:51,iks,utkast,0,z3
0:18:10,iks,40,0,0
0:18:39,iks,närkamp,0,z5
0:19:13,iks,skott,utanför,z8
0:19:18,iks,skottyp,utifrån,z8
0:19:19,saik,utkast,0,0
0:19:25,saik,passning,lång,0
0:19:28,iks,utkast,0,z2
0:19:49,iks,hörna,0,z7
0:20:22,iks,skott,räddning,z8
0:20:26,iks,skottyp,fast,z8
0:20:28,saik,utkast,0,0
0:20:41,iks,boll,0,0
0:20:45,saik,närkamp,0,z6
0:20:48,iks,närkamp,0,z6
0:21:24,saik,närkamp,0,z8
0:21:30,iks,närkamp,0,z7
0:21:40,saik,utkast,0,0
0:21:59,saik,hörna,0,z1
0:22:27,saik,mål,hörnmål,z2
0:22:31,saik,skottyp,fast,z2
0:22:53,iks,avslag,0,0
0:23:11,iks,40,0,0
0:23:31,saik,utkast,0,z9
0:23:48,saik,passning,straffområde,z2
0:23:52,iks,närkamp,0,z2
0:23:55,iks,rensning,0,0
0:24:10,iks,närkamp,0,z3
0:24:26,saik,boll,0,0
0:24:50,saik,hörna,0,z1
0:25:22,saik,mål,hörnmål,z2
0:25:29,saik,skottyp,fast,z2
0:25:46,iks,avslag,0,0
0:26:03,saik,brytning,0,z4
0:26:27,saik,skott,räddning,z2
0:26:32,saik,skottyp,centralt,z2
0:26:34,saik,hörna,0,z3
0:26:56,saik,skott,utanför,z2
0:26:59,saik,skottyp,fast,z2
0:27:01,iks,utkast,0,z3
0:27:58,saik,närkamp,0,z3
0:28:01,saik,inslag,0,z3
0:28:35,saik,frislag,0,z2
0:28:45,0,timeout,0,0
0:28:51,saik,boll,0,0
0:28:59,saik,bolltapp,passförsök,z2
0:29:05,iks,mål,spelmål,z2
0:29:14,iks,skottyp,centralt,z2
0:29:47,saik,avslag,0,0
0:30:09,saik,skott,utanför,z2
0:30:14,saik,skottyp,centralt,z2
0:30:16,iks,utkast,0,0
0:30:40,iks,40,0,0
0:31:01,iks,närkamp,0,z7
0:31:03,saik,utkast,0,0
0:31:35,iks,brytning,0,z2
0:31:54,saik,närkamp,0,z7
0:32:12,saik,skott,täckt,z2
0:32:17,saik,skottyp,utifrån,z2
0:32:19,iks,boll,0,0
0:32:40,iks,hörna,0,z9
0:33:13,iks,skott,utanför,z8
0:33:17,iks,skottyp,fast,z8
0:33:19,saik,utkast,0,0
0:33:35,iks,närkamp,0,z2
0:33:52,iks,bolltapp,passförsök,z4
0:34:00,iks,närkamp,0,z6
0:34:11,iks,skott,utanför,z8
0:34:16,iks,skottyp,utifrån,z8
0:34:19,saik,utkast,0,0
0:34:44,saik,skott,utanför,z2
0:34:49,saik,skottyp,dribbling,z2
0:34:53,iks,utkast,0,z1
0:35:21,iks,40,0,0
0:35:46,saik,närkamp,0,z5
0:35:56,iks,brytning,0,z2
0:36:09,saik,närkamp,0,z7
0:37:19,iks,närkamp,0,z5
0:37:37,iks,passning,straffområde,z8
0:37:40,saik,utkast,0,0
0:38:00,saik,skott,räddning,z2
0:38:05,saik,skottyp,centralt,z2
0:38:13,saik,mål,spelmål,z2
0:38:18,saik,skottyp,retur,z2
0:38:31,iks,avslag,0,0
0:39:03,iks,40,0,0
