time,team,event,subevent,zone
0:00:00,bro,avslag,0,z5
0:00:29,iks,närkamp,0,z5
0:00:44,bro,närkamp,0,z8
0:00:53,iks,närkamp,0,z6
0:01:05,iks,40,0,0
0:01:18,iks,40,0,0
0:01:51,iks,40,0,0
0:02:07,iks,40,0,0
0:02:22,bro,närkamp,0,z9
0:02:39,bro,bolltapp,passförsök,z4
0:02:47,bro,närkamp,0,z8
0:02:50,iks,brytning,0,z5
0:03:01,bro,närkamp,0,z9
0:03:36,bro,passning,straffområde,z2
0:03:40,bro,mål,spelmål,z2
0:03:47,bro,skottyp,inlägg,z2
0:04:01,iks,avslag,0,0
0:04:10,bro,närkamp,0,z6
0:04:29,bro,skott,räddning,z2
0:04:32,bro,skottyp,utifrån,z2
0:04:34,bro,hörna,0,z1
0:04:58,bro,skott,täckt,z2
0:05:02,bro,skottyp,fast,z2
0:05:05,iks,utkast,0,z3
0:05:21,iks,frislag,0,z8
0:05:31,iks,skott,täckt,z8
0:05:34,iks,skottyp,fast,z8
0:05:37,iks,boll,0,0
0:05:46,bro,närkamp,0,z5
0:05:52,iks,närkamp,0,z4
0:06:09,iks,bolltapp,passförsök,z9
0:06:21,bro,frislag,0,z3
0:06:48,bro,passning,lång,z2
0:06:50,iks,utkast,0,z2
0:07:07,bro,närkamp,0,z8
0:07:11,bro,rensning,0,0
0:07:14,iks,40,0,0
0:07:33,iks,hörna,0,z7
0:08:07,iks,skott,utanför,z8
0:08:10,iks,skottyp,fast,z8
0:08:13,bro,utkast,0,0
0:08:29,bro,hörna,0,z3
0:09:07,bro,skott,utanför,z2
0:09:10,bro,skottyp,fast,z2
0:09:12,iks,utkast,0,0
0:09:24,iks,passning,lång,z8
0:09:27,iks,hörna,0,z9
0:09:57,iks,skott,täckt,z8
0:10:00,iks,skottyp,fast,z8
0:10:04,iks,skott,täckt,z8
0:10:07,iks,skottyp,retur,z8
0:10:08,iks,boll,0,0
0:10:18,iks,skott,utanför,z8
0:10:21,iks,skottyp,utifrån,z8
0:10:23,bro,utkast,0,0
0:10:33,iks,brytning,0,z6
0:10:40,iks,skott,räddning,z8
0:10:43,iks,skottyp,utifrån,z8
0:10:45,bro,utkast,0,0
0:10:52,bro,passning,lång,z2
0:10:59,bro,närkamp,0,z5
0:11:21,iks,närkamp,0,z2
0:11:44,iks,hörna,0,z7
0:12:08,iks,skott,utanför,z8
0:12:11,iks,skottyp,fast,z8
0:12:12,bro,utkast,0,0
0:13:06,bro,hörna,0,z3
0:13:34,bro,skott,utanför,z2
0:13:38,bro,skottyp,fast,z2
0:13:39,iks,utkast,0,z3
0:13:48,iks,passning,lång,z8
0:13:53,bro,rensning,0,0
0:13:58,iks,inslag,0,z7
0:14:15,bro,närkamp,0,z5
0:14:28,iks,närkamp,0,z2
0:15:11,iks,skott,räddning,z8
0:15:14,iks,skottyp,utifrån,z8
0:15:16,bro,utkast,0,0
0:15:33,bro,skott,utanför,z2
0:15:36,bro,skottyp,utifrån,z2
0:15:40,iks,utkast,0,z1
0:15:58,iks,passning,farlig,z8
0:16:03,iks,skott,utanför,z8
0:16:08,iks,skottyp,friställande,z8
0:16:09,bro,utkast,0,0
0:16:18,bro,frislag,0,z3
0:16:22,iks,timeout,0,0
0:18:02,bro,boll,0,0
0:18:21,iks,närkamp,0,z5
0:18:32,bro,brytning,0,z9
0:19:45,bro,bolltapp,passförsök,z1
0:19:49,iks,utkast,0,0
0:19:55,iks,passning,lång,z7
0:20:00,iks,passning,straffområde,z8
