time,team,event,subevent,zone
0:00:00,iks,avslag,0,z2
0:00:05,iks,40,0,0
0:00:14,bol,närkamp,0,z5
0:00:20,iks,närkamp,0,z4
0:00:22,iks,inslag,0,z4
0:00:34,iks,passning,farlig,z8
0:00:37,iks,skott,räddning,z8
0:00:41,iks,skottyp,centralt,z8
0:00:44,iks,hörna,0,z7
0:01:05,iks,mål,hörnmål,z8
0:01:09,iks,skottyp,fast,z8
0:01:30,bol,avslag,0,0
0:01:45,iks,brytning,0,z5
0:01:57,iks,passning,straffområde,z8
0:02:01,iks,skott,täckt,z8
0:02:11,iks,skottyp,inlägg,z8
0:02:16,iks,hörna,0,z9
0:02:26,iks,skott,täckt,z8
0:02:29,iks,skottyp,fast,z8
0:02:36,bol,utkast,0,z7
0:03:10,bol,frislag,0,z3
0:03:44,iks,utkast,0,z3
0:03:55,iks,bolltapp,tappad,z5
0:03:58,iks,närkamp,0,z1
0:04:22,iks,passning,lång,z8
0:04:24,iks,offside,0,0
0:04:27,bol,boll,0,0
0:04:42,iks,närkamp,0,z1
0:05:09,iks,passning,straffområde,z8
0:05:13,iks,skott,utanför,z8
0:05:20,iks,skottyp,utifrån,z8
0:05:21,bol,utkast,0,0
0:05:32,iks,närkamp,0,z1
0:05:38,iks,utkast,0,z2
0:05:46,bol,brytning,0,z8
0:05:59,bol,inslag,0,z6
0:06:07,bol,passning,straffområde,0
0:06:16,iks,boll,0,0
0:06:19,bol,närkamp,0,z5
0:06:44,iks,brytning,0,z3
0:06:54,iks,passning,farlig,z7
0:07:04,iks,mål,spelmål,z8
0:07:09,iks,skottyp,utifrån,z8
0:07:29,bol,avslag,0,0
0:08:26,bol,passning,lång,z2
0:08:27,iks,utkast,0,z3
0:08:39,iks,närkamp,0,z7
0:08:47,iks,hörna,0,z7
0:09:14,iks,skott,utanför,z8
0:09:17,iks,skottyp,fast,z8
0:09:23,bol,utkast,0,0
0:09:44,iks,närkamp,0,z6
0:09:46,bol,närkamp,0,z6
0:09:55,bol,frislag,0,z4
0:10:12,iks,närkamp,0,z2
0:10:27,bol,närkamp,0,z6
0:11:08,bol,inslag,0,z6
0:11:57,iks,brytning,0,z6
0:12:04,bol,närkamp,0,z3
0:12:14,bol,passning,straffområde,z2
0:12:16,bol,hörna,0,z3
0:12:38,bol,skott,täckt,z2
0:12:42,bol,skottyp,fast,z2
0:12:46,bol,skott,täckt,z2
0:12:50,bol,skottyp,retur,z2
0:12:54,iks,utkast,0,0
0:13:03,bol,närkamp,0,z1
0:13:07,iks,närkamp,0,z5
0:13:14,iks,skott,räddning,z8
0:13:18,iks,skottyp,dribbling,z8
0:13:25,iks,hörna,0,z9
0:13:44,iks,skott,täckt,z8
0:13:47,iks,skottyp,fast,z8
0:13:52,iks,skott,utanför,z8
0:13:58,iks,skottyp,retur,z8
0:14:00,bol,utkast,0,0
0:14:20,bol,skott,täckt,z2
0:14:23,bol,skottyp,utifrån,z2
