time,team,event,subevent,zone
0:00:00,ham,avslag,0,z2
0:00:14,ham,anfall,0,0
0:00:26,ham,passning,lång,z8
0:00:31,ham,skott,räddning,z8
0:00:34,ham,skottyp,utifrån,0
0:00:37,iks,boll,0,0
0:00:43,iks,passning,straffområde,z2
0:00:48,iks,mål,spelmål,z2
0:00:53,iks,skottyp,inlägg,z2
0:01:13,ham,avslag,0,0
0:01:25,iks,utkast,0,0
0:01:35,iks,passning,lång,z2
0:01:45,ham,utkast,0,z1
0:02:19,ham,skott,täckt,z9
0:02:26,ham,skottyp,utifrån,0
0:02:29,iks,boll,0,0
0:02:32,ham,närkamp,0,z6
0:02:48,0,timeout,0,0
0:03:07,ham,frislag,0,z6
0:03:35,ham,anfall,0,0
0:03:55,iks,närkamp,0,z1
0:04:00,iks,passning,straffområde,z2
0:04:03,ham,närkamp,0,z2
0:04:05,iks,närkamp,0,z1
0:04:12,iks,närkamp,0,z4
0:04:15,iks,inslag,0,z4
0:04:43,iks,40,0,0
0:04:56,iks,bolltapp,passförsök,z5
0:05:01,ham,hörna,0,z9
0:05:22,ham,skott,utanför,z8
0:05:28,ham,skottyp,fast,z8
0:05:32,iks,utkast,0,z9
0:05:56,iks,passning,lång,z5
0:06:00,ham,boll,0,0
0:06:10,ham,hörna,0,z7
0:06:44,ham,skott,utanför,z8
0:06:47,ham,skottyp,fast,z8
0:06:49,iks,utkast,0,z9
0:07:10,iks,40,0,0
0:07:17,iks,bolltapp,tappad,z9
0:07:22,ham,frislag,0,z9
0:07:31,iks,0,0,z6
0:07:42,iks,passning,farlig,z2
0:07:46,iks,mål,spelmål,z2
0:08:00,iks,skottyp,friställande,z2
0:08:13,ham,avslag,0,0
0:08:21,iks,närkamp,0,z5
0:08:24,ham,närkamp,0,z5
0:09:09,ham,passning,lång,z8
0:09:13,iks,närkamp,0,z8
0:09:18,iks,utkast,0,z8
0:09:35,iks,skott,täckt,z2
0:09:40,iks,skottyp,utifrån,z2
0:09:44,ham,boll,0,0
0:09:46,iks,närkamp,0,z6
0:09:51,iks,skott,utanför,z2
0:09:54,iks,skottyp,utifrån,z2
0:09:56,ham,utkast,0,0
0:10:23,ham,skott,räddning,z5
0:10:31,ham,skottyp,utifrån,z5
0:10:35,iks,utkast,0,0
0:10:40,iks,hörna,0,z1
0:11:18,iks,mål,hörnmål,z2
0:11:24,iks,skottyp,fast,z2
0:11:49,ham,timeout,0,0
0:13:17,ham,avslag,0,0
0:13:24,ham,närkamp,0,z6
0:13:29,iks,närkamp,0,z9
0:13:34,iks,utkast,0,z9
0:14:09,iks,passning,lång,0
0:14:13,ham,boll,0,0
0:15:48,iks,närkamp,0,z5
0:15:59,iks,offside,0,z2
0:16:11,ham,passning,lång,0
0:16:13,iks,boll,0,z7
0:16:28,iks,skott,täckt,z2
0:16:31,iks,skottyp,utifrån,z2
0:16:37,ham,frislag,0,z1
0:17:29,ham,skott,räddning,z8
0:17:34,ham,skottyp,utifrån,z8
0:17:36,iks,utkast,0,z7
0:17:45,iks,passning,farlig,z2
0:17:47,iks,friläge,0,z2
0:17:54,iks,mål,spelmål,z2
0:18:00,iks,skottyp,friställande,z2
0:18:18,ham,avslag,0,0
0:18:35,ham,närkamp,0,z5
0:18:51,iks,närkamp,0,z7
0:19:28,iks,passning,straffområde,z2
0:19:32,ham,brytning,0,z2
0:21:02,ham,passning,farlig,z8
0:21:08,ham,skott,utanför,z8
0:21:20,ham,skottyp,centralt,z2
0:21:23,iks,utkast,0,0
0:21:37,iks,passning,straffområde,z2
0:21:41,iks,hörna,0,z1
0:22:10,iks,mål,hörnmål,z2
0:22:14,iks,skottyp,fast,z2
0:22:39,ham,avslag,0,0
0:22:47,ham,passning,lång,0
0:22:49,iks,boll,0,0
0:22:58,ham,utvisning,10,0
0:24:19,ham,utvisning,10,0
0:25:02,iks,frislag,0,z1
0:26:01,iks,passning,straffområde,z2
0:26:03,ham,närkamp,0,z2
0:26:07,iks,närkamp,0,z4
0:26:15,iks,skott,utanför,z2
0:26:18,iks,skottyp,utifrån,z2
0:26:20,ham,utkast,0,0
0:26:48,ham,närkamp,0,z1
0:27:00,iks,närkamp,0,z5
0:27:13,iks,passning,straffområde,z2
0:27:17,ham,närkamp,0,z2
0:27:31,ham,frislag,0,z9
0:27:55,iks,brytning,0,z7
0:28:07,iks,skott,utanför,z2
0:28:11,iks,skottyp,utifrån,z2
0:28:16,ham,utkast,0,0
0:28:47,iks,närkamp,0,z5
0:29:03,iks,hörna,0,z1
0:29:34,iks,mål,hörnmål,z2
0:29:40,iks,skottyp,fast,z2
0:30:00,ham,avslag,0,0
0:30:24,iks,brytning,0,z5
0:30:35,iks,närkamp,0,z6
0:30:39,ham,närkamp,0,z3
0:30:45,iks,närkamp,0,z6
0:31:01,iks,skott,täckt,z2
0:31:04,iks,skottyp,utifrån,z2
0:31:06,ham,boll,0,0
0:31:13,iks,närkamp,0,z8
0:31:25,iks,skott,utanför,z2
0:31:29,iks,skottyp,utifrån,z2
0:31:31,ham,utkast,0,0
0:31:56,ham,passning,straffområde,z8
0:31:58,iks,närkamp,0,z8
0:32:04,iks,passning,lång,z2
0:32:14,ham,utkast,0,0
0:32:32,ham,närkamp,0,z4
0:32:54,ham,passning,lång,z8
0:32:58,iks,utkast,0,0
0:33:11,iks,40,0,0
0:33:16,iks,40,0,0
0:33:24,iks,passning,lång,z2
0:33:38,ham,utkast,0,0
0:33:59,ham,närkamp,0,z9
0:34:26,ham,passning,lång,0
0:34:29,iks,brytning,0,z6
0:34:35,ham,närkamp,0,z6
0:35:13,ham,passning,lång,0
0:35:20,iks,utkast,0,z7
0:36:02,iks,40,0,0
0:36:08,iks,passning,lång,z3
0:36:12,iks,närkamp,0,z3
0:36:18,iks,40,0,0
0:36:35,iks,passning,straffområde,z2
0:36:42,iks,skott,täckt,z2
0:36:45,iks,skottyp,inlägg,z2
0:36:48,ham,närkamp,0,z2
0:36:53,0,timeout,0,0
0:37:56,iks,boll,0,0
0:38:00,iks,utkast,0,z9
0:38:34,iks,skott,utanför,z2
0:38:39,iks,skottyp,utifrån,z2
0:38:41,ham,utkast,0,0
0:38:49,iks,närkamp,0,z7
0:39:01,iks,passning,lång,z2
0:39:11,ham,utkast,0,0
0:39:19,ham,passning,lång,0
0:39:22,iks,närkamp,0,z8
0:39:29,ham,närkamp,0,z2
0:39:36,iks,brytning,0,z5
0:39:40,iks,40,0,0
0:40:13,ham,närkamp,0,z2
0:40:24,ham,frislag,0,z1
0:40:34,iks,närkamp,0,z7
0:40:45,ham,närkamp,0,z5
0:40:52,iks,närkamp,0,z9
0:41:02,ham,utvisning,10,0
0:41:37,iks,frislag,0,z7
0:41:49,iks,passning,straffområde,z2
0:42:15,iks,närkamp,0,z5
0:42:21,iks,passning,straffområde,z2
0:42:26,iks,skott,räddning,z2
0:42:29,iks,skottyp,inlägg,z2
0:42:39,iks,skott,täckt,z2
0:42:44,iks,skottyp,utifrån,z2
0:42:46,ham,närkamp,0,z2
0:42:52,ham,passning,lång,0
0:42:54,iks,boll,0,0
0:43:07,iks,skott,täckt,z2
0:43:12,iks,skottyp,utifrån,z2
0:43:17,iks,skott,täckt,z2
0:43:19,iks,skottyp,retur,z2
0:43:24,iks,skott,täckt,z2
0:43:27,iks,skottyp,retur,z2
0:43:38,ham,boll,0,0
0:44:01,ham,hörna,0,z7
0:44:33,ham,skott,täckt,z8
0:44:43,ham,skottyp,fast,z8
0:44:47,iks,rensning,0,0
0:44:57,ham,passning,lång,z8
0:45:01,iks,utkast,0,z7
0:45:08,iks,passning,lång,0
0:45:11,iks,offside,0,0
0:45:17,ham,utkast,0,0
0:45:35,ham,passning,lång,0
0:45:40,iks,närkamp,0,z8
0:45:46,iks,utkast,0,z7
0:45:55,ham,närkamp,0,z2
0:46:03,ham,frislag,0,z1
0:46:13,ham,passning,lång,0
0:46:23,iks,utkast,0,z4
0:46:39,iks,passning,straffområde,z2
0:46:44,iks,mål,spelmål,z2
0:46:48,iks,skottyp,inlägg,z2
0:47:09,ham,avslag,0,0
0:47:20,ham,passning,lång,0
0:47:24,ham,närkamp,0,z8
0:47:29,iks,närkamp,0,z7
0:47:39,ham,närkamp,0,z5
0:47:47,iks,närkamp,0,z8
0:47:54,iks,närkamp,0,z4
0:48:01,iks,skott,täckt,z2
0:48:06,iks,skottyp,utifrån,z2
0:48:07,iks,hörna,0,z1
0:48:31,iks,skott,utanför,z2
0:48:34,iks,skottyp,fast,z2
0:48:37,ham,utkast,0,0
0:48:48,ham,närkamp,0,z6
0:48:54,iks,närkamp,0,z9
0:48:59,iks,rensning,0,0
0:49:04,0,stop,0,0
