time,team,event,subevent,zone
0:00:00,iks,avslag,0,z8
0:00:21,mot,närkamp,0,z1
0:00:28,iks,närkamp,0,z1
0:00:54,iks,passning,straffområde,z2
0:00:57,iks,40,0,0
0:01:30,mot,närkamp,0,z3
0:02:21,iks,närkamp,0,z4
0:02:24,iks,frislag,0,z4
0:02:58,iks,närkamp,0,z5
0:03:13,iks,40,0,0
0:03:41,iks,bolltapp,tappad,z6
0:03:46,iks,utvisning,10,0
0:04:16,mot,frislag,0,z6
0:05:40,mot,passning,lång,z8
0:05:43,iks,närkamp,0,z9
0:06:10,mot,brytning,0,z2
0:06:31,iks,närkamp,0,z4
0:06:36,mot,närkamp,0,z4
0:06:39,iks,närkamp,0,z4
0:07:00,iks,hörna,0,z1
0:07:33,iks,boll,0,0
0:07:45,iks,40,0,0
0:07:55,iks,skott,täckt,z2
0:07:59,iks,skottyp,utifrån,z2
0:08:05,mot,boll,0,z2
0:08:10,mot,passning,lång,z7
0:08:13,iks,utkast,0,z8
0:08:29,iks,skott,utanför,z2
0:08:34,iks,skottyp,utifrån,z2
0:08:35,mot,utkast,0,0
0:08:56,mot,passning,lång,z8
0:08:58,iks,boll,0,0
0:09:24,iks,40,0,0
0:10:07,iks,mål,spelmål,z2
0:10:25,iks,skottyp,centralt,z2
0:10:27,mot,avslag,0,0
0:11:10,iks,närkamp,0,z6
0:11:22,mot,utkast,0,z1
0:11:41,iks,närkamp,0,z5
0:11:49,iks,passning,lång,z2
0:12:05,mot,utkast,0,z3
0:12:14,iks,närkamp,0,z7
0:12:33,iks,skott,utanför,z5
0:12:36,iks,skottyp,utifrån,z5
0:12:40,mot,utkast,0,z3
0:13:00,iks,utkast,0,z7
0:13:21,mot,utkast,0,z1
0:13:26,mot,närkamp,0,z1
0:13:52,iks,närkamp,0,z5
0:14:16,iks,bolltapp,tappad,z4
0:14:19,iks,närkamp,0,z4
0:14:31,iks,skott,utanför,z2
0:14:34,iks,skottyp,utifrån,z2
0:14:36,mot,utkast,0,0
0:14:55,mot,passning,lång,z8
0:14:59,mot,skott,utanför,z8
0:15:05,mot,skottyp,utifrån,z8
0:15:06,iks,utkast,0,0
0:15:49,iks,passning,lång,0
0:15:52,mot,inslag,0,z3
0:16:14,mot,närkamp,0,z9
0:16:23,iks,brytning,0,z8
0:16:38,iks,passning,straffområde,z8
