time,team,event,subevent,zone
0:00:00,broberg,avslag,0,z5
0:00:46,broberg,passning,lång,z1
0:00:49,broberg,passning,straffområde,z2
0:00:52,broberg,närkamp,0,z2
0:01:00,sirius,närkamp,0,z1
0:01:15,sirius,passning,lång,z8
0:01:19,broberg,utkast,0,z9
0:01:48,broberg,frislag,0,z3
0:01:56,0,timeout,0,0
0:02:22,broberg,passning,straffområde,z2
0:02:30,0,timeout,0,0
0:03:28,sirius,utkast,0,0
0:03:51,sirius,40,0,0
0:04:00,sirius,passning,lång,z7
0:04:06,broberg,utkast,0,z7
0:04:26,sirius,brytning,0,z2
0:04:41,sirius,hörna,0,z9
0:05:23,sirius,mål,hörnmål,z8
0:05:27,sirius,skottyp,fast,z8
0:05:50,broberg,avslag,0,0
0:06:09,sirius,närkamp,0,z1
0:06:11,sirius,utkast,0,z2
0:06:33,sirius,passning,lång,z7
0:06:38,sirius,passning,straffområde,z8
0:06:42,broberg,utkast,0,z9
0:06:48,broberg,frislag,0,z6
0:07:55,sirius,utvisning,10,0
0:08:23,broberg,frislag,0,z5
0:08:38,broberg,passning,lång,z2
0:08:40,sirius,brytning,0,z2
0:08:55,sirius,40,0,0
0:09:15,broberg,närkamp,0,z3
0:09:19,broberg,skott,räddning,z2
0:09:22,broberg,skottyp,utifrån,z2
0:09:23,sirius,utkast,0,0
0:09:30,sirius,passning,lång,z7
0:09:33,sirius,passning,straffområde,z8
0:09:35,broberg,närkamp,0,z8
0:09:57,broberg,passning,straffområde,z2
0:09:59,sirius,utkast,0,z3
0:10:14,sirius,närkamp,0,z8
0:10:40,sirius,passning,lång,z7
0:10:43,sirius,offside,0,z7
0:10:45,broberg,boll,0,0
0:11:10,sirius,närkamp,0,z2
0:11:18,sirius,utkast,0,z3
0:11:27,sirius,passning,lång,z8
0:11:31,broberg,utkast,0,z9
0:12:01,broberg,passning,lång,z2
0:12:06,sirius,närkamp,0,z2
0:12:14,broberg,boll,0,0
0:12:17,broberg,hörna,0,z3
0:12:45,broberg,skott,täckt,z2
0:12:48,broberg,skottyp,fast,z2
0:13:15,0,timeout,0,0
0:13:37,sirius,utkast,0,z1
0:13:45,broberg,närkamp,0,z4
0:13:52,broberg,bolltapp,passförsök,z2
0:13:56,broberg,närkamp,0,z6
0:14:04,sirius,närkamp,0,z5
0:14:07,broberg,frislag,0,z5
0:14:43,broberg,passning,lång,z2
0:14:48,sirius,utkast,0,z1
0:14:56,sirius,närkamp,0,z4
0:15:00,broberg,närkamp,0,z4
0:15:17,broberg,passning,lång,z1
0:15:27,sirius,utkast,0,z8
0:15:39,broberg,rensning,0,0
0:15:43,sirius,utkast,0,z3
0:15:52,sirius,passning,lång,z8
0:15:58,broberg,utkast,0,z9
0:16:18,sirius,brytning,0,z2
0:16:27,sirius,skott,räddning,z8
0:16:37,sirius,skottyp,dribbling,z8
0:16:39,sirius,hörna,0,z9
0:17:01,sirius,skott,utanför,z8
0:17:05,sirius,skottyp,fast,z8
0:17:08,broberg,utkast,0,0
0:17:35,broberg,inslag,0,z1
0:17:49,broberg,hörna,0,z1
0:18:12,broberg,skott,täckt,z2
0:18:18,broberg,skottyp,fast,z2
0:18:23,sirius,utkast,0,z3
0:18:34,sirius,passning,lång,z8
0:18:37,broberg,utkast,0,z9
0:18:46,broberg,passning,lång,z2
0:18:51,sirius,utkast,0,z3
0:19:00,sirius,passning,lång,z8
0:19:09,broberg,närkamp,0,z8
0:19:11,broberg,rensning,0,0
0:19:14,sirius,inslag,0,z4
0:19:27,sirius,hörna,0,z7
0:20:02,sirius,boll,0,0
0:20:12,broberg,utkast,0,z9
0:20:18,broberg,passning,lång,z2
0:20:34,broberg,inslag,0,z9
0:20:52,broberg,närkamp,0,z6
0:20:59,broberg,passning,lång,z2
0:21:04,sirius,utkast,0,z3
0:21:21,sirius,inslag,0,z9
0:21:47,sirius,passning,lång,z8
0:21:56,broberg,utkast,0,z5
0:22:02,sirius,närkamp,0,z6
0:22:13,broberg,brytning,0,z8
0:22:22,broberg,skott,utanför,z2
0:22:25,broberg,skottyp,utifrån,z2
0:22:30,sirius,utkast,0,0
0:22:40,sirius,passning,lång,z8
0:22:42,broberg,utkast,0,0
0:22:50,broberg,frislag,0,z4
0:23:18,broberg,passning,lång,z2
0:23:23,sirius,utkast,0,z5
0:23:33,sirius,närkamp,0,z5
0:23:44,sirius,passning,straffområde,z8
0:23:46,broberg,närkamp,0,z8
0:23:53,broberg,frislag,0,z6
0:24:10,sirius,brytning,0,z5
0:24:20,sirius,närkamp,0,z7
0:24:29,sirius,närkamp,0,z4
0:24:34,broberg,närkamp,0,z8
0:24:46,sirius,närkamp,0,z7
0:24:47,sirius,inslag,0,z7
0:24:58,broberg,boll,0,0
0:25:07,broberg,offside,0,0
0:25:12,sirius,utkast,0,z5
0:25:21,sirius,närkamp,0,z5
0:25:25,broberg,närkamp,0,z4
0:25:35,sirius,frislag,0,z4
0:25:51,broberg,rensning,0,0
0:26:02,sirius,passning,straffområde,z8
0:26:09,sirius,passning,straffområde,z8
0:26:20,sirius,frislag,0,z8
0:26:41,sirius,passning,straffområde,z8
0:26:46,broberg,utkast,0,z5
0:26:56,sirius,utkast,0,z6
0:27:06,broberg,närkamp,0,z5
0:27:17,0,timeout,0,0
0:27:30,broberg,boll,0,0
0:27:49,sirius,närkamp,0,z6
0:27:56,broberg,inslag,0,z6
0:28:07,broberg,passning,lång,0
0:28:12,sirius,utkast,0,z3
0:28:17,sirius,passning,lång,z6
0:28:21,broberg,närkamp,0,z6
0:28:33,broberg,skott,täckt,z2
0:28:40,broberg,skottyp,utifrån,z2
0:28:41,sirius,boll,0,0
0:28:46,sirius,passning,lång,z8
0:28:51,broberg,utkast,0,z9
0:29:06,sirius,närkamp,0,z4
0:29:17,sirius,passning,straffområde,z8
0:29:24,broberg,närkamp,0,z9
0:29:34,broberg,utkast,0,z8
0:29:46,broberg,passning,lång,0
0:29:48,sirius,utkast,0,0
0:29:58,sirius,närkamp,0,z8
0:30:08,sirius,passning,straffområde,z8
0:30:10,broberg,rensning,0,0
0:30:17,sirius,skott,utanför,z8
0:30:21,sirius,skottyp,utifrån,z8
0:30:23,broberg,utkast,0,0
0:30:36,sirius,inslag,0,z9
0:30:52,broberg,närkamp,0,z9
0:30:55,sirius,närkamp,0,z5
0:31:03,broberg,närkamp,0,z7
0:31:11,broberg,inslag,0,z4
0:31:30,broberg,passning,lång,z2
0:31:39,sirius,utkast,0,z3
0:31:48,sirius,passning,lång,z8
0:31:50,sirius,närkamp,0,z8
0:31:52,sirius,skott,täckt,z8
0:31:55,sirius,skottyp,fast,z8
0:32:00,broberg,boll,0,0
0:32:04,sirius,närkamp,0,z3
0:32:13,broberg,brytning,0,z5
0:32:20,sirius,brytning,0,z4
0:32:32,sirius,passning,lång,z5
0:32:37,sirius,närkamp,0,z8
0:32:44,sirius,skott,räddning,z8
0:32:47,sirius,skottyp,utifrån,z8
0:32:55,sirius,skott,täckt,z8
0:32:58,sirius,skottyp,utifrån,z8
0:33:00,sirius,hörna,0,z7
0:33:19,sirius,skott,utanför,z8
0:33:22,sirius,skottyp,fast,z8
0:33:28,broberg,utkast,0,0
0:33:40,sirius,närkamp,0,z6
0:33:50,broberg,närkamp,0,z4
0:33:54,broberg,frislag,0,z4
0:34:12,broberg,passning,lång,z2
0:34:21,sirius,rensning,0,0
0:34:25,broberg,offside,0,0
0:34:29,sirius,boll,0,0
0:34:41,sirius,passning,lång,z8
0:34:44,broberg,närkamp,0,z8
0:35:06,broberg,passning,lång,z2
0:35:11,broberg,mål,spelmål,z2
0:35:37,broberg,skottyp,friställande,z2
0:35:39,sirius,avslag,0,0
0:35:51,sirius,inslag,0,z1
0:35:56,sirius,passning,lång,z5
0:35:57,broberg,boll,0,0
0:36:07,sirius,närkamp,0,z4
0:36:10,broberg,närkamp,0,z5
0:36:18,broberg,skott,räddning,z2
0:36:21,broberg,skottyp,utifrån,z2
0:36:23,sirius,rensning,0,0
0:36:27,sirius,frislag,0,z4
0:36:47,sirius,inslag,0,z7
0:37:02,sirius,passning,straffområde,z8
0:37:05,broberg,utkast,0,z5
0:37:10,broberg,närkamp,0,z2
0:37:14,broberg,skott,utanför,z2
0:37:18,broberg,skottyp,utifrån,z2
0:37:27,sirius,utkast,0,0
0:37:32,broberg,närkamp,0,z5
0:37:39,sirius,närkamp,0,z5
0:37:59,broberg,närkamp,0,z1
0:38:02,sirius,boll,0,0
0:38:05,broberg,inslag,0,z4
0:38:25,broberg,passning,lång,z2
0:38:27,sirius,närkamp,0,z5
0:38:34,broberg,brytning,0,z7
0:38:54,sirius,närkamp,0,z4
0:39:12,broberg,utkast,0,z5
0:39:23,sirius,utkast,0,z3
0:39:46,sirius,skott,utanför,z8
0:39:50,sirius,skottyp,centralt,z8
0:39:58,broberg,utkast,0,0
0:40:20,sirius,utkast,0,z3
0:40:28,broberg,brytning,0,z5
0:40:32,sirius,brytning,0,z4
0:40:53,0,timeout,0,0
0:41:02,broberg,frislag,0,z5
0:41:06,broberg,passning,lång,z2
0:41:08,sirius,rensning,0,0
0:41:24,broberg,närkamp,0,z4
0:41:30,sirius,brytning,0,0
0:41:34,broberg,närkamp,0,z8
0:41:39,sirius,närkamp,0,z6
0:41:56,broberg,närkamp,0,z7
0:41:59,sirius,närkamp,0,z4
0:42:05,broberg,närkamp,0,z7
0:42:16,sirius,närkamp,0,z4
0:42:20,sirius,passning,lång,z9
0:42:26,sirius,passning,straffområde,z8
0:42:35,sirius,närkamp,0,z9
0:42:42,sirius,frislag,0,z9
0:42:47,sirius,passning,lång,z8
0:43:01,broberg,utkast,0,0
0:43:10,sirius,närkamp,0,z5
0:43:15,broberg,rensning,0,0
0:43:30,sirius,utkast,0,z5
0:43:36,broberg,närkamp,0,z5
0:43:45,broberg,närkamp,0,z3
0:43:58,broberg,närkamp,0,z3
0:44:05,broberg,passning,lång,z2
0:44:14,broberg,närkamp,0,z2
0:44:20,broberg,passning,straffområde,z2
0:44:23,sirius,boll,0,0
0:44:30,broberg,brytning,0,z9
0:44:36,sirius,närkamp,0,z6
0:44:48,broberg,närkamp,0,z7
0:44:56,broberg,inslag,0,z7
0:45:10,broberg,passning,lång,z5
0:45:18,sirius,boll,0,z5
0:45:20,broberg,brytning,0,z5
0:45:33,broberg,passning,lång,z2
0:45:38,broberg,skott,utanför,z2
0:45:45,broberg,skottyp,friställande,z2
0:45:47,sirius,utkast,0,z4
0:45:57,sirius,passning,lång,z8
0:46:05,broberg,boll,0,0
0:46:15,broberg,närkamp,0,z4
0:46:17,0,timeout,0,0
0:47:09,broberg,utvisning,10,0
0:47:14,sirius,utvisning,10,0
0:48:22,broberg,frislag,0,z4
0:48:26,sirius,boll,0,z2
0:48:40,broberg,närkamp,0,z7
0:48:45,0,stop,0,0
