time,team,event,subevent,zone
0:00:00,sirius,avslag,0,z5
0:00:13,broberg,närkamp,0,z6
0:00:26,broberg,passning,straffområde,z8
0:00:31,broberg,skott,räddning,z8
0:00:36,broberg,skottyp,inlägg,0
0:00:44,broberg,skott,räddning,z8
0:00:50,broberg,skottyp,retur,0
0:00:57,sirius,utkast,0,0
0:01:05,sirius,bolltapp,tappad,0
0:01:18,broberg,mål,spelmål,z8
0:01:23,broberg,skottyp,utifrån,0
0:01:28,sirius,avslag,0,z5
0:01:58,sirius,frislag,0,z3
0:02:12,broberg,närkamp,0,z2
0:02:15,sirius,närkamp,0,z3
0:02:26,broberg,närkamp,0,z2
0:02:49,broberg,hörna,0,z7
0:03:12,broberg,skott,utanför,z8
0:03:17,broberg,skottyp,fast,z8
0:03:20,sirius,utkast,0,0
0:03:49,sirius,frislag,0,z1
0:04:02,sirius,skott,utanför,z1
0:04:10,sirius,skottyp,utifrån,z1
0:04:12,broberg,utkast,0,z1
0:04:28,broberg,passning,lång,z8
0:04:33,sirius,utkast,0,0
0:04:47,sirius,frislag,0,z1
0:05:03,sirius,passning,straffområde,z2
0:05:13,sirius,närkamp,0,z5
0:05:25,broberg,brytning,0,z6
0:05:35,broberg,närkamp,0,z8
0:05:38,sirius,närkamp,0,z8
0:05:53,sirius,skott,räddning,z2
0:06:01,sirius,skottyp,utifrån,z2
0:06:09,broberg,utvisning,10,0
0:06:14,sirius,hörna,0,z3
0:06:42,sirius,skott,utanför,z2
0:06:46,sirius,skottyp,fast,z2
0:06:50,broberg,utkast,0,z3
0:07:04,broberg,hörna,0,z7
0:07:29,broberg,skott,täckt,z8
0:07:33,broberg,skottyp,fast,z8
0:07:38,sirius,utkast,0,z9
0:07:52,broberg,brytning,0,z1
0:08:01,broberg,skott,utanför,z8
0:08:07,broberg,skottyp,utifrån,z8
0:08:10,sirius,utkast,0,z9
0:08:20,sirius,bolltapp,tappad,z4
0:08:57,broberg,närkamp,0,z8
0:09:05,sirius,närkamp,0,z8
0:09:56,sirius,passning,straffområde,z2
0:10:00,broberg,närkamp,0,z2
0:10:07,sirius,närkamp,0,z4
0:10:48,sirius,skott,räddning,z2
0:10:52,sirius,skottyp,utifrån,z2
0:10:54,broberg,utkast,0,0
0:11:08,broberg,hörna,0,z9
0:11:29,broberg,skott,utanför,z8
0:11:34,broberg,skottyp,fast,z8
0:11:39,sirius,utkast,0,z7
0:11:47,sirius,närkamp,0,z6
0:12:47,sirius,passning,straffområde,z2
0:12:53,broberg,utkast,0,z3
0:13:37,broberg,närkamp,0,z5
0:13:54,broberg,passning,lång,z8
0:13:57,sirius,utkast,0,z6
0:14:13,broberg,närkamp,0,z5
0:14:20,sirius,närkamp,0,z5
0:14:25,sirius,passning,lång,z2
0:14:28,sirius,skott,utanför,0
0:14:36,sirius,skottyp,centralt,z2
0:14:59,broberg,utkast,0,z3
0:15:04,broberg,närkamp,0,z8
0:15:18,sirius,närkamp,0,z8
0:15:36,broberg,utkast,0,z8
0:16:04,sirius,närkamp,0,z4
0:16:08,broberg,frislag,0,z4
0:16:30,broberg,passning,straffområde,z8
0:16:36,broberg,hörna,0,z7
0:16:56,broberg,skott,utanför,z2
0:17:00,broberg,skottyp,fast,z2
0:17:07,sirius,boll,0,0
0:17:23,sirius,passning,straffområde,z2
0:17:29,sirius,skott,utanför,z2
0:17:46,sirius,skottyp,centralt,z2
0:17:50,broberg,utkast,0,0
0:17:57,sirius,närkamp,0,0
0:18:09,broberg,brytning,0,z2
0:18:18,sirius,närkamp,0,z6
0:18:25,broberg,närkamp,0,z6
0:18:29,sirius,närkamp,0,z8
0:18:58,sirius,passning,straffområde,z2
0:19:03,broberg,rensning,0,z2
0:19:09,sirius,boll,0,0
0:19:52,sirius,passning,lång,z2
0:20:10,sirius,skott,räddning,z2
0:20:27,sirius,skottyp,friställande,z2
0:20:31,sirius,närkamp,0,z1
0:20:25,sirius,bolltapp,tappad,0
0:20:37,broberg,mål,spelmål,z8
0:20:51,broberg,skottyp,centralt,z8
0:21:09,sirius,avslag,0,z5
0:21:35,sirius,närkamp,0,z5
0:21:50,sirius,närkamp,0,z5
0:22:22,sirius,passning,lång,z2
0:22:29,broberg,närkamp,0,z2
0:22:32,sirius,närkamp,0,z6
0:22:57,sirius,hörna,0,z1
0:23:28,sirius,mål,hörnmål,z2
0:23:36,sirius,skottyp,fast,z2
0:23:54,broberg,avslag,0,z2
0:24:20,broberg,närkamp,0,z4
0:24:32,broberg,frislag,0,0
0:24:49,broberg,passning,lång,z2
0:25:27,sirius,brytning,0,z8
0:25:36,sirius,närkamp,0,z4
0:25:39,sirius,offside,0,z2
0:25:42,broberg,boll,0,z2
0:26:18,sirius,brytning,0,z5
0:26:27,sirius,skott,utanför,z2
0:26:30,sirius,skottyp,utifrån,z2
0:26:34,broberg,utkast,0,0
0:26:44,broberg,skott,täckt,z8
0:26:49,broberg,skottyp,centralt,0
0:26:54,sirius,boll,0,0
0:26:59,sirius,skott,räddning,z2
0:27:02,sirius,skottyp,centralt,z2
0:27:05,broberg,utkast,0,0
0:27:10,broberg,närkamp,0,0
0:27:17,broberg,skott,räddning,z8
0:27:23,broberg,skottyp,dribbling,z8
0:27:26,sirius,utkast,0,0
0:27:31,broberg,närkamp,0,z6
0:28:15,sirius,timeout,0,0
0:29:41,broberg,inslag,0,z6
0:29:49,broberg,passning,lång,z7
0:30:16,broberg,passning,straffområde,z8
0:30:26,broberg,mål,spelmål,z8
0:30:32,broberg,skottyp,inlägg,z8
0:30:34,sirius,avslag,0,0
0:30:44,sirius,passning,straffområde,0
0:30:51,sirius,inslag,0,0
0:31:07,sirius,närkamp,0,0
0:31:14,sirius,passning,straffområde,z2
0:31:18,sirius,boll,0,0
0:31:25,sirius,närkamp,0,z5
0:31:31,broberg,närkamp,0,z1
0:31:43,0,stop,0,0
