time,team,event,subevent,zone
0:00:00,sirius,avslag,0,z2
0:00:14,sirius,passning,lång,z7
0:00:16,vetlanda,utkast,0,0
0:00:28,sirius,närkamp,0,z1
0:00:42,vetlanda,närkamp,0,z8
0:00:50,vetlanda,bolltapp,passförsök,z5
0:01:21,sirius,40,0,0
0:01:41,sirius,40,0,0
0:02:03,sirius,passning,straffområde,z8
0:02:05,vetlanda,boll,0,0
0:02:14,vetlanda,närkamp,0,z3
0:02:19,sirius,närkamp,0,z3
0:02:34,vetlanda,utkast,0,0
0:03:06,sirius,närkamp,0,z2
0:03:23,sirius,skott,räddning,z8
0:03:26,sirius,skottyp,utifrån,z8
0:03:28,sirius,hörna,0,z7
0:03:56,sirius,skott,utanför,z8
0:04:01,sirius,skottyp,fast,z8
0:04:07,vetlanda,utkast,0,0
0:04:15,sirius,utkast,0,0
0:04:38,sirius,passning,straffområde,z8
0:04:43,vetlanda,utkast,0,z7
0:04:52,vetlanda,passning,lång,z2
0:05:00,vetlanda,hörna,0,z1
0:05:27,vetlanda,skott,utanför,z2
0:05:31,vetlanda,skottyp,fast,z2
0:05:40,sirius,utkast,0,z2
0:06:09,sirius,boll,0,0
0:06:23,vetlanda,närkamp,0,z5
0:06:30,sirius,närkamp,0,z4
0:06:35,sirius,frislag,0,z4
0:07:01,sirius,passning,lång,z8
0:07:04,vetlanda,närkamp,0,z8
0:07:07,sirius,närkamp,0,z9
0:07:17,sirius,frislag,0,z9
0:07:34,sirius,passning,straffområde,z8
0:07:37,sirius,närkamp,0,z8
0:07:59,sirius,passning,straffområde,z8
0:08:10,sirius,skott,räddning,z8
0:08:13,sirius,skottyp,inlägg,z8
0:08:17,sirius,mål,spelmål,z8
0:08:22,sirius,skottyp,retur,z8
0:08:38,vetlanda,avslag,0,0
0:09:25,vetlanda,passning,straffområde,z2
0:09:27,sirius,närkamp,0,z2
0:09:32,vetlanda,närkamp,0,z6
0:09:41,sirius,närkamp,0,z6
0:09:44,sirius,40,0,0
0:10:17,vetlanda,utvisning,10,0
0:10:27,sirius,frislag,0,z5
0:10:54,sirius,närkamp,0,z6
0:11:15,sirius,närkamp,0,z5
0:11:20,vetlanda,närkamp,0,z8
0:12:44,vetlanda,bolltapp,passförsök,z3
0:12:46,sirius,utkast,0,z7
0:13:01,sirius,frislag,0,z7
0:13:20,vetlanda,närkamp,0,z8
0:13:34,vetlanda,skott,täckt,z2
0:13:38,vetlanda,skottyp,dribbling,z2
0:13:45,sirius,boll,0,z2
0:13:52,vetlanda,närkamp,0,z7
0:13:56,sirius,brytning,0,z5
0:14:19,vetlanda,brytning,0,z7
