time,team,event,subevent,zone
0:00:00,sirius,avslag,0,0
0:00:44,vsk,brytning,0,z8
0:01:10,sirius,närkamp,0,z6
0:01:14,sirius,skott,utanför,z8
0:01:17,sirius,skottyp,utifrån,z8
0:01:27,vsk,utkast,0,0
0:01:42,sirius,närkamp,0,z2
0:02:05,sirius,passning,straffområde,z8
0:02:10,sirius,skott,utanför,z8
0:02:13,sirius,skottyp,inlägg,z8
0:02:15,vsk,utkast,0,0
0:02:27,vsk,skott,utanför,0
0:02:30,vsk,skottyp,utifrån,z8
0:02:31,sirius,utkast,0,0
0:02:38,sirius,passning,straffområde,z8
0:02:40,sirius,närkamp,0,z8
0:02:43,vsk,närkamp,0,z7
0:03:05,sirius,inslag,0,z3
0:03:20,sirius,passning,lång,z8
0:03:22,vsk,utkast,0,0
0:04:14,sirius,närkamp,0,z6
0:04:43,sirius,skott,täckt,z8
0:04:46,sirius,skottyp,utifrån,z8
0:04:49,sirius,boll,0,0
0:05:06,vsk,utkast,0,z9
0:05:34,vsk,skott,utanför,z2
0:05:38,vsk,skottyp,utifrån,z2
0:05:39,sirius,utkast,0,0
0:05:54,sirius,hörna,0,z7
0:06:41,sirius,mål,hörnmål,z8
0:06:44,sirius,skottyp,fast,z8
0:06:55,vsk,avslag,0,0
0:07:32,sirius,utkast,0,z1
0:08:04,sirius,passning,straffområde,z8
0:08:07,vsk,utkast,0,0
0:08:35,sirius,brytning,0,z6
0:08:44,sirius,skott,utanför,z8
0:08:46,sirius,skottyp,utifrån,z8
0:08:48,vsk,utkast,0,z7
0:09:13,vsk,boll,0,0
0:09:29,0,timeout,0,0
0:10:03,vsk,frislag,0,z3
0:10:24,vsk,skott,räddning,z2
0:10:27,vsk,skottyp,centralt,z2
0:10:29,sirius,utkast,0,0
0:10:43,vsk,närkamp,0,z8
0:10:57,vsk,hörna,0,z1
0:11:27,vsk,skott,täckt,z2
0:11:29,vsk,skottyp,fast,z2
0:11:32,vsk,skott,täckt,z2
0:11:40,vsk,skottyp,retur,z2
0:11:41,sirius,boll,0,0
0:11:45,sirius,skott,täckt,z8
0:11:50,sirius,skottyp,utifrån,z8
0:11:52,vsk,boll,0,0
0:12:04,sirius,närkamp,0,z3
0:12:17,sirius,offside,0,0
0:12:21,vsk,boll,0,0
0:12:47,sirius,närkamp,0,z2
0:12:49,sirius,rensning,0,0
0:14:45,sirius,närkamp,0,z2
0:14:50,sirius,utkast,0,0
0:15:23,sirius,frislag,0,z9
0:15:40,sirius,skott,utanför,z8
0:15:44,sirius,skottyp,utifrån,z8
0:15:46,vsk,utkast,0,0
0:15:48,sirius,utkast,0,z1
0:16:01,vsk,brytning,0,z5
0:16:16,vsk,inslag,0,z6
0:17:07,sirius,närkamp,0,z2
0:17:28,sirius,skott,täckt,z8
0:17:31,sirius,skottyp,dribbling,z8
0:17:33,vsk,boll,0,0
0:17:40,vsk,passning,straffområde,z8
0:17:45,sirius,utkast,0,z1
0:18:41,vsk,närkamp,0,z8
0:18:44,vsk,rensning,0,z8
0:18:52,vsk,passning,lång,z8
0:18:55,sirius,offside,0,0
0:18:57,vsk,boll,0,0
0:19:10,vsk,skott,utanför,0
0:19:18,vsk,skottyp,centralt,z2
0:19:21,vsk,timeout,0,0
0:20:55,sirius,utkast,0,z2
0:21:10,sirius,inslag,0,z6
0:21:59,sirius,skott,räddning,z8
0:22:01,sirius,skottyp,centralt,z8
0:22:08,vsk,närkamp,0,z8
0:22:23,vsk,närkamp,0,z6
0:22:44,sirius,utvisning,10,0
0:23:09,vsk,frislag,0,z4
0:23:43,vsk,passning,straffområde,z2
0:23:49,vsk,mål,spelmål,z2
0:23:52,vsk,skottyp,inlägg,z2
0:24:29,sirius,avslag,0,0
0:24:54,vsk,brytning,0,z9
0:25:12,sirius,utkast,0,z3
0:25:22,sirius,40,0,0
0:25:42,sirius,passning,straffområde,z8
0:25:47,vsk,utkast,0,z7
0:25:59,sirius,närkamp,0,z5
0:26:14,sirius,skott,räddning,z8
0:26:23,sirius,skottyp,centralt,z8
0:26:25,sirius,hörna,0,z9
0:26:49,sirius,skott,täckt,z8
0:26:52,sirius,skottyp,fast,z8
0:26:57,sirius,inslag,0,z6
0:27:02,sirius,40,0,0
0:27:27,vsk,brytning,0,z9
0:27:42,vsk,passning,straffområde,z2
0:27:51,vsk,inslag,0,z6
0:28:20,sirius,närkamp,0,z3
0:28:26,vsk,närkamp,0,z3
0:28:31,vsk,skott,täckt,z2
0:28:34,vsk,skottyp,utifrån,z2
0:28:38,vsk,närkamp,0,z2
0:28:41,vsk,skott,utanför,z2
0:28:43,vsk,skottyp,utifrån,z2
0:28:45,sirius,utkast,0,0
0:29:09,sirius,40,0,0
0:29:16,vsk,närkamp,0,z8
0:29:51,vsk,närkamp,0,z5
0:30:22,sirius,närkamp,0,z6
0:30:32,vsk,närkamp,0,z5
0:31:06,sirius,timeout,0,0
0:32:47,sirius,inslag,0,z3
0:33:23,sirius,skott,täckt,z8
0:33:26,sirius,skottyp,utifrån,z8
0:33:29,sirius,närkamp,0,z7
0:33:50,sirius,passning,straffområde,z8
0:33:52,vsk,utkast,0,0
0:34:32,vsk,skott,räddning,z2
0:34:36,vsk,skottyp,centralt,z2
0:34:41,vsk,boll,0,0
0:34:51,vsk,skott,utanför,z2
0:34:56,vsk,skottyp,utifrån,z2
0:35:00,sirius,utkast,0,0
0:35:14,sirius,passning,straffområde,z8
0:35:20,sirius,passning,straffområde,z8
0:35:23,vsk,utkast,0,z9
0:36:01,sirius,utkast,0,z3
0:36:17,sirius,passning,straffområde,z8
0:36:23,sirius,skott,utanför,z7
0:36:30,sirius,skottyp,utifrån,z7
0:36:34,vsk,utkast,0,0
0:36:40,vsk,frislag,0,z2
0:36:49,vsk,bolltapp,tappad,0
0:36:52,vsk,närkamp,0,z1
0:37:01,sirius,närkamp,0,z1
0:37:11,sirius,inslag,0,z1
0:37:34,sirius,passning,straffområde,z8
0:37:37,sirius,skott,räddning,z8
0:37:42,sirius,skottyp,inlägg,z8
0:37:43,vsk,utkast,0,0
0:37:48,sirius,inslag,0,z3
0:38:05,vsk,närkamp,0,z8
0:38:25,vsk,passning,straffområde,z2
0:38:43,vsk,närkamp,0,z4
0:38:46,vsk,frislag,0,z4
0:39:02,vsk,skott,täckt,z2
0:39:06,vsk,skottyp,centralt,z2
0:39:12,sirius,rensning,0,0
0:39:51,vsk,bolltapp,tappad,0
0:39:55,vsk,närkamp,0,z8
0:40:01,sirius,närkamp,0,z6
0:40:08,sirius,skott,täckt,z8
0:40:13,sirius,skottyp,utifrån,z8
0:40:14,0,timeout,0,0
0:40:51,vsk,utkast,0,z7
0:41:01,sirius,brytning,0,z1
0:41:23,vsk,brytning,0,z8
0:41:38,vsk,passning,straffområde,z2
0:41:43,sirius,brytning,0,z2
0:41:56,vsk,närkamp,0,z8
0:42:05,vsk,närkamp,0,z4
0:42:08,vsk,frislag,0,z4
0:42:37,vsk,brytning,0,z9
0:43:04,vsk,mål,spelmål,z2
0:43:22,vsk,skottyp,dribbling,z2
0:43:39,sirius,avslag,0,0
0:43:56,sirius,närkamp,0,z5
0:43:58,sirius,frislag,0,z5
0:44:31,vsk,närkamp,0,z8
0:44:33,vsk,rensning,0,0
0:44:36,sirius,inslag,0,z7
0:44:55,sirius,skott,räddning,z8
0:44:59,sirius,skottyp,dribbling,z8
0:45:01,vsk,utkast,0,0
0:45:13,vsk,passning,straffområde,z2
0:45:15,sirius,utkast,0,0
0:45:39,sirius,frislag,0,z5
0:45:53,sirius,passning,straffområde,z8
0:45:55,sirius,skott,utanför,z8
0:46:00,sirius,skottyp,inlägg,z8
0:46:03,sirius,boll,0,0
0:46:11,sirius,inslag,0,z6
0:46:21,sirius,passning,straffområde,z8
0:46:23,vsk,rensning,0,0
0:46:27,vsk,närkamp,0,z6
0:46:34,vsk,mål,spelmål,z2
0:46:41,vsk,skottyp,friställande,z2
0:47:08,sirius,avslag,0,0
0:47:30,vsk,brytning,0,z8
0:47:45,vsk,skott,räddning,z2
0:47:53,vsk,skottyp,centralt,z2
0:48:16,vsk,passning,lång,0
0:48:18,sirius,boll,0,0
0:48:33,sirius,40,0,0
0:48:42,sirius,passning,lång,0
0:48:52,vsk,närkamp,0,z9
0:49:02,vsk,skott,räddning,z2
0:49:11,vsk,skottyp,centralt,z2
0:49:13,0,stop,0,0
