time,team,event,subevent,zone
0:00:00,iks,avslag,0,0
0:00:15,ham,utkast,0,0
0:00:43,ham,skott,täckt,z2
0:00:48,ham,skottyp,utifrån,z2
0:00:53,ham,hörna,0,z1
0:01:03,ham,skott,utanför,z2
0:01:07,ham,skottyp,fast,z2
0:01:11,iks,utkast,0,z1
0:01:23,iks,passning,lång,z8
0:01:31,ham,utkast,0,z6
0:02:38,ham,närkamp,0,z6
0:02:48,iks,närkamp,0,z7
0:03:26,iks,passning,straffområde,z8
0:03:33,iks,skott,utanför,z8
0:03:37,iks,skottyp,inlägg,z8
0:03:41,ham,utkast,0,0
0:04:11,iks,brytning,0,z6
0:04:42,iks,40,0,0
0:05:16,iks,passning,straffområde,z8
0:05:19,iks,skott,utanför,z8
0:05:22,iks,skottyp,inlägg,z2
0:05:30,ham,utkast,0,0
0:06:19,ham,passning,straffområde,z2
0:06:24,ham,skott,utanför,z2
0:06:30,ham,skottyp,inlägg,z2
0:06:33,iks,utkast,0,0
0:06:36,ham,närkamp,0,z6
0:07:04,ham,skott,täckt,z2
0:07:08,ham,skottyp,centralt,0
0:07:11,iks,boll,0,0
0:07:16,ham,närkamp,0,z8
0:07:21,iks,närkamp,0,z6
0:07:44,ham,närkamp,0,z5
0:07:56,iks,närkamp,0,z1
0:08:22,iks,bolltapp,passförsök,z5
0:08:27,iks,närkamp,0,z5
0:08:31,iks,40,0,0
0:08:37,iks,passning,lång,0
0:08:45,ham,närkamp,0,z7
0:09:14,ham,hörna,0,z3
0:09:46,ham,mål,hörnmål,z2
0:09:50,ham,skottyp,fast,z2
0:10:13,iks,avslag,0,0
0:10:38,iks,40,0,0
0:10:56,ham,brytning,0,z4
0:11:01,iks,närkamp,0,z4
0:11:03,ham,närkamp,0,z4
0:11:10,iks,närkamp,0,z5
0:11:22,iks,passning,straffområde,z8
0:11:27,iks,40,0,0
0:11:44,iks,bolltapp,tappad,z7
0:11:51,ham,utkast,0,z9
0:11:59,ham,passning,lång,z2
0:12:03,iks,utkast,0,z3
0:12:42,iks,40,0,0
0:12:55,iks,passning,lång,0
0:13:03,ham,brytning,0,z7
0:13:14,iks,brytning,0,z5
0:14:02,ham,brytning,0,z9
0:14:06,ham,frislag,0,z6
0:14:21,ham,hörna,0,z3
0:14:52,ham,skott,täckt,z2
0:14:56,ham,skottyp,fast,z2
0:15:05,iks,närkamp,0,z2
0:15:11,iks,närkamp,0,z6
0:15:34,iks,bolltapp,passförsök,z8
0:15:37,ham,utkast,0,z7
0:15:51,iks,brytning,0,z3
0:15:55,ham,brytning,0,z8
0:16:15,iks,närkamp,0,z3
0:16:32,iks,40,0,0
0:16:39,iks,passning,lång,z8
0:16:43,ham,utkast,0,z7
0:16:56,ham,hörna,0,z1
0:17:22,ham,skott,utanför,z2
0:17:25,ham,skottyp,fast,z2
0:17:29,iks,utkast,0,0
0:17:36,iks,passning,lång,z5
0:17:41,iks,närkamp,0,z5
0:17:46,ham,frislag,0,z5
0:18:58,ham,passning,lång,z2
0:19:00,iks,närkamp,0,z2
0:19:16,iks,skott,räddning,z8
0:19:19,iks,skottyp,utifrån,z8
0:19:25,iks,närkamp,0,z9
0:19:34,iks,inslag,0,z9
0:19:39,ham,närkamp,0,z8
0:19:46,ham,passning,lång,0
0:19:49,iks,utkast,0,z6
0:20:18,iks,passning,straffområde,z8
0:20:20,iks,närkamp,0,z8
0:20:26,iks,skott,täckt,z8
0:20:30,iks,skottyp,utifrån,0
0:20:34,ham,boll,0,0
0:20:50,ham,skott,täckt,z2
0:20:55,ham,skottyp,utifrån,z2
0:20:58,ham,hörna,0,z3
0:21:12,ham,skott,täckt,z2
0:21:18,ham,skottyp,fast,z2
0:21:21,ham,boll,0,0
0:21:46,ham,hörna,0,z3
0:22:15,ham,skott,täckt,z2
0:22:19,ham,skottyp,fast,z2
0:22:25,iks,utkast,0,0
0:22:48,iks,40,0,0
0:22:59,ham,närkamp,0,z4
0:23:12,ham,passning,straffområde,z2
0:23:14,iks,brytning,0,z2
0:23:23,iks,närkamp,0,z6
0:23:29,iks,offside,0,z8
0:23:33,ham,boll,0,0
0:24:45,iks,utkast,0,z3
0:25:05,iks,skott,täckt,z8
0:25:09,iks,skottyp,utifrån,z8
0:25:12,iks,hörna,0,z7
0:25:34,iks,skott,utanför,z8
0:25:38,iks,skottyp,fast,z8
0:25:43,ham,utkast,0,0
0:25:56,iks,brytning,0,z6
0:26:00,ham,närkamp,0,z5
0:26:05,iks,utvisning,10,0
0:26:40,ham,frislag,0,z5
0:26:50,iks,utkast,0,z1
0:27:10,ham,brytning,0,z8
0:27:24,ham,skott,utanför,z3
0:27:30,ham,skottyp,utifrån,z3
0:27:31,iks,utkast,0,z1
0:27:35,iks,passning,lång,z8
0:27:40,ham,närkamp,0,z8
0:29:01,iks,utkast,0,z1
0:29:27,ham,närkamp,0,z1
0:29:31,iks,närkamp,0,z1
0:29:44,iks,frislag,0,z4
0:30:15,ham,närkamp,0,z5
0:30:17,iks,närkamp,0,z5
0:30:26,ham,närkamp,0,z6
0:30:35,ham,skott,räddning,z2
0:30:42,ham,skottyp,centralt,z2
0:30:48,iks,utkast,0,z3
0:31:02,iks,skott,räddning,z8
0:31:06,iks,skottyp,centralt,z8
0:31:21,iks,hörna,0,z7
0:31:34,iks,mål,hörnmål,z8
0:31:39,iks,skottyp,fast,z8
0:32:03,ham,avslag,0,0
0:32:23,ham,passning,lång,z2
0:32:27,iks,rensning,0,0
0:32:36,ham,passning,lång,z2
0:33:02,ham,mål,spelmål,z2
