time,team,event,subevent,zone
0:00:00,bol,avslag,0,0
0:00:30,bol,skott,täckt,z8
0:00:34,bol,skottyp,utifrån,z8
0:00:36,0,timeout,0,0
0:01:09,iks,utkast,0,0
0:01:23,bol,brytning,0,z3
0:01:32,bol,närkamp,0,z7
0:02:08,iks,närkamp,0,z4
0:02:13,bol,närkamp,0,z7
0:02:21,bol,passning,straffområde,z8
0:02:23,iks,rensning,0,0
0:02:32,bol,passning,lång,z8
0:02:40,iks,närkamp,0,z8
0:02:50,iks,mål,spelmål,z2
0:02:59,iks,skottyp,centralt,z2
0:03:20,bol,avslag,0,0
0:03:49,iks,närkamp,0,z9
0:04:06,iks,frislag,0,z1
0:04:21,iks,passning,straffområde,z2
0:04:26,iks,mål,spelmål,0
0:04:33,iks,skottyp,inlägg,z2
0:04:50,bol,avslag,0,0
0:05:38,iks,närkamp,0,z9
0:05:43,iks,rensning,0,0
0:06:31,iks,närkamp,0,z6
0:06:45,iks,passning,straffområde,z2
0:06:50,bol,utkast,0,0
0:07:17,bol,passning,lång,0
0:07:19,iks,rensning,0,0
0:07:41,iks,närkamp,0,z6
0:08:03,bol,närkamp,0,z5
0:08:14,iks,närkamp,0,z8
0:08:23,iks,frislag,0,z7
0:08:50,iks,passning,straffområde,z2
0:08:52,bol,utkast,0,0
0:09:17,bol,frislag,0,z7
0:09:27,bol,passning,straffområde,z9
0:09:37,bol,skott,utanför,z8
0:09:41,bol,skottyp,utifrån,z8
0:09:43,iks,utkast,0,z8
0:10:31,iks,passning,lång,z2
0:10:35,iks,skott,räddning,z2
0:10:39,iks,skottyp,friställande,z2
0:10:42,bol,utkast,0,0
0:10:52,bol,hörna,0,z7
0:11:22,bol,skott,utanför,z8
0:11:27,bol,skottyp,fast,z8
0:11:30,iks,utkast,0,0
0:11:35,iks,passning,lång,z2
0:11:39,bol,brytning,0,z2
0:11:48,iks,närkamp,0,z7
0:11:54,iks,utkast,0,0
0:12:18,iks,frislag,0,z9
0:12:30,iks,40,0,0
0:12:46,iks,inslag,0,z1
0:13:21,iks,skott,räddning,z2
0:13:24,iks,skottyp,centralt,z2
0:13:26,bol,boll,0,0
0:13:38,iks,brytning,0,z8
0:13:45,bol,närkamp,0,z6
0:13:47,bol,inslag,0,z6
0:16:14,iks,brytning,0,z8
0:16:35,iks,skott,täckt,z2
0:16:42,iks,skottyp,utifrån,z2
0:16:43,iks,hörna,0,z3
0:17:04,iks,boll,0,0
0:17:12,iks,passning,straffområde,z2
0:17:19,iks,skott,räddning,z2
0:17:28,iks,skottyp,inlägg,z2
0:17:32,bol,utkast,0,0
0:17:44,bol,bolltapp,tappad,z5
0:17:49,bol,närkamp,0,z2
0:17:56,bol,närkamp,0,z4
0:18:06,bol,skott,täckt,z8
0:18:09,bol,skottyp,utifrån,z8
0:18:11,iks,närkamp,0,z6
0:18:25,iks,passning,straffområde,z2
0:18:29,iks,mål,spelmål,z2
0:18:50,iks,skottyp,inlägg,z2
0:18:54,bol,timeout,0,0
0:20:10,bol,avslag,0,0
0:20:40,bol,närkamp,0,z3
0:21:00,iks,närkamp,0,z5
0:21:26,iks,passning,straffområde,z2
0:21:31,iks,skott,täckt,z2
0:21:35,iks,skottyp,inlägg,z2
0:21:37,iks,hörna,0,z3
0:22:03,iks,mål,hörnmål,z2
0:22:12,iks,skottyp,fast,z2
0:22:31,bol,avslag,0,0
0:22:57,iks,brytning,0,z6
