time,team,event,subevent,zone
0:00:00,eds,avslag,0,z8
0:00:10,eds,skott,täckt,z2
0:00:14,eds,skottyp,utifrån,z2
0:00:57,eds,passning,lång,z2
0:01:02,iks,närkamp,0,z2
0:01:23,iks,passning,lång,z8
0:01:26,eds,närkamp,0,z8
0:01:37,eds,passning,straffområde,z2
0:01:43,iks,utkast,0,z3
0:01:58,eds,utkast,0,z7
0:02:49,iks,närkamp,0,z2
0:02:58,iks,skott,räddning,z8
0:03:01,iks,skottyp,utifrån,z8
0:03:03,iks,hörna,0,z7
0:03:34,iks,skott,täckt,z8
0:03:38,iks,skottyp,fast,z8
0:03:50,eds,utkast,0,0
0:03:57,iks,närkamp,0,z2
0:04:05,eds,närkamp,0,z8
0:04:15,eds,skott,räddning,z2
0:04:19,eds,skottyp,dribbling,z2
0:04:21,iks,boll,0,0
0:04:32,iks,40,0,0
0:04:45,iks,40,0,0
0:04:53,iks,40,0,0
0:05:01,iks,passning,lång,z8
0:05:05,eds,utkast,0,z7
0:05:27,eds,bolltapp,tappad,z2
0:05:33,iks,utkast,0,z2
0:05:56,iks,passning,straffområde,z8
0:05:59,eds,närkamp,0,z8
0:06:23,eds,passning,straffområde,z2
0:06:27,iks,inslag,0,z3
0:06:35,iks,40,0,0
0:06:43,iks,passning,straffområde,z8
0:06:46,iks,hörna,0,z9
0:07:19,iks,skott,räddning,z8
0:07:22,iks,skottyp,fast,z8
0:07:26,iks,skott,täckt,z8
0:07:29,iks,skottyp,retur,z8
0:07:31,eds,boll,0,0
0:07:37,iks,brytning,0,z6
0:07:45,iks,passning,lång,z7
0:07:52,eds,närkamp,0,z7
0:07:57,eds,utkast,0,0
0:08:27,iks,närkamp,0,z2
0:08:32,iks,utkast,0,z3
0:08:59,iks,40,0,0
0:09:10,eds,närkamp,0,z5
0:09:17,iks,närkamp,0,z3
0:09:24,eds,närkamp,0,z6
0:09:26,eds,inslag,0,z6
0:10:28,iks,närkamp,0,z6
0:10:41,iks,passning,straffområde,z8
0:10:44,iks,boll,0,z7
0:11:09,iks,bolltapp,passförsök,z1
0:11:11,eds,inslag,0,z1
0:11:32,iks,närkamp,0,z1
0:11:41,iks,inslag,0,z1
0:11:57,iks,bolltapp,tappad,z4
0:12:01,iks,närkamp,0,z2
0:12:19,eds,närkamp,0,z9
0:12:22,eds,utkast,0,z7
0:12:52,eds,passning,lång,z2
0:12:55,iks,boll,0,z2
0:13:05,iks,frislag,0,z6
0:13:41,eds,brytning,0,z9
0:13:43,iks,närkamp,0,z9
0:13:47,iks,passning,straffområde,z8
0:13:50,eds,boll,0,z8
0:13:57,iks,närkamp,0,z1
0:14:13,eds,närkamp,0,z8
0:14:39,eds,passning,straffområde,z2
0:14:43,eds,skott,täckt,z2
0:14:51,eds,skottyp,centralt,z2
0:14:55,eds,passning,straffområde,z2
0:15:00,eds,skott,täckt,z2
0:15:04,eds,skottyp,inlägg,z2
0:15:11,iks,rensning,0,0
0:16:22,iks,utkast,0,z1
0:16:49,iks,passning,straffområde,z8
0:16:52,eds,utkast,0,z7
0:17:35,iks,närkamp,0,z5
0:17:38,eds,närkamp,0,z5
0:18:12,eds,passning,straffområde,z2
0:18:14,iks,inslag,0,z1
0:18:21,iks,närkamp,0,z6
0:18:23,iks,frislag,0,z6
0:18:45,iks,40,0,0
0:19:10,eds,utvisning,10,0
0:19:41,iks,frislag,0,z7
0:20:12,iks,inslag,0,z9
0:20:52,iks,40,0,0
0:21:25,iks,passning,straffområde,z8
0:21:28,eds,närkamp,0,z8
0:21:50,eds,skott,räddning,z2
0:21:53,eds,skottyp,dribbling,z2
0:21:56,iks,boll,0,0
0:22:04,iks,utkast,0,z3
0:22:20,iks,hörna,0,z9
0:22:56,iks,skott,täckt,z8
0:22:59,iks,skottyp,fast,z8
0:23:02,eds,utkast,0,z7
0:23:35,eds,passning,lång,z2
0:23:40,iks,brytning,0,z2
0:23:54,iks,passning,straffområde,z8
0:23:58,eds,närkamp,0,z8
0:24:20,eds,skott,utanför,z2
0:24:25,eds,skottyp,dribbling,z2
0:24:27,iks,utkast,0,z3
0:25:01,iks,40,0,0
0:25:26,iks,närkamp,0,z5
0:26:07,eds,närkamp,0,z8
0:26:17,iks,närkamp,0,z6
0:26:20,iks,40,0,0
0:26:29,iks,40,0,0
0:26:45,iks,närkamp,0,z5
0:26:47,iks,40,0,0
0:27:18,iks,skott,räddning,z8
0:27:22,iks,skottyp,centralt,z8
0:27:23,iks,hörna,0,z9
0:27:48,iks,skott,täckt,z8
0:27:50,iks,skottyp,fast,z8
0:27:56,iks,skott,utanför,z8
0:27:58,iks,skottyp,retur,z8
0:28:03,eds,utkast,0,0
0:28:14,iks,närkamp,0,z4
0:28:54,eds,närkamp,0,z7
0:29:03,iks,närkamp,0,z4
0:29:15,iks,passning,farlig,z8
0:29:18,eds,närkamp,0,z8
0:29:21,eds,utkast,0,0
0:29:30,iks,närkamp,0,z2
0:29:37,iks,passning,farlig,z8
0:29:39,eds,utkast,0,0
0:30:47,eds,hörna,0,z1
0:31:13,eds,skott,täckt,z2
0:31:18,eds,skottyp,fast,z2
0:31:22,eds,skott,täckt,z2
0:31:25,eds,skottyp,retur,z2
0:31:28,iks,utkast,0,0
0:31:47,iks,skott,räddning,z8
0:31:51,iks,skottyp,dribbling,z8
0:31:55,eds,närkamp,0,z8
0:32:27,eds,skott,täckt,z2
0:32:30,eds,skottyp,utifrån,z2
0:32:33,iks,boll,0,0
0:32:41,iks,skott,utanför,z8
0:32:52,iks,skottyp,centralt,z8
0:32:54,eds,utkast,0,0
0:33:32,eds,skott,räddning,z2
0:33:35,eds,skottyp,utifrån,z2
0:33:38,eds,mål,spelmål,z2
0:33:41,eds,skottyp,retur,z2
0:34:08,iks,avslag,0,0
0:34:35,iks,40,0,0
0:34:51,iks,skott,täckt,z8
0:34:54,iks,skottyp,utifrån,z8
0:34:57,iks,boll,0,0
0:34:58,iks,40,0,0
0:35:53,iks,passning,straffområde,z8
0:35:55,eds,närkamp,0,z8
0:36:02,eds,frislag,0,z6
0:37:16,iks,utkast,0,z3
0:37:30,iks,40,0,0
0:37:55,iks,närkamp,0,z7
0:38:00,iks,40,0,0
0:38:27,iks,40,0,0
0:38:45,iks,passning,lång,z8
0:38:47,iks,frislag,0,z7
0:38:59,iks,skott,utanför,z8
0:39:02,iks,skottyp,utifrån,z8
0:39:07,eds,utkast,0,0
0:39:10,iks,närkamp,0,z6
0:39:16,eds,närkamp,0,z9
0:39:28,iks,närkamp,0,z5
0:39:38,iks,bolltapp,passförsök,z5
0:39:59,eds,skott,räddning,z2
0:40:00,eds,skottyp,utifrån,z2
0:40:01,eds,skott,täckt,z2
0:40:03,eds,skottyp,utifrån,z2
0:40:06,iks,boll,0,0
0:40:49,iks,40,0,0
0:41:33,iks,frislag,0,z9
0:41:49,eds,brytning,0,z5
0:41:53,iks,närkamp,0,z5
0:42:06,iks,passning,lång,z8
0:42:09,eds,närkamp,0,z8
0:42:35,eds,passning,lång,z3
0:42:37,iks,boll,0,z3
0:43:01,iks,40,0,0
0:43:08,iks,40,0,0
0:43:53,eds,brytning,0,z9
0:44:15,iks,utkast,0,0
0:45:00,eds,närkamp,0,z9
0:45:01,0,stop,0,0
