time,team,event,subevent,zone
0:00:00,iks,avslag,0,z8
0:00:32,iks,40,0,z8
0:00:49,bol,brytning,0,z1
0:00:55,iks,brytning,0,z4
0:01:17,iks,närkamp,0,z6
0:01:21,iks,inslag,0,z6
0:01:36,bol,närkamp,0,z2
0:01:57,bol,skott,räddning,z8
0:02:01,bol,skottyp,utifrån,z8
0:02:03,iks,utkast,0,0
0:02:12,iks,hörna,0,z3
0:02:48,iks,skott,täckt,z2
0:02:52,iks,skottyp,fast,z2
0:02:54,iks,skott,täckt,z2
0:02:57,iks,skottyp,utifrån,z2
0:02:59,iks,boll,0,0
0:03:05,iks,närkamp,0,z8
0:03:26,iks,40,0,z8
0:03:50,bol,utkast,0,z3
0:04:43,iks,närkamp,0,z8
0:04:56,iks,frislag,0,z9
0:05:33,iks,passning,lång,z2
0:05:39,iks,skott,täckt,z2
0:05:42,iks,skottyp,utifrån,z2
0:05:45,iks,hörna,0,z3
0:06:11,iks,skott,utanför,z2
0:06:13,iks,skottyp,fast,z2
0:06:17,bol,utkast,0,z1
0:07:00,bol,närkamp,0,z5
0:07:04,bol,frislag,0,z9
0:07:33,bol,närkamp,0,z6
0:08:35,iks,närkamp,0,z6
0:08:54,bol,närkamp,0,z1
0:09:03,bol,frislag,0,z1
0:09:09,iks,brytning,0,z5
0:09:14,iks,40,0,0
0:09:31,iks,40,0,z8
0:09:53,bol,närkamp,0,z3
0:09:55,bol,inslag,0,z3
0:10:50,bol,frislag,0,z5
0:11:32,bol,skott,räddning,z8
0:11:36,bol,skottyp,centralt,z8
0:11:38,iks,utkast,0,z7
0:11:48,bol,närkamp,0,z6
0:12:15,iks,närkamp,0,z8
0:12:29,iks,skott,räddning,z2
0:12:32,iks,skottyp,utifrån,z2
0:12:35,iks,hörna,0,z3
0:13:00,iks,skott,utanför,z2
0:13:04,iks,skottyp,fast,z2
0:13:06,bol,utkast,0,0
0:13:18,iks,utvisning,10,0
0:13:44,bol,frislag,0,z8
0:13:50,iks,brytning,0,z8
0:14:13,iks,skott,räddning,z2
0:14:17,iks,skottyp,centralt,0
0:14:21,bol,rensning,0,0
0:14:35,bol,närkamp,0,z2
