time,team,event,subevent,zone
0:00:00,iks,avslag,0,z5
0:00:06,iks,40,0,z8
0:00:26,iks,40,0,0
0:00:34,iks,närkamp,0,z8
0:01:37,iks,frislag,0,z4
0:02:09,iks,passning,lång,z2
0:02:11,iks,offside,0,z2
0:02:19,fri,boll,0,0
0:03:02,fri,passning,straffområde,z8
0:03:06,iks,utkast,0,z7
0:03:28,fri,brytning,0,z4
0:03:41,fri,passning,straffområde,z8
0:03:43,iks,boll,0,0
0:03:50,iks,passning,lång,z2
0:03:54,fri,brytning,0,z2
0:04:01,fri,närkamp,0,z3
0:04:17,fri,närkamp,0,z5
0:05:19,fri,passning,lång,z8
0:05:22,fri,offside,0,z8
0:05:24,iks,boll,0,0
0:05:33,iks,skott,räddning,z2
0:05:38,iks,skottyp,utifrån,z2
0:05:40,fri,utkast,0,z1
0:06:11,iks,närkamp,0,z7
0:06:20,fri,närkamp,0,z7
0:07:07,fri,frislag,0,z9
0:07:25,iks,närkamp,0,z7
0:07:33,iks,närkamp,0,z5
0:07:41,iks,40,0,0
0:07:53,fri,brytning,0,z2
0:08:07,iks,närkamp,0,z4
0:08:29,iks,passning,straffområde,z2
0:08:31,iks,hörna,0,z1
0:09:07,iks,skott,räddning,z2
0:09:10,iks,skottyp,fast,z2
0:09:18,fri,rensning,0,0
0:09:23,iks,boll,0,0
0:09:30,fri,närkamp,0,z5
0:09:40,fri,skott,räddning,z8
0:09:43,fri,skottyp,utifrån,z8
0:09:46,iks,utkast,0,0
0:10:24,iks,skott,utanför,z2
0:10:33,iks,skottyp,dribbling,0
0:10:35,fri,utkast,0,0
0:10:52,iks,närkamp,0,z5
0:10:58,fri,boll,0,0
0:11:14,iks,brytning,0,z8
0:12:05,fri,brytning,0,z6
0:12:07,fri,kontring,0,0
0:12:11,fri,bolltapp,tappad,z8
0:12:22,fri,närkamp,0,z7
0:13:12,iks,brytning,0,z8
0:13:55,iks,passning,straffområde,z2
0:14:02,iks,frislag,0,z1
0:14:22,fri,närkamp,0,z3
0:14:35,iks,utkast,0,z9
0:14:55,iks,skott,räddning,z2
0:14:58,iks,skottyp,centralt,z2
0:15:03,fri,närkamp,0,z2
0:15:07,fri,frislag,0,z1
0:15:34,iks,brytning,0,z6
0:15:52,iks,straff,0,z2
0:16:19,fri,utvisning,10,0
0:16:41,iks,mål,straffmål,z2
0:16:45,iks,skottyp,fast,z2
0:17:16,fri,avslag,0,z2
0:17:54,fri,skott,räddning,z8
0:17:58,fri,skottyp,dribbling,z8
0:18:04,fri,skott,utanför,z8
0:18:11,fri,skottyp,utifrån,z8
0:18:13,iks,utkast,0,0
0:18:37,iks,40,0,0
0:18:49,iks,passning,straffområde,z2
0:18:53,iks,skott,räddning,z2
0:19:00,iks,skottyp,centralt,z2
0:19:12,iks,boll,0,0
0:19:37,iks,frislag,0,z1
0:20:07,iks,närkamp,0,z9
0:20:22,fri,utkast,0,z3
