time,team,event,subevent,zone
0:00:00,villa,avslag,0,z8
0:00:29,villa,närkamp,0,z9
0:00:58,saik,närkamp,0,z2
0:01:30,saik,skott,täckt,z8
0:01:35,saik,skottyp,utifrån,z8
0:01:37,saik,hörna,0,z9
0:01:56,saik,skott,täckt,z8
0:02:00,saik,skottyp,fast,z8
0:02:06,saik,skott,utanför,z8
0:02:10,saik,skottyp,utifrån,z8
0:02:13,villa,utkast,0,0
0:02:23,villa,skott,täckt,z2
0:02:28,villa,skottyp,utifrån,z2
0:02:32,saik,utkast,0,0
0:02:41,saik,passning,straffområde,z8
0:02:43,villa,utkast,0,0
0:02:59,villa,mål,spelmål,z2
0:03:02,villa,skottyp,centralt,z2
0:03:28,saik,avslag,0,0
0:03:57,saik,passning,straffområde,z8
0:04:00,saik,boll,0,0
0:04:16,saik,passning,straffområde,z8
0:04:26,saik,hörna,0,z7
0:04:52,saik,mål,hörnmål,z8
0:04:56,saik,skottyp,fast,z8
0:05:16,villa,avslag,0,0
0:05:42,saik,utkast,0,0
0:05:57,villa,närkamp,0,z5
0:06:09,saik,utkast,0,z3
0:06:41,villa,närkamp,0,z8
0:06:56,saik,närkamp,0,z3
0:07:02,villa,närkamp,0,z6
0:07:30,villa,hörna,0,z3
0:07:56,villa,skott,täckt,z2
0:08:00,villa,skottyp,fast,z2
0:08:01,saik,boll,0,0
0:08:07,saik,inslag,0,z3
0:08:15,villa,boll,0,0
0:08:48,villa,frislag,0,z3
0:09:08,villa,passning,farlig,z2
0:09:13,villa,skott,räddning,z2
0:09:17,villa,skottyp,friställande,z2
0:09:21,saik,rensning,0,0
0:09:38,villa,skott,utanför,z2
0:09:41,villa,skottyp,utifrån,z2
0:09:44,saik,utkast,0,z3
0:09:50,saik,passning,lång,0
0:10:02,villa,inslag,0,z9
0:10:19,saik,närkamp,0,z5
0:10:27,villa,utvisning,10,0
0:10:57,saik,frislag,0,z5
0:11:14,villa,närkamp,0,z9
0:11:32,saik,närkamp,0,z3
0:12:24,villa,brytning,0,z9
0:12:38,saik,närkamp,0,z2
0:12:51,villa,brytning,0,z8
0:13:10,saik,utkast,0,z3
0:13:24,villa,brytning,0,z6
0:13:35,villa,frislag,0,z3
0:14:30,villa,skott,utanför,z2
0:14:36,villa,skottyp,utifrån,z2
0:14:39,saik,utkast,0,z1
0:15:07,saik,skott,utanför,z8
0:15:12,saik,skottyp,utifrån,z8
0:15:14,villa,utkast,0,0
0:15:29,villa,frislag,0,z4
0:16:03,saik,närkamp,0,z8
0:16:07,saik,skott,täckt,z8
0:16:13,saik,skottyp,utifrån,z8
0:16:15,0,timeout,0,0
0:16:56,saik,frislag,0,z7
0:17:07,saik,passning,straffområde,z8
0:17:10,villa,inslag,0,z9
0:17:16,saik,brytning,0,z4
0:17:26,saik,passning,straffområde,z8
0:17:30,villa,brytning,0,z8
0:17:46,saik,frislag,0,z5
0:17:57,saik,hörna,0,z9
0:18:29,saik,mål,hörnmål,z8
0:18:32,saik,skottyp,fast,z8
0:19:02,villa,avslag,0,0
0:19:33,saik,utkast,0,z3
0:20:17,saik,passning,lång,z8
0:20:19,saik,offside,0,0
0:20:55,villa,skott,räddning,z2
0:21:02,villa,skottyp,centralt,z2
0:21:06,saik,utkast,0,0
0:21:39,villa,närkamp,0,z6
0:22:24,villa,skott,räddning,z2
0:22:28,villa,skottyp,utifrån,z2
0:22:30,villa,hörna,0,z1
0:22:55,villa,skott,utanför,z2
0:23:00,villa,skottyp,fast,z2
0:23:06,saik,utkast,0,z1
0:23:20,saik,bolltapp,tappad,z5
0:24:13,saik,brytning,0,z2
0:24:16,villa,närkamp,0,z5
0:24:40,saik,närkamp,0,z5
0:25:02,saik,skott,räddning,z8
0:25:05,saik,skottyp,utifrån,z8
0:25:08,saik,offside,0,0
0:25:55,villa,mål,spelmål,z2
0:25:58,villa,skottyp,utifrån,z2
0:26:17,saik,avslag,0,0
0:26:38,saik,frislag,0,z5
0:27:06,villa,närkamp,0,z5
0:27:36,saik,utkast,0,z1
0:28:20,saik,skott,täckt,z8
0:28:23,saik,skottyp,centralt,z8
0:28:25,saik,hörna,0,z9
0:28:58,saik,skott,täckt,z8
0:29:02,saik,skottyp,fast,z8
0:29:05,saik,boll,0,0
0:29:35,saik,närkamp,0,z6
0:29:41,villa,närkamp,0,z9
0:29:50,saik,närkamp,0,z5
0:30:04,saik,skott,täckt,z8
0:30:08,saik,skottyp,utifrån,z8
0:30:11,saik,hörna,0,z7
0:30:29,saik,skott,utanför,z8
0:30:33,saik,skottyp,fast,z8
0:30:35,villa,utkast,0,0
0:31:12,villa,hörna,0,z3
0:31:37,villa,skott,täckt,z2
0:31:40,villa,skottyp,fast,z2
0:31:45,villa,skott,utanför,z2
0:31:48,villa,skottyp,utifrån,z2
0:31:51,saik,utkast,0,0
0:33:13,saik,närkamp,0,z8
0:33:50,saik,passning,straffområde,z8
0:33:52,villa,boll,0,0
0:34:06,villa,skott,räddning,z2
0:34:12,villa,skottyp,utifrån,z2
0:34:15,villa,hörna,0,z3
0:34:37,villa,skott,täckt,z2
0:34:40,villa,skottyp,fast,z2
0:34:45,villa,skott,täckt,z2
0:34:47,villa,skottyp,retur,z2
0:34:52,saik,rensning,0,0
0:35:19,villa,skott,utanför,z2
0:35:28,villa,skottyp,dribbling,z2
0:35:32,saik,utkast,0,z1
0:35:42,villa,närkamp,0,z4
0:36:00,villa,passning,lång,z2
0:36:03,saik,brytning,0,z2
0:36:12,saik,skott,täckt,z8
0:36:15,saik,skottyp,utifrån,z8
0:36:19,saik,hörna,0,z9
0:36:43,saik,skott,täckt,z8
0:36:46,saik,skottyp,fast,z8
0:36:48,saik,boll,0,0
0:37:30,villa,närkamp,0,z6
0:38:02,villa,närkamp,0,z5
0:38:06,saik,närkamp,0,z6
0:38:14,villa,närkamp,0,z8
0:38:37,villa,passning,straffområde,z2
0:38:41,villa,skott,räddning,z2
0:38:46,villa,skottyp,inlägg,z2
0:38:55,saik,närkamp,0,z4
0:39:07,villa,närkamp,0,z1
0:40:27,saik,utkast,0,z3
0:41:11,villa,närkamp,0,z5
0:41:19,saik,närkamp,0,z2
0:41:31,villa,närkamp,0,z8
0:41:47,villa,skott,räddning,z2
0:41:52,villa,skottyp,utifrån,z2
0:41:53,saik,utkast,0,0
0:42:08,villa,närkamp,0,z5
0:42:13,saik,brytning,0,z4
0:42:30,villa,närkamp,0,z8
0:42:44,saik,närkamp,0,z2
0:42:47,villa,hörna,0,z1
0:43:30,villa,boll,0,0
0:43:50,saik,närkamp,0,z5
0:44:15,saik,passning,lång,z8
0:44:20,saik,skott,täckt,z8
0:44:23,saik,skottyp,centralt,z8
0:44:29,saik,hörna,0,z7
0:44:48,saik,skott,täckt,z8
0:44:51,saik,skottyp,fast,z8
0:44:57,saik,hörna,0,z7
0:45:23,saik,skott,utanför,z8
0:45:26,saik,skottyp,fast,z8
0:45:28,villa,utkast,0,0
0:45:48,saik,brytning,0,z3
0:46:06,saik,passning,lång,0
0:46:07,0,stop,0,0
