time,team,event,subevent,zone
0:00:00,villa,avslag,0,z2
0:00:15,sirius,närkamp,0,z8
0:00:22,sirius,kontring,0,0
0:00:27,villa,brytning,0,z5
0:01:04,sirius,brytning,0,z9
0:01:07,sirius,kontring,0,0
0:01:15,villa,närkamp,0,z2
0:01:40,villa,frislag,0,z5
0:01:56,villa,närkamp,0,z5
0:02:12,villa,frislag,0,z9
0:02:43,sirius,utkast,0,z9
0:02:51,sirius,passning,lång,z5
0:02:54,villa,boll,0,0
0:03:17,sirius,utkast,0,z7
0:03:28,sirius,frislag,0,z7
0:03:40,sirius,skott,utanför,z2
0:03:45,sirius,skottyp,utifrån,z2
0:03:47,villa,utkast,0,z1
0:03:59,villa,skott,räddning,z8
0:04:02,villa,skottyp,utifrån,z8
0:04:05,sirius,boll,0,0
0:04:16,sirius,skott,täckt,z2
0:04:19,sirius,skottyp,utifrån,z2
0:04:20,villa,utkast,0,z3
0:04:34,sirius,brytning,0,z8
0:04:43,sirius,bolltapp,tappad,z4
0:04:48,sirius,brytning,0,z4
0:04:56,sirius,skott,utanför,z2
0:05:00,sirius,skottyp,centralt,z2
0:05:02,villa,utkast,0,0
0:05:15,villa,hörna,0,z9
0:05:49,villa,skott,räddning,z8
0:05:53,villa,skottyp,fast,z8
0:05:57,villa,skott,täckt,z8
0:06:00,villa,skottyp,retur,z8
0:06:07,sirius,utkast,0,0
0:06:18,villa,närkamp,0,z1
0:06:29,sirius,brytning,0,z6
0:06:47,sirius,40,0,0
0:06:58,sirius,passning,farlig,z2
0:07:01,sirius,skott,räddning,0
0:07:05,sirius,skottyp,centralt,z2
0:07:09,villa,utkast,0,z3
0:07:16,villa,skott,räddning,z8
0:07:21,villa,skottyp,utifrån,z8
0:07:23,sirius,utkast,0,0
0:07:29,sirius,offside,0,0
0:07:41,villa,boll,0,0
0:07:57,villa,passning,straffområde,z8
0:07:59,sirius,boll,0,z7
0:08:05,villa,brytning,0,z5
0:08:10,sirius,närkamp,0,z7
0:08:21,villa,brytning,0,z4
0:08:33,villa,skott,täckt,z8
0:08:37,villa,skottyp,utifrån,z8
0:08:53,villa,bolltapp,passförsök,z5
0:09:22,villa,närkamp,0,z3
0:09:26,villa,frislag,0,z3
0:09:37,villa,skott,räddning,z8
0:09:41,villa,skottyp,utifrån,z8
0:09:42,sirius,boll,0,0
0:09:51,sirius,frislag,0,0
0:10:15,sirius,passning,straffområde,z2
0:10:23,villa,brytning,0,z2
0:10:41,sirius,utvisning,10,0
0:11:08,villa,frislag,0,z4
0:11:22,villa,hörna,0,z7
0:11:47,villa,skott,räddning,z8
0:11:51,villa,skottyp,fast,z8
0:11:54,villa,skott,räddning,z8
0:11:57,villa,skottyp,retur,z8
0:12:04,sirius,utkast,0,0
0:12:18,sirius,skott,utanför,z2
0:12:22,sirius,skottyp,utifrån,z2
0:12:23,villa,utkast,0,0
0:12:38,villa,skott,utanför,z8
0:12:43,villa,skottyp,centralt,z8
0:12:45,sirius,utkast,0,0
0:13:18,sirius,bolltapp,passförsök,z1
0:13:27,villa,utkast,0,z1
0:13:35,villa,passning,lång,z8
0:13:40,sirius,utkast,0,z9
0:14:07,sirius,40,0,0
0:14:29,villa,brytning,0,z2
0:14:47,sirius,närkamp,0,z7
0:15:06,villa,närkamp,0,z3
0:15:20,villa,skott,utanför,z8
0:15:24,villa,skottyp,utifrån,z8
0:15:27,sirius,utkast,0,0
0:15:31,villa,närkamp,0,z5
0:16:28,sirius,brytning,0,z8
0:16:42,villa,utvisning,10,0
0:17:07,sirius,frislag,0,z5
0:17:19,sirius,frislag,0,z2
0:17:46,sirius,40,0,z8
0:18:02,sirius,skott,täckt,z2
0:18:05,sirius,skottyp,utifrån,z2
0:18:07,sirius,hörna,0,z3
0:18:32,sirius,skott,täckt,z2
0:18:35,sirius,skottyp,fast,z2
0:18:37,villa,boll,0,0
0:18:40,villa,kontring,0,0
0:18:47,villa,skott,räddning,z8
0:18:51,villa,skottyp,utifrån,z8
0:18:53,sirius,närkamp,0,z8
0:19:02,0,timeout,0,0
0:19:13,sirius,frislag,0,z4
0:19:29,sirius,40,0,z8
0:19:41,villa,brytning,0,z1
0:20:03,villa,skott,utanför,z8
0:20:06,villa,skottyp,dribbling,z8
0:20:10,villa,boll,0,z5
0:20:21,villa,skott,utanför,z8
0:20:25,villa,skottyp,utifrån,z8
0:20:30,sirius,utkast,0,0
0:20:47,sirius,40,0,z8
0:21:18,villa,närkamp,0,z1
0:21:20,villa,kontring,0,0
0:21:33,villa,passning,straffområde,z8
0:21:38,sirius,närkamp,0,z9
0:21:54,sirius,skott,räddning,z2
0:22:00,sirius,skottyp,utifrån,z2
0:22:04,sirius,mål,spelmål,z2
0:22:11,sirius,skottyp,retur,z2
0:22:27,villa,avslag,0,0
0:23:29,villa,frislag,0,z5
0:23:54,sirius,brytning,0,z7
0:24:12,villa,närkamp,0,z3
0:24:42,sirius,utkast,0,z9
0:25:04,sirius,passning,farlig,z2
0:25:08,sirius,skott,räddning,z2
0:25:13,sirius,skottyp,friställande,z2
0:25:18,sirius,hörna,0,z3
0:25:42,sirius,bolltapp,tappad,z2
0:25:49,villa,kontring,0,z8
0:25:57,villa,skott,räddning,z8
0:26:01,villa,skottyp,centralt,z8
0:26:20,villa,bolltapp,tappad,z8
0:26:24,villa,närkamp,0,z6
0:26:35,sirius,närkamp,0,z9
0:26:39,sirius,kontring,0,0
0:26:45,villa,närkamp,0,z2
0:27:45,sirius,närkamp,0,z8
0:27:55,sirius,passning,straffområde,z2
0:27:57,sirius,skott,täckt,z2
0:28:01,sirius,skottyp,inlägg,z2
0:28:10,sirius,skott,täckt,z2
0:28:14,sirius,skottyp,retur,z2
0:28:17,villa,inslag,0,z3
0:28:22,sirius,närkamp,0,z5
0:28:33,sirius,skott,täckt,z2
0:28:35,sirius,skottyp,utifrån,z2
0:28:37,villa,utkast,0,0
0:28:48,villa,frislag,0,z5
0:29:14,villa,bolltapp,passförsök,z4
0:29:26,sirius,frislag,0,z5
0:29:54,sirius,passning,straffområde,z2
0:29:59,sirius,närkamp,0,z1
0:30:01,villa,närkamp,0,z1
0:30:05,sirius,närkamp,0,z4
0:30:14,sirius,skott,utanför,z2
0:30:17,sirius,skottyp,utifrån,z2
0:30:19,villa,utkast,0,z3
0:30:47,villa,skott,räddning,z8
0:30:52,villa,skottyp,utifrån,z8
0:30:53,sirius,utkast,0,0
0:31:03,sirius,passning,straffområde,z2
0:31:07,sirius,närkamp,0,z1
0:31:13,sirius,40,0,z5
0:31:32,sirius,passning,straffområde,z2
0:31:38,villa,närkamp,0,z2
0:31:46,sirius,närkamp,0,z8
0:31:53,villa,närkamp,0,z6
0:32:05,villa,skott,räddning,z8
0:32:13,villa,skottyp,centralt,z8
0:32:15,sirius,utkast,0,z8
0:32:31,villa,brytning,0,z2
0:32:47,villa,närkamp,0,z7
0:33:23,sirius,utvisning,10,0
0:34:05,villa,frislag,0,0
0:34:17,villa,skott,täckt,z8
0:34:20,villa,skottyp,utifrån,z8
0:34:22,sirius,boll,0,0
0:34:31,villa,brytning,0,z2
0:34:46,villa,frislag,0,z6
0:35:25,villa,skott,räddning,z8
0:35:28,villa,skottyp,utifrån,z8
0:35:30,sirius,utkast,0,z7
0:36:05,villa,närkamp,0,z4
0:36:07,villa,kontring,0,0
0:36:14,villa,skott,täckt,z8
0:36:17,villa,skottyp,centralt,z8
0:36:22,villa,hörna,0,z7
0:36:45,villa,skott,räddning,z8
0:36:48,villa,skottyp,fast,z8
0:36:52,villa,skott,räddning,z8
0:36:56,villa,skottyp,retur,z8
0:36:58,sirius,rensning,0,0
0:37:07,villa,skott,täckt,z8
0:37:12,villa,skottyp,dribbling,z8
0:37:14,sirius,rensning,0,0
0:37:54,sirius,närkamp,0,z8
0:37:57,sirius,rensning,0,0
0:38:05,villa,frislag,0,z8
0:38:14,sirius,närkamp,0,z8
0:38:38,sirius,passning,straffområde,z2
0:38:44,sirius,mål,spelmål,z2
0:38:48,sirius,skottyp,inlägg,z2
0:39:17,villa,avslag,0,0
0:39:30,villa,skott,utanför,z8
0:39:33,villa,skottyp,utifrån,z8
0:39:37,0,timeout,0,0
0:40:08,sirius,utkast,0,z7
0:40:37,villa,närkamp,0,z6
0:41:37,villa,hörna,0,z9
0:42:08,villa,skott,utanför,z8
0:42:14,villa,skottyp,fast,z8
0:42:16,sirius,utkast,0,z7
0:42:37,villa,närkamp,0,z2
0:42:45,villa,närkamp,0,z1
0:42:58,villa,skott,räddning,z8
0:43:02,villa,skottyp,centralt,z8
0:43:06,sirius,utkast,0,z9
0:43:26,sirius,skott,räddning,z2
0:43:29,sirius,skottyp,utifrån,z2
0:43:31,villa,utkast,0,0
0:43:34,villa,närkamp,0,z4
0:43:40,sirius,närkamp,0,z7
0:43:47,villa,närkamp,0,z4
0:43:51,villa,frislag,0,z4
0:44:19,villa,skott,täckt,z8
0:44:24,villa,skottyp,utifrån,z8
0:44:27,villa,hörna,0,z7
0:44:52,villa,mål,hörnmål,z8
0:45:00,villa,skottyp,fast,z8
0:45:20,sirius,avslag,0,0
0:45:43,sirius,skott,räddning,z2
0:45:46,sirius,skottyp,utifrån,z2
0:45:47,0,stop,0,0
